Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,447.95,59.82,15555.15,11633.47,1244.98,10.7,10.59,24.29,3.45,1.5,7.59,0.36,14.94,2807.92,52.74,860.23,2030.29,4990.6,6.24,0.54,-0.53,1.56,0.68,8.71
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),312.0,49.71,78188.63,18897.97,11572.11,61.23,61.23,24.41,2.81,0.1,2.29,3.94,11.22,6776.62,5.21,102.47,1770.01,0.0,6.28,-0.01,0.07,9.7,0.88,7.86
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3624.1,54.23,38443.47,11564.7,2059.0,17.8,17.6,28.54,5.97,4.89,13.46,0.09,21.53,2702.2,139.2,2014.6,936.8,5.8,5.14,-0.59,0.27,0.31,1.62,23.65
Larsen & Toubro,500510,LT,INE018A01030,Construction,Civil Construction,4030.0,52.41,554474.11,290137.13,36271.61,12.5,12.39,31.51,5.0,1.81,4.65,1.15,15.86,-215.2,5058.2,60461.26,69455.63,9530.93,5.85,-0.31,0.35,3.24,0.95,9.23
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,537.6,59.59,29571.35,28562.06,27081.46,94.82,93.58,5.18,0.71,0.21,1.75,6.7,14.41,-3703.34,14.3,7.71,94.7,0.0,8.82,0.13,0.08,10.29,1.82,10.13
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1792.05,37.7,100875.8,22083.55,8125.96,36.8,36.26,21.21,7.35,0.35,15.3,1.49,36.58,-2379.12,348.59,1480.51,2664.23,2659.6,6.37,0.47,-0.41,2.71,0.06,15.74
LTM,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4542.5,60.82,134740.26,44075.0,7966.4,18.07,17.86,23.99,5.58,3.41,15.85,0.1,23.13,5878.0,429.6,7424.8,2061.0,3.3,5.68,-0.17,-0.32,0.29,1.63,29.35
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2178.0,30.05,99592.53,29966.58,9538.29,31.83,29.18,16.7,4.43,0.12,17.01,0.29,28.68,7799.01,-82.18,6604.06,4173.13,6083.25,8.46,-0.67,0.72,0.78,0.84,13.91
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3321.0,47.15,412975.98,211374.9,40054.06,18.95,18.62,21.54,4.39,0.95,6.36,1.47,20.33,10236.19,4369.18,9064.27,37888.67,22044.11,7.3,1.21,-1.34,3.61,1.0,13.52
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),373.85,48.66,51964.07,21732.67,13785.33,63.43,62.56,15.48,2.0,1.31,1.96,4.82,12.26,6229.36,4.19,325.74,1142.08,0.0,7.81,-0.61,0.13,9.49,1.96,9.92
