Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,507.90,21944.29,3242.67,2471.69,76.22,76.30,23.12,3.44,0.86,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.70,-0.15,0.26,6.66,5.59
AAVAS Financiers,541988,AAVAS,Finance,1528.30,12098.23,2439.67,1827.58,74.91,75.29,20.60,2.77,1.20,3.27,3.19,14.11,1751.04,4.12,11.37,4.88,0.00,7.34,0.77,0.10,7.76,31.72
ACC,500410,ACC,Cement & Cement Products,1822.00,34214.84,22742.68,3159.95,13.89,14.07,14.65,1.84,2.21,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.73,-0.79,-0.17,0.13,28.41
Adani Power,533096,ADANIPOWER,Power,608.35,234636.88,55356.61,20796.41,37.57,38.11,18.91,4.16,0.50,12.46,0.70,26.10,8834.76,2648.97,13022.07,2977.66,3317.28,7.11,0.12,0.10,2.07,10.74
Aditya AMC,543374,ABSLAMC,Capital Markets,826.30,23851.88,1745.55,1034.68,59.28,64.91,24.54,6.40,2.15,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.53,-0.12,0.20,0.05,9.39
Aditya Birla Cap,540691,ABCAPITAL,Finance,274.85,71794.37,41420.09,14867.97,35.90,35.13,21.10,2.36,0.86,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.37,2.27,-1.36,9.23,6.00
Afcons Infrastr.,544280,AFCONS,Construction,425.95,15665.79,12764.44,1437.77,11.26,10.85,29.41,2.98,2.74,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.13,2.46,-2.41,1.67,25.27
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,934.75,11467.64,2400.12,695.41,28.97,28.67,23.13,4.07,4.91,15.37,0.02,18.69,1387.38,38.07,969.74,390.46,673.95,5.85,0.43,-0.15,0.08,29.99
Amara Raja Ener.,500008,ARE&M,Auto Components,1018.50,18641.13,12623.62,1585.38,12.56,13.17,22.30,2.53,1.13,9.28,0.04,12.34,1308.56,192.75,1142.80,1046.54,2036.44,6.21,-0.59,-1.32,0.22,32.94
Angel One,543235,ANGELONE,Capital Markets,2276.40,20632.87,4973.46,1785.14,35.89,37.85,20.76,3.66,0.89,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,13.74,2.16,1.61,2.03,35.02
Aptus Value Hou.,543335,APTUS,Finance,324.15,16226.74,1875.74,1584.23,84.46,84.58,20.32,3.75,0.76,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,7.14,6.16,2.67,4.24,19.31
AU Small Finance,540611,AUBANK,Banks,708.30,52814.52,16673.13,8607.88,51.63,53.37,24.18,3.07,1.05,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.33,1.70,2.10,11.89,15.78
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1022.20,59894.64,32024.85,6506.88,20.32,20.65,17.66,1.83,2.24,7.35,0.25,11.08,12480.11,537.21,5745.93,4188.85,10543.72,9.00,0.70,-0.95,1.53,35.81
Axis Bank,532215,AXISBANK,Banks,1056.20,327668.38,128563.88,78314.42,60.91,63.58,11.76,1.75,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.55,0.35,-0.13,12.85,17.60
Bajaj Finance,500034,BAJFINANCE,Finance,890.10,553863.11,73107.06,50059.96,68.47,68.79,31.78,5.72,0.96,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.46,-0.26,0.26,7.34,9.06
Bajaj Finserv,532978,BAJAJFINSV,Finance,1955.90,312516.29,137779.99,51699.34,37.52,37.01,32.81,4.31,1.31,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.74,1.10,0.87,7.05,8.39
Bajaj Housing,544252,BAJAJHFL,Finance,113.28,94388.69,9982.68,9123.08,91.39,91.85,41.70,4.73,0.93,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.15,-0.13,-0.08,9.04,39.90
Bandhan Bank,541153,BANDHANBNK,Banks,162.04,26104.18,21888.01,10207.15,46.63,51.91,12.71,1.06,0.07,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.34,0.16,1.61,12.17,24.79
Bank of Baroda,532134,BANKBARODA,Banks,236.67,122390.63,130143.00,81093.72,62.31,64.41,6.29,0.80,0.16,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.40,0.82,-0.90,14.97,11.34
Bank of India,532149,BANKINDIA,Banks,112.92,51408.73,72728.68,51338.40,70.59,71.03,5.21,0.64,0.12,0.94,11.91,12.35,0.00,9458.93,0.00,0.00,0.00,6.36,0.07,-0.35,15.72,13.37
Bank of Maha,532525,MAHABANK,Banks,52.46,40349.90,26126.89,16663.95,63.78,62.68,7.02,1.41,0.10,1.64,11.53,22.81,37828.80,3386.14,0.00,663.37,0.00,6.00,-0.27,0.17,16.51,17.35
Belrise Industri,544405,BELRISE,Auto Components,136.77,12170.88,8772.05,1061.56,12.10,12.32,30.77,,2.87,5.36,1.10,14.11,929.45,81.61,1591.13,1065.71,769.73,5.38,,,3.68,13.00
Birlasoft Ltd,532400,BSOFT,IT - Software,376.90,10477.93,5332.71,661.15,12.40,12.98,22.15,3.01,6.50,12.12,0.04,15.59,920.79,107.11,980.16,235.33,10.39,6.70,-2.11,0.70,0.22,44.26
Brigade Enterpr.,532929,BRIGADE,Realty,925.85,22635.46,5277.63,1444.97,27.38,28.00,30.10,4.01,0.65,3.39,0.97,14.92,2337.32,255.33,629.12,785.77,8868.81,5.65,0.57,-0.88,3.89,36.15
Can Fin Homes,511196,CANFINHOME,Finance,755.15,10055.13,3967.50,3646.06,91.90,92.25,11.41,1.98,0.52,2.20,6.92,18.22,-71.39,1.38,0.93,6.08,0.00,8.11,-0.13,-0.04,9.65,20.66
Canara Bank,532483,CANBK,Banks,106.16,96294.03,123951.13,75867.53,61.21,62.10,5.21,0.91,0.12,1.08,14.67,17.75,162006.81,31349.49,0.00,2572.54,0.00,7.01,-0.44,0.84,14.18,11.01
Capri Global,531595,CGCL,Finance,188.38,18115.28,3533.58,2259.60,63.95,61.76,31.36,3.61,0.96,2.66,3.62,11.76,1039.74,4.18,58.78,102.53,0.00,6.72,6.01,3.74,7.21,18.70
Castrol India,500870,CASTROLIND,Petroleum Products,200.50,19831.90,5560.90,1318.85,23.72,23.83,20.74,10.90,3.12,26.09,0.04,41.83,827.05,85.57,562.13,770.16,612.05,6.85,0.35,-0.33,0.06,28.08
CEAT,500878,CEATLTD,Auto Components,3376.00,13655.95,13554.46,1478.99,10.91,11.16,29.68,3.13,0.37,4.66,0.49,11.77,-1732.81,-24.23,1653.31,2740.19,1411.53,5.80,-1.45,2.11,2.34,16.62
Central Bank,532885,CENTRALBK,Banks,35.37,32014.81,34053.81,19718.00,57.90,57.65,7.59,0.87,0.14,0.85,11.80,11.43,38551.56,6575.73,0.00,948.92,0.00,5.88,-0.81,-0.30,16.60,42.86
CESC,500084,CESC,Power,156.81,20786.27,17340.00,3182.00,18.35,16.76,15.08,1.73,-25.56,3.55,1.50,11.34,-139.82,1189.00,2427.66,1588.00,725.19,9.11,0.28,-0.08,5.68,26.28
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,559.05,22398.47,17410.58,2492.42,14.32,15.02,12.80,2.57,23.27,13.81,0.01,19.78,1619.69,339.97,367.92,630.27,1802.29,11.23,1.98,-3.07,0.04,24.70
