Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
JK Tyre & Indust,530007,JKTYRE,INE573A01042,Auto Components,Tyres & Rubber Products,388.95,34.81,11213.02,15861.81,1857.39,11.71,10.88,15.38,2.14,0.43,3.74,0.92,11.07,1181.6,-32.16,3122.13,2108.99,2356.49,9.41,0.3,0.83,3.3,36.44
Kansai Nerolac,500165,KANSAINER,INE531A01024,Consumer Durables,Paints,178.6,46.12,14442.64,7914.85,923.82,11.67,12.05,23.38,2.23,1.09,7.57,0.04,10.41,3959.76,108.62,1711.43,1096.21,1634.45,5.94,0.38,-0.44,0.32,35.01
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks,Private Sector Bank,272.65,40.76,26351.83,10686.63,7044.25,65.92,65.02,11.46,2.06,0.27,1.73,8.83,17.65,5284.51,1977.85,0.0,0.0,0.0,6.76,0.23,1.06,12.53,20.64
Kirloskar Oil,533293,KIRLOSENG,INE146L01010,Industrial Products,"Compressors, Pumps & Diesel Engines",1383.9,50.85,20116.26,7334.1,1352.31,18.44,18.66,37.01,5.96,0.96,4.59,1.64,15.4,859.1,75.39,815.74,1002.69,849.68,5.12,0.21,0.11,4.38,9.55
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,386.05,49.99,13405.7,10267.22,1147.46,11.18,11.27,20.62,3.2,0.75,9.06,0.43,16.7,2622.59,91.16,846.2,810.83,3538.72,6.92,1.29,-1.2,1.79,25.55
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),240.35,35.61,60173.73,17196.51,10513.89,61.14,60.41,21.26,2.28,0.47,2.37,3.72,10.79,6108.65,-20.92,67.74,1502.78,0.0,6.88,1.0,0.26,9.48,27.05
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3347.5,50.98,35482.88,11751.4,1942.5,16.53,17.74,27.64,5.73,2.61,13.92,0.1,22.16,3735.4,180.5,2645.7,1720.6,9.4,5.25,0.44,-0.45,0.35,29.48
Larsen & Toubro,500510,LT,INE018A01030,Construction,Civil Construction,3613.1,44.95,497029.67,277504.43,35603.4,12.83,13.43,29.13,4.9,1.27,4.98,1.32,16.55,50175.32,4448.17,53654.94,52869.21,8313.65,5.99,-0.35,0.58,3.65,18.62
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,517.4,54.74,28460.26,28943.85,26991.16,93.25,94.28,5.19,0.74,0.15,1.8,7.08,16.05,-2129.25,7.08,3.97,66.28,0.0,8.95,-0.33,0.19,10.15,19.98
LTIMindtree,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4303.9,44.74,127607.76,40787.6,7178.4,17.6,17.09,24.64,5.45,4.73,15.83,0.1,21.53,16335.8,580.6,6510.0,1433.0,3.1,5.75,0.23,0.11,0.33,33.07
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3011.7,41.89,374513.58,186333.92,35239.03,18.91,19.17,23.44,4.52,0.86,5.51,1.53,18.05,34754.07,4646.53,9541.57,34621.91,24588.45,6.86,0.44,-0.55,3.86,21.57
