Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,474.5,43.51,20792.88,3817.29,2907.72,76.17,76.43,18.04,2.76,0.71,4.38,2.49,15.94,675.52,-0.48,27.02,123.65,0.0,7.53,0.77,-0.33,6.49,0.0,15.72
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1300.0,30.22,10308.29,2764.62,2040.97,73.82,73.67,15.05,2.08,1.0,3.29,3.11,13.91,2015.29,1.38,14.89,10.59,0.0,8.38,0.01,-0.46,7.85,0.0,26.76
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1270.0,33.92,23848.99,25441.73,2629.19,10.33,11.39,12.57,1.17,0.4,8.02,0.02,10.86,5611.37,397.77,3841.63,2453.81,1789.12,8.02,-0.5,-0.1,0.23,0.59,36.08
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,399.1,44.52,109254.15,48185.84,17802.62,36.95,36.69,27.14,3.11,-4.09,1.27,5.22,12.04,-106247.85,405.45,843.34,1842.17,0.0,6.33,-0.35,0.93,10.0,0.0,7.34
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,803.3,52.06,15789.92,7783.95,1167.13,14.99,15.26,21.11,2.79,0.75,8.79,0.25,13.45,1948.76,-1.23,1466.3,835.08,2510.64,5.09,-0.24,-0.09,1.61,1.48,19.51
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5185.0,32.54,61994.43,15081.28,3032.21,20.11,20.44,27.25,4.51,0.86,12.92,0.15,18.89,6690.51,411.85,2979.11,2244.18,3333.22,5.17,1.25,0.27,0.63,1.03,12.61
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,285.95,33.84,26136.88,5425.77,2028.11,37.38,35.42,25.34,4.23,20.77,4.49,1.3,15.59,8225.39,17.09,434.45,9170.28,0.0,11.32,1.46,0.95,4.15,1.42,20.67
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,434.7,46.63,27607.82,29307.63,4143.45,14.14,14.65,12.93,1.68,0.49,7.32,0.22,13.07,2614.57,-466.33,3190.84,3224.29,5452.28,9.14,1.49,-2.06,1.33,1.36,19.57
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,256.15,43.34,12828.73,2272.27,1872.29,82.4,83.07,13.08,2.51,0.56,7.76,1.56,20.11,754.67,53.74,0.0,19.79,0.0,9.54,0.47,-0.38,4.13,1.73,27.52
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,168.9,44.58,99209.43,57723.13,10981.93,19.03,5.58,26.71,6.89,0.59,4.27,4.49,27.43,4302.59,343.39,3087.44,9291.24,4671.8,6.94,2.69,-3.9,6.07,2.08,21.6
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6470.0,45.41,19048.8,6643.49,1188.81,17.89,16.48,23.97,3.07,2.78,9.3,0.03,11.49,1285.57,216.56,1271.0,852.24,815.47,5.67,0.04,-0.06,0.17,0.46,10.12
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1071.15,50.45,80398.1,19560.64,10699.71,54.7,55.22,28.15,3.97,1.23,1.51,8.34,14.25,5653.99,2856.55,0.0,314.51,0.0,5.64,1.51,-1.29,12.28,0.09,6.42
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1627.0,54.23,93613.99,34935.29,7081.31,20.27,20.41,24.71,2.47,1.08,6.61,0.21,10.1,13922.5,586.02,7094.37,5567.27,12052.94,6.36,-0.77,1.14,1.37,0.24,5.24
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),519.3,37.77,44100.28,2757.82,2425.38,87.95,90.13,21.05,3.04,0.21,11.25,0.21,13.16,-245.33,17.77,13.36,322.89,0.0,5.3,0.01,0.05,1.28,0.02,24.02
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1266.15,49.57,394183.55,135731.89,81034.17,59.7,59.29,14.14,1.77,0.41,1.47,7.47,13.12,118869.75,29291.88,0.0,0.0,0.0,5.55,-0.66,-2.13,15.01,0.08,10.73
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1045.1,43.35,650674.42,85963.63,58573.63,68.14,68.29,31.78,5.76,1.71,3.81,3.82,18.25,16950.65,-240.16,1908.08,2104.53,0.0,5.35,1.2,-1.13,7.56,0.51,11.25
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1958.0,50.32,313683.6,157641.68,59568.13,37.79,37.93,30.48,4.04,1.94,2.83,5.52,13.23,-132648.93,-344.19,9332.08,9052.12,0.0,7.97,0.35,-0.33,7.38,0.08,10.8
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,82.92,36.59,69091.72,11604.2,10595.59,91.31,90.96,25.58,3.05,0.95,2.24,4.6,12.11,-231.05,-12.76,27.8,126.1,0.0,6.11,-0.18,-0.09,9.83,0.0,29.13
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,240.4,44.1,124319.58,136546.33,87323.66,63.95,64.22,5.62,0.74,0.56,1.01,10.89,12.7,104206.96,17511.43,0.0,0.0,0.0,5.79,-0.59,0.45,16.61,3.49,26.16
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,145.0,50.66,66013.69,77243.58,55814.43,72.26,72.61,5.61,0.72,0.13,0.95,11.83,12.41,83817.63,10440.65,0.0,0.0,0.0,6.05,0.0,-0.39,16.25,3.25,18.74
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,86.33,52.75,66401.15,30262.41,20806.29,68.75,69.25,8.84,1.87,0.23,1.76,10.74,22.65,13442.37,3745.66,0.0,0.0,0.0,5.69,0.35,0.27,15.61,2.56,8.65
