Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,466.65,39.92,20243.10,3520.63,2695.55,76.56,76.30,19.42,2.94,0.72,4.31,2.55,16.86,1641.75,-8.34,0.00,108.12,0.00,7.42,0.20,0.08,6.58,14.81
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1286.60,28.28,10188.83,2604.99,1927.47,73.99,75.29,16.25,2.18,0.95,3.27,3.08,14.11,2153.46,2.50,7.79,3.22,0.00,8.33,0.17,-1.16,7.63,42.52
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1637.10,38.99,30742.65,24689.33,3153.91,12.77,14.07,12.22,1.54,1.85,9.46,0.02,13.23,5242.34,716.80,3678.49,2001.25,1985.75,8.40,-1.18,0.95,0.19,22.90
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,897.15,51.83,10683.55,3211.94,495.23,15.42,15.20,25.27,5.99,0.44,16.70,0.08,28.65,314.99,124.57,276.23,784.88,612.28,5.44,-0.07,0.04,0.24,35.46
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,139.90,44.58,269792.88,54254.83,19886.27,36.65,38.11,23.55,4.62,0.62,12.46,0.83,26.10,9774.09,2156.96,9437.92,2976.65,3140.31,5.70,0.71,0.11,2.76,23.45
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,336.20,40.86,88003.86,44263.78,15953.88,36.04,35.13,24.80,2.73,1.02,1.32,4.86,11.49,-60389.17,518.02,389.61,1641.74,0.00,6.82,1.85,-0.95,9.64,8.96
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,700.15,47.28,24575.27,7443.86,1236.48,16.61,16.23,31.94,4.14,1.40,8.27,0.41,15.53,2504.41,304.65,538.52,439.25,114.95,5.50,-0.84,0.99,1.80,26.03
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,332.25,36.20,12219.64,12543.26,1554.35,12.39,11.71,20.73,2.48,0.67,3.65,0.73,14.91,2666.01,287.63,2795.20,3564.31,993.06,9.50,1.66,0.00,2.48,33.40
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,769.90,37.44,15133.39,7266.82,1159.51,15.96,15.11,22.81,2.84,7.17,7.99,0.28,11.38,1619.58,2.29,1313.93,887.37,2540.70,5.49,-0.13,0.19,1.64,30.51
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,919.80,50.74,11289.29,2512.27,781.18,31.09,28.67,20.07,3.74,4.26,15.37,0.02,18.69,1986.62,22.07,1002.85,409.92,722.51,6.69,1.66,-1.76,0.08,24.92
