Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,503.45,21752.03,3242.67,2471.69,76.22,76.30,22.92,3.41,0.85,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.74,-0.15,0.26,6.66,6.42
AAVAS Financiers,541988,AAVAS,Finance,1572.30,12446.54,2439.67,1827.58,74.91,75.29,21.19,2.85,1.23,3.27,3.19,14.11,1751.04,4.12,11.37,4.88,0.00,7.23,0.77,0.10,7.76,29.76
ACC,500410,ACC,Cement & Cement Products,1798.50,33773.54,22742.68,3159.95,13.89,14.07,14.47,1.82,2.19,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.87,-0.79,-0.17,0.13,29.33
Adani Power,533096,ADANIPOWER,Power,592.10,228369.35,55356.61,20796.41,37.57,38.11,18.40,4.05,0.49,12.46,0.70,26.10,8834.76,2648.97,13022.07,2977.66,3317.28,7.28,0.12,0.10,2.07,13.55
Aditya AMC,543374,ABSLAMC,Capital Markets,842.75,24325.07,1745.55,1034.68,59.28,64.91,25.03,6.52,2.19,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.43,-0.12,0.20,0.05,7.59
Afcons Infrastr.,544280,AFCONS,Construction,433.75,15952.66,12764.44,1437.77,11.26,10.85,29.95,3.03,2.79,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.00,2.46,-2.41,1.67,23.90
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,948.50,11631.37,2400.12,695.41,28.97,28.67,23.47,4.13,4.98,15.37,0.02,18.69,1387.38,38.07,969.74,390.46,673.95,5.77,0.43,-0.15,0.08,28.96
Amara Raja Ener.,500008,ARE&M,Auto Components,975.85,17860.53,12623.62,1585.38,12.56,13.17,21.36,2.42,1.08,9.28,0.04,12.34,1308.56,192.75,1142.80,1046.54,2036.44,6.48,-0.59,-1.32,0.22,38.13
Angel One,543235,ANGELONE,Capital Markets,2339.10,21201.17,4973.46,1785.14,35.89,37.85,21.33,3.76,0.92,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,13.13,2.16,1.61,2.03,33.23
Aptus Value Hou.,543335,APTUS,Finance,336.10,16817.47,1875.74,1584.23,84.46,84.58,21.05,3.89,0.79,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.96,6.16,2.67,4.24,16.33
AU Small Finance,540611,AUBANK,Banks,745.25,55569.70,16673.13,8607.88,51.63,53.37,25.44,3.23,1.10,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.24,1.70,2.10,11.89,11.39
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1045.60,61265.74,32024.85,6506.88,20.32,20.65,18.06,1.88,2.29,7.35,0.25,11.08,12480.11,537.21,5745.93,4188.85,10543.72,8.80,0.70,-0.95,1.53,34.34
Axis Bank,532215,AXISBANK,Banks,1050.10,325775.96,128563.88,78314.42,60.91,63.58,11.69,1.74,0.45,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.55,0.35,-0.13,12.85,18.07
Bajaj Finance,500034,BAJFINANCE,Finance,876.25,544526.86,73107.06,50059.96,68.47,68.79,31.25,5.63,0.94,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.51,-0.26,0.26,7.34,10.48
Bajaj Finserv,532978,BAJAJFINSV,Finance,1924.20,307451.22,137779.99,51699.34,37.52,37.01,32.28,4.24,1.29,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.80,1.10,0.87,7.05,9.87
Bajaj Housing,544252,BAJAJHFL,Finance,112.33,93597.11,9982.68,9123.08,91.39,91.85,41.35,4.69,0.92,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.17,-0.13,-0.08,9.04,40.41
Bandhan Bank,541153,BANDHANBNK,Banks,165.86,26719.57,21888.01,10207.15,46.63,51.91,13.01,1.09,0.07,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.31,0.16,1.61,12.17,23.02
Bank of Baroda,532134,BANKBARODA,Banks,235.14,121599.41,130143.00,81093.72,62.31,64.41,6.25,0.79,0.16,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.41,0.82,-0.90,14.97,11.92
Bank of India,532149,BANKINDIA,Banks,112.38,51162.88,72728.68,51338.40,70.59,71.03,5.19,0.63,0.12,0.94,11.91,12.35,0.00,9458.93,0.00,0.00,0.00,6.37,0.07,-0.35,15.72,13.79
Bank of Maha,532525,MAHABANK,Banks,53.23,40942.15,26126.89,16663.95,63.78,62.68,7.12,1.43,0.10,1.64,11.53,22.81,37828.80,3386.14,0.00,663.37,0.00,5.99,-0.27,0.17,16.51,16.33
Belrise Industri,544405,BELRISE,Auto Components,141.39,12582.00,8772.05,1061.56,12.10,12.32,31.81,,2.97,5.36,1.10,14.11,929.45,81.61,1591.13,1065.71,769.73,5.24,,,3.68,10.06
Birlasoft Ltd,532400,BSOFT,IT - Software,369.60,10274.99,5332.71,661.15,12.40,12.98,21.72,2.95,6.37,12.12,0.04,15.59,920.79,107.11,980.16,235.33,10.39,6.84,-2.11,0.70,0.22,46.37
Brigade Enterpr.,532929,BRIGADE,Realty,944.20,23084.09,5277.63,1444.97,27.38,28.00,30.70,4.09,0.66,3.39,0.97,14.92,2337.32,255.33,629.12,785.77,8868.81,5.55,0.57,-0.88,3.89,34.88
Canara Bank,532483,CANBK,Banks,106.01,96157.97,123951.13,75867.53,61.21,62.10,5.20,0.91,0.12,1.08,14.67,17.75,162006.81,31349.49,0.00,2572.54,0.00,7.01,-0.44,0.84,14.18,11.14
Capri Global,531595,CGCL,Finance,190.76,18344.15,3533.58,2259.60,63.95,61.76,31.75,3.66,0.97,2.66,3.62,11.76,1039.74,4.18,58.78,102.53,0.00,6.67,6.01,3.74,7.21,17.67
