Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,452.60,40.56,19669.66,3520.63,2695.55,76.56,76.30,18.87,2.85,0.70,4.31,2.55,16.86,1641.75,-8.34,0.00,108.12,0.00,7.54,0.20,0.08,6.58,17.38
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1553.20,27.25,29167.12,24689.33,3153.91,12.77,14.07,11.59,1.46,1.75,9.46,0.02,13.23,5242.34,716.80,3678.49,2001.25,1985.75,8.86,-1.18,0.95,0.19,26.85
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,867.00,44.73,10324.51,3211.94,495.23,15.42,15.20,24.42,5.79,0.43,16.70,0.08,28.65,314.99,124.57,276.23,784.88,612.28,5.62,-0.07,0.04,0.24,37.63
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,137.97,42.09,266070.93,54254.83,19886.27,36.65,38.11,23.23,4.55,0.62,12.46,0.83,26.10,9774.09,2156.96,9437.92,2976.65,3140.31,5.77,0.71,0.11,2.76,24.50
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,876.40,54.38,25309.17,1815.63,1082.18,59.60,64.91,24.86,7.10,2.18,24.44,0.02,26.99,-5.35,316.49,59.36,84.22,0.00,5.38,0.49,-0.13,0.05,6.23
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,338.10,42.47,88551.51,44263.78,15953.88,36.04,35.13,24.96,2.75,1.02,1.32,4.86,11.49,-60389.17,518.02,389.61,1641.74,0.00,6.81,1.85,-0.95,9.64,8.45
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,677.85,42.34,23792.54,7443.86,1236.48,16.61,16.23,30.92,4.00,1.36,8.27,0.41,15.53,2504.41,304.65,538.52,439.25,114.95,5.68,-0.84,0.99,1.80,28.38
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,284.30,15.57,10456.12,12543.26,1554.35,12.39,11.71,17.74,2.12,0.57,3.65,0.73,14.91,2666.01,287.63,2795.20,3564.31,993.06,10.75,1.66,0.00,2.48,43.01
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,705.25,22.34,13862.61,7266.82,1159.51,15.96,15.11,20.89,2.61,6.57,7.99,0.28,11.38,1619.58,2.29,1313.93,887.37,2540.70,5.95,-0.13,0.19,1.64,36.34
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,914.35,51.17,11222.40,2512.27,781.18,31.09,28.67,19.96,3.72,4.24,15.37,0.02,18.69,1986.62,22.07,1002.85,409.92,722.51,6.73,1.66,-1.76,0.08,25.37
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,824.45,38.49,15089.53,13062.79,1509.33,11.55,13.17,19.98,1.94,1.01,9.28,0.04,12.34,1398.88,162.37,1228.44,1191.66,2255.25,6.90,0.88,-0.60,0.27,25.66
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,226.32,32.21,20573.74,4733.20,1562.04,33.00,37.85,26.74,3.54,1.15,7.78,0.77,27.07,3734.86,9.63,283.00,7590.87,0.00,10.32,3.24,-0.66,3.07,31.11
