Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,484.80,21011.57,3375.53,2577.37,76.35,76.30,21.27,3.05,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.94,-0.18,0.53,6.89,11.50
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1516.30,11994.35,2527.53,1878.12,74.31,75.29,19.88,2.56,1.16,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.52,2.61,-3.89,7.82,32.26
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1850.50,34766.00,24060.83,3569.63,14.84,14.07,10.76,1.74,1.63,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.44,-1.58,0.38,0.13,20.41
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,147.34,284121.43,55474.57,20671.12,37.26,38.11,23.61,4.86,0.63,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.87,0.94,-0.93,2.56,19.38
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,735.15,21207.14,1782.66,1066.81,59.84,64.91,21.84,5.95,1.91,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.13,-0.50,0.66,0.05,19.39
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,409.00,15033.09,12793.14,1421.99,11.12,10.85,29.93,2.79,2.79,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.66,3.41,-2.99,2.61,28.25
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,904.60,11125.62,2481.22,740.22,29.83,28.67,20.98,3.68,4.45,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.43,-0.15,0.42,0.08,28.19
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,950.45,17403.87,12875.97,1550.66,12.04,13.17,21.57,2.24,1.09,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.34,2.24,-1.42,0.26,30.11
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2763.40,25109.97,4660.51,1528.72,32.80,37.85,32.10,4.31,1.38,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,7.64,-1.56,-1.55,3.13,21.12
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,282.70,14148.60,1998.39,1683.70,84.25,84.58,16.78,3.04,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.17,9.83,4.95,4.27,22.52
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1216.20,70798.69,32514.48,6618.84,20.36,20.65,20.69,2.02,2.62,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.81,0.67,-0.17,1.43,10.90
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2641.10,44785.81,3865.32,3616.75,93.57,89.63,11.15,2.77,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.74,0.09,6.17,0.77,20.42
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,793.40,10813.08,5963.96,745.01,12.49,11.30,17.48,3.59,0.53,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.61,0.19,-0.61,0.02,17.78
