Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Shriram Pistons,544344,SHRIPISTON,Auto Components,2388.20,10519.98,3676.09,753.99,20.51,20.40,20.04,4.39,0.44,14.87,0.21,23.20,1332.83,113.47,583.72,410.69,472.32,7.48,0.19,0.58,0.68,8.99
St Bk of India,500112,SBIN,Banks,794.00,732911.04,490937.79,238894.58,48.66,48.66,9.45,1.45,0.32,1.15,12.42,17.20,494623.49,172405.53,0.00,27793.09,0.00,6.20,2.16,0.04,14.85,9.31
Sun TV Network,532733,SUNTV,Entertainment,560.95,22106.18,4015.09,2127.84,53.00,53.00,12.67,1.90,3.23,14.51,0.01,15.73,7213.13,641.71,1222.44,269.66,0.00,10.48,-0.10,0.04,0.05,39.13
Sundaram Finance,590071,SUNDARMFIN,Finance,4568.50,50757.80,8512.82,6845.77,80.42,80.42,27.38,3.85,1.64,2.66,4.63,15.27,1722.36,50.16,89.87,222.20,0.00,6.05,0.28,-0.19,9.20,17.47
Tata Motors,500570,TATAMOTORS,Automobiles,648.85,238887.78,439695.00,55216.00,12.56,12.56,8.46,2.06,0.13,7.65,0.62,28.08,-33558.00,11774.00,13248.00,97368.00,47269.00,14.62,0.05,-0.67,1.82,43.18
Tata Power Co.,500400,TATAPOWER,Power,389.30,124394.57,66219.68,12983.37,19.61,18.58,30.18,3.47,1.47,3.05,1.75,10.97,-16783.64,2575.64,5709.78,13984.48,4571.82,6.48,0.08,0.67,5.53,21.33
TCS,532540,TCS,IT - Software,3003.00,1086511.68,256148.00,67620.00,26.40,26.40,22.05,11.47,2.69,32.07,0.10,52.38,39321.00,4660.00,59046.00,13909.00,21.00,6.19,0.46,-0.56,0.14,34.61
Time Technoplast,532856,TIMETECHNO,Industrial Products,452.30,10264.00,5457.04,784.95,14.38,14.38,26.46,3.55,0.97,9.27,0.25,14.25,1766.35,5.27,1162.35,451.08,1148.28,5.74,-0.07,0.22,1.18,11.93
Torrent Power,532779,TORNTPOWER,Power,1288.20,64912.85,29165.26,5321.58,18.25,18.25,22.98,3.69,0.48,8.28,0.50,19.03,157.53,472.99,2362.25,1824.13,658.02,5.58,-0.49,0.36,2.16,36.77
TVS Holdings,520056,TVSHLTD,Finance,11654.00,23578.49,47456.11,7385.89,15.56,15.21,18.48,5.02,0.50,4.78,6.93,30.20,440.62,59.45,1749.53,7665.70,2416.58,12.31,-0.26,0.15,5.18,23.01
Union Bank (I),532477,UNIONBANK,Banks,128.10,97786.49,109365.28,74066.07,67.72,67.96,5.20,0.86,0.10,1.24,11.77,17.05,122413.21,21632.43,0.00,2750.22,0.00,7.09,0.30,0.59,14.00,19.26
UTI AMC,543238,UTIAMC,Capital Markets,1297.00,16615.08,1878.78,1090.14,58.02,59.52,23.26,3.61,2.11,14.79,0.00,16.28,246.19,6.28,79.72,62.35,0.00,6.52,-0.24,-0.15,0.00,13.24
Vedanta,500295,VEDL,Diversified Metals,424.45,165976.42,155028.00,42316.00,27.30,27.68,12.29,4.03,-1.19,9.77,2.22,38.48,-34719.00,5595.00,3636.00,10195.00,14474.00,13.96,0.09,-0.55,2.62,19.46
Welspun Corp,532144,WELCORP,Industrial Products,897.50,23624.17,14391.80,1819.24,12.64,12.05,14.56,3.16,0.37,8.93,0.15,18.50,1568.30,1265.91,1769.13,3224.50,4211.54,9.66,0.22,-0.05,0.49,9.76
Welspun Living,514162,WELSPUNLIV,Textiles & Apparels,121.09,11767.63,10269.17,1179.08,11.48,12.31,21.74,2.44,11.15,6.51,0.57,13.69,2215.73,132.75,1644.93,1122.91,2183.37,6.66,0.31,-0.60,2.92,43.18
Wipro,507685,WIPRO,IT - Software,242.75,254469.43,89259.20,17900.20,20.05,20.23,18.90,3.07,8.25,10.82,0.23,16.59,8004.80,4255.70,11774.50,8825.20,69.40,7.36,0.31,-0.19,1.00,25.22
Zensar Tech.,504067,ZENSARTECH,IT - Software,792.20,17996.35,5377.50,831.10,15.46,15.47,26.70,4.42,1.77,12.77,0.03,16.43,1178.70,174.50,790.10,343.70,0.00,5.21,0.63,-0.42,0.14,19.57
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals & Biotechnology,949.05,95496.64,23241.50,7058.50,30.37,30.37,20.56,3.99,10.88,14.64,0.13,21.21,3153.40,49.90,4024.70,2305.80,3944.00,6.66,0.14,-0.18,0.50,28.34
