Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
AAVAS Financiers,541988,AAVAS,Finance,1650.00,13061.62,2439.67,1827.58,74.91,75.29,22.24,2.99,1.29,3.27,3.19,14.12,1773.87,4.12,11.37,4.88,0.00,7.06,0.77,0.10,7.76,26.28
ACC,500410,ACC,Cement & Cement Products,1821.10,34197.94,22742.68,3159.95,13.89,14.07,14.65,1.84,2.21,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.74,-0.79,-0.17,0.13,28.44
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",985.40,11734.46,3244.87,499.96,15.41,15.20,27.76,7.27,0.48,16.70,0.01,28.65,-134.51,123.91,264.66,808.61,515.11,5.08,0.08,-0.13,0.03,38.41
Adani Power,533096,ADANIPOWER,Power,594.30,229217.88,55356.61,20796.41,37.57,38.11,18.47,4.07,0.49,12.46,0.70,26.10,8834.76,2648.97,13022.07,2977.66,3317.28,7.25,0.12,0.10,2.07,13.23
Afcons Infrastr.,544280,AFCONS,Construction,430.95,15849.68,12764.44,1437.77,11.26,10.85,29.76,3.01,2.78,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.05,2.46,-2.41,1.67,24.39
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,969.70,11891.35,2400.12,695.41,28.97,28.67,23.99,4.22,5.09,15.37,0.02,18.69,1387.38,38.07,969.74,390.46,673.95,5.64,0.43,-0.15,0.08,27.37
Amara Raja Ener.,500008,ARE&M,Auto Components,987.75,18078.33,12623.62,1585.38,12.56,13.17,21.62,2.45,1.09,9.28,0.04,12.34,1308.56,192.75,1142.80,1046.54,2036.44,6.41,-0.59,-1.32,0.22,38.66
Angel One,543235,ANGELONE,Capital Markets,2518.60,22828.13,4973.46,1785.14,35.89,37.85,22.97,4.05,0.99,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,11.65,2.16,1.61,2.03,28.10
Aptus Value Hou.,543335,APTUS,Finance,345.95,17310.34,1875.74,1584.23,84.46,84.58,21.67,4.01,0.81,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.82,6.16,2.67,4.24,13.88
AU Small Finance,540611,AUBANK,Banks,742.05,55331.09,16673.13,8607.88,51.63,53.37,25.33,3.22,1.10,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.24,1.70,2.10,11.89,11.77
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1050.40,61546.99,32024.85,6506.88,20.32,20.65,18.15,1.88,2.30,7.35,0.25,11.08,12480.11,537.21,5745.93,4188.85,10543.72,8.76,0.70,-0.95,1.53,34.04
Axis Bank,532215,AXISBANK,Banks,1070.90,332217.19,128563.88,78314.42,60.91,63.58,11.92,1.77,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.53,0.35,-0.13,12.85,16.45
Bajaj Finance,500034,BAJFINANCE,Finance,894.50,555867.93,73107.06,50059.96,68.47,68.79,31.90,5.75,0.96,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.44,-0.26,0.26,7.34,8.61
Bajaj Finserv,532978,BAJAJFINSV,Finance,1965.90,314114.10,137779.99,51699.34,37.52,37.01,32.98,4.34,1.32,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.72,1.10,0.87,7.05,7.92
Bajaj Housing,544252,BAJAJHFL,Finance,112.93,94097.05,9982.68,9123.08,91.39,91.85,41.57,4.72,0.92,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.16,-0.13,-0.08,9.04,40.09
Bandhan Bank,541153,BANDHANBNK,Banks,173.23,27906.86,21888.01,10207.15,46.63,51.91,13.59,1.13,0.08,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.26,0.16,1.61,12.17,19.60
Bank of Baroda,532134,BANKBARODA,Banks,240.23,124231.63,130143.00,81093.72,62.31,64.41,6.38,0.81,0.17,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.40,0.82,-0.90,14.97,10.01
Bank of India,532149,BANKINDIA,Banks,115.46,52565.10,72728.68,51338.40,70.59,71.03,5.33,0.65,0.12,0.94,11.91,12.35,0.00,9458.93,0.00,0.00,0.00,6.36,0.07,-0.35,15.72,11.42
Bank of Maha,532525,MAHABANK,Banks,54.80,42149.72,26126.89,16663.95,63.78,62.68,7.33,1.47,0.11,1.64,11.53,22.81,37828.80,3386.14,0.00,663.37,0.00,5.96,-0.27,0.17,16.51,13.86
Belrise Industri,544405,BELRISE,Auto Components,146.58,13043.85,8772.05,1061.56,12.10,12.32,32.98,,3.08,5.36,1.10,14.11,929.45,81.61,1591.13,1065.71,769.73,5.08,,,3.68,6.76
Birlasoft Ltd,532400,BSOFT,IT - Software,375.40,10436.23,5332.71,661.15,12.40,12.98,22.06,3.00,6.47,12.12,0.04,15.59,920.79,107.11,980.16,235.33,10.39,6.73,-2.11,0.70,0.22,45.53
Brigade Enterpr.,532929,BRIGADE,Realty,962.50,23531.49,5277.63,1444.97,27.38,28.00,31.30,4.17,0.67,3.39,0.97,14.92,2337.32,255.33,629.12,785.77,8868.81,5.46,0.57,-0.88,3.89,33.62
Can Fin Homes,511196,CANFINHOME,Finance,769.75,10249.54,3967.50,3646.06,91.90,92.25,11.63,2.02,0.53,2.20,6.92,18.22,-71.39,1.38,0.93,6.08,0.00,8.08,-0.13,-0.04,9.65,19.12
Canara Bank,532483,CANBK,Banks,109.93,99713.67,123951.13,75867.53,61.21,62.10,5.40,0.95,0.13,1.08,14.67,17.75,162006.81,31349.49,0.00,2572.54,0.00,6.99,-0.44,0.84,14.18,7.85
Capri Global,531595,CGCL,Finance,187.96,18074.89,3533.58,2259.60,63.95,61.76,31.29,3.60,0.96,2.66,3.62,11.76,1039.74,4.18,58.78,102.53,0.00,6.72,6.01,3.74,7.21,18.88
Castrol India,500870,CASTROLIND,Petroleum Products,206.24,20399.66,5560.90,1318.85,23.72,23.83,21.33,11.22,3.21,26.09,0.04,41.83,827.05,85.57,562.13,770.16,612.05,6.65,0.35,-0.33,0.06,27.48
CEAT,500878,CEATLTD,Auto Components,3184.50,12881.33,13554.46,1478.99,10.91,11.16,27.99,2.95,0.35,4.66,0.49,11.77,-1732.81,-24.23,1653.31,2740.19,1411.53,6.10,-1.45,2.11,2.34,21.35
Central Bank,532885,CENTRALBK,Banks,35.82,32422.12,34053.81,19718.00,57.90,57.65,7.69,0.88,0.14,0.85,11.80,11.43,38551.56,6575.73,0.00,948.92,0.00,5.88,-0.81,-0.30,16.60,42.13
CESC,500084,CESC,Power,166.81,22111.84,17340.00,3182.00,18.35,16.76,16.05,1.84,-27.20,3.55,1.50,11.34,-139.82,1189.00,2427.66,1588.00,725.19,8.77,0.28,-0.08,5.68,21.57
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,561.55,22498.63,17410.58,2492.42,14.32,15.02,12.86,2.58,23.38,13.81,0.01,19.78,1619.69,339.97,367.92,630.27,1802.29,11.18,1.98,-3.07,0.04,24.37
Chola Financial,504973,CHOLAHLDNG,Finance,1862.60,34975.43,34788.94,19629.35,56.42,57.02,15.87,2.79,0.56,2.36,13.93,19.11,-8003.21,383.15,204.19,2289.25,0.00,9.87,-0.37,0.64,8.85,18.98
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,1524.10,128208.56,27300.47,19069.10,69.85,70.32,28.79,5.42,1.13,2.38,7.40,19.71,7527.49,351.53,204.19,236.94,0.00,6.53,0.56,-0.27,9.13,9.52
CIE Automotive,532756,CIEINDIA,Auto Components,398.55,15119.49,8886.21,1301.88,14.65,15.07,19.32,2.18,0.70,8.47,0.07,13.15,1085.46,126.54,1268.42,1661.71,1110.20,7.08,0.57,-0.23,0.45,33.89
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,1592.80,128659.07,27811.15,7190.24,25.85,25.87,23.86,4.12,0.92,14.72,0.01,17.77,10471.78,960.24,5506.37,2837.49,5642.11,5.49,1.09,-1.04,0.06,6.42
