Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,475.95,41.52,20646.54,3375.53,2577.37,76.35,76.30,20.90,2.99,0.77,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,7.01,-0.18,0.53,6.89,13.12
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1449.40,39.15,11476.28,2527.53,1878.12,74.31,75.29,19.02,2.45,1.11,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.69,2.61,-3.89,7.82,35.25
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1703.20,32.70,31983.93,24060.83,3569.63,14.84,14.07,9.90,1.60,1.50,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.35,-1.18,0.95,0.13,19.79
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,913.20,39.98,10874.68,3232.42,500.38,15.48,15.20,26.02,6.10,0.45,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.36,-0.22,-1.08,0.24,34.30
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,141.68,43.31,273225.55,55474.57,20671.12,37.26,38.11,22.71,4.67,0.60,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.07,0.72,0.11,2.56,22.47
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,802.50,52.07,23174.39,1782.66,1066.81,59.84,64.91,23.87,6.50,2.09,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.61,0.49,-0.13,0.05,11.97
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,363.05,29.58,13352.42,12793.14,1421.99,11.12,10.85,26.58,2.48,2.48,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.46,3.41,-2.99,2.61,32.50
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,799.95,23.33,15724.07,7083.25,1128.07,15.93,15.11,24.79,2.96,7.80,7.99,0.28,11.38,1619.58,38.88,1313.93,887.37,2540.70,5.14,-0.13,0.20,1.70,27.80
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,880.15,42.44,10797.80,2481.22,740.22,29.83,28.67,20.36,3.58,4.32,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.62,-0.15,0.42,0.08,30.13
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,896.80,34.11,16413.71,12875.97,1550.66,12.04,13.17,20.34,2.11,1.03,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.72,2.24,-1.42,0.26,19.89
Angel One,543235,ANGELONE,INE732I01013,Capital Markets,Stockbroking & Allied,2333.50,36.71,21201.13,4660.51,1528.72,32.80,37.85,27.10,3.64,1.16,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,9.67,-1.56,-1.55,3.13,28.96
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,275.45,39.63,13792.68,1998.39,1683.70,84.25,84.58,16.36,2.96,0.61,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.31,9.83,4.95,4.27,24.50
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1198.70,48.80,69620.69,32514.48,6618.84,20.36,20.65,20.34,1.99,2.57,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.94,0.67,-0.17,1.43,6.25
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),3047.80,57.85,51765.39,3865.32,3616.75,93.57,89.63,12.88,3.20,0.15,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,6.74,0.09,6.17,0.77,8.16
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,803.95,44.16,10953.47,5963.96,745.01,12.49,11.30,17.71,3.64,0.54,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.50,-0.03,1.00,0.02,16.69
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),959.60,33.99,597109.36,76194.74,52179.07,68.48,68.79,32.63,5.79,0.98,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.22,-0.13,0.26,7.75,12.96
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1992.40,36.48,318348.31,141479.18,53466.32,37.79,37.01,32.88,4.16,1.32,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.48,0.40,-0.29,7.51,9.23
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,93.52,32.70,77923.99,10327.38,9394.08,90.96,91.85,33.01,3.68,0.73,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.44,-0.05,-0.13,10.06,31.74
Bandhan Bank,541153,BANDHANBNK,INE545U01014,Banks,Private Sector Bank,144.03,42.60,23202.82,21742.03,9378.08,43.13,51.91,18.89,0.94,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.77,1.30,-0.90,13.34,25.17
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,62.48,61.41,48056.84,27237.84,17719.17,65.05,62.68,7.90,1.53,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.79,3.44,2.58,15.82,5.29
Belrise Industri,544405,BELRISE,INE894V01022,Auto Components,Auto Components & Equipments,174.10,52.21,15492.80,9056.86,1114.49,12.31,12.32,34.03,3.12,3.19,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.25,-3.12,0.89,1.64,8.42
Birlasoft Ltd,532400,BSOFT,INE836A01035,IT - Software,Computers - Software & Consulting,422.05,47.95,11762.12,5293.39,709.98,13.41,12.98,25.48,3.18,7.47,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,6.29,-0.50,-1.13,0.21,25.22
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",302.00,34.49,12434.58,2652.82,749.16,28.24,29.58,20.65,5.84,0.32,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,6.41,0.03,-1.72,0.54,41.70
Brigade Enterpr.,532929,BRIGADE,INE791I01019,Realty,"Residential, Commercial Projects",858.85,39.10,20998.73,5588.84,1480.83,26.50,28.00,26.40,3.24,0.57,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.88,-0.16,-0.66,3.80,35.54
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance,Housing Finance Company,891.70,41.87,11873.35,4054.47,3728.00,91.95,92.25,12.89,2.17,0.58,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.79,0.82,0.72,9.72,8.21
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1813.50,39.58,13784.72,2039.67,697.27,34.19,33.59,23.41,4.36,1.09,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.63,-0.12,0.35,0.01,24.59
Capri Global,531595,CGCL,INE180C01042,Finance,Non Banking Financial Company (NBFC),183.96,48.98,17699.78,3903.31,2540.55,65.09,61.76,24.70,2.65,0.76,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.48,-0.18,-0.33,6.88,20.60
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,188.65,47.92,18659.79,5635.47,1355.54,24.05,23.83,19.11,10.26,2.88,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.45,0.03,-0.04,0.05,25.14
CEAT,500878,CEATLTD,INE482A01020,Auto Components,Tyres & Rubber Products,3728.60,44.07,15082.22,14022.58,1620.09,11.55,11.16,28.77,3.30,0.36,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.62,0.98,-1.18,3.06,15.98
Central Bank,532885,CENTRALBK,INE483A01010,Banks,Public Sector Bank,36.90,44.41,33399.67,34595.01,20430.76,59.06,57.65,7.38,0.87,0.13,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,34.43
CESC,500084,CESC,INE486A01021,Power,Integrated Power Utilities,165.47,42.92,21934.21,17907.00,3347.00,18.69,16.76,15.13,1.73,-25.64,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,9.04,0.27,0.16,5.74,10.68
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,450.55,41.93,18051.39,19477.16,2543.99,13.06,15.02,9.69,1.83,17.62,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,14.48,-2.56,1.23,0.04,39.32
Chola Financial,504973,CHOLAHLDNG,INE149A01033,Finance,Investment Company,1821.00,43.46,34194.28,36160.19,20178.18,55.80,57.02,15.35,2.50,0.54,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.63,1.09,-0.93,9.22,20.79
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance,Non Banking Financial Company (NBFC),1717.10,49.32,144926.19,28536.73,19741.86,69.18,70.32,31.20,5.57,1.22,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.17,1.22,-1.11,9.44,6.26
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components,Auto Components & Equipments,407.85,47.95,15472.29,9123.42,1326.97,14.54,15.07,19.31,2.23,0.70,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,6.98,0.04,0.08,0.44,16.27
Cipla,500087,CIPLA,INE059A01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1465.70,38.82,118395.03,28349.57,7199.40,25.40,25.87,21.76,3.60,0.84,14.72,0.01,17.77,18620.79,1038.58,6902.26,3035.06,6160.12,6.01,1.00,-0.70,0.07,12.39
City Union Bank,532210,CUB,INE491A01021,Banks,Private Sector Bank,281.10,49.70,20860.38,6269.92,4325.87,68.99,70.59,17.26,2.10,1.24,1.51,7.22,12.58,7007.20,982.62,0.00,0.00,0.00,6.05,1.52,-1.42,13.50,7.06
Cyient,532175,CYIENT,INE136B01020,IT - Services,IT Enabled Services,1159.10,53.88,12879.30,7328.40,1018.90,13.90,15.47,22.84,2.31,4.18,8.87,0.08,12.81,2894.00,164.80,1171.20,404.10,596.80,7.46,2.79,-3.81,0.49,35.89
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1206.40,39.04,15229.33,10910.95,1942.77,17.81,18.73,15.47,2.34,1.39,7.47,0.68,15.56,1643.01,112.96,1713.47,2332.01,1740.03,8.43,0.34,-0.31,2.71,32.17
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1210.10,31.03,100998.62,34310.00,8454.40,24.64,26.18,17.50,2.80,0.46,12.95,0.16,17.96,12851.70,1302.70,9775.40,3532.30,7582.20,7.49,1.26,-0.64,0.75,12.29
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,346.60,27.50,21675.12,2799.14,1021.11,36.48,37.48,28.44,4.61,0.31,14.70,0.05,17.95,1050.59,76.98,218.27,241.26,64.16,5.19,0.39,0.01,0.23,20.29
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,193.44,40.55,10872.15,3566.47,590.69,16.56,16.66,20.23,4.02,0.33,11.39,0.01,23.17,460.76,147.65,499.99,586.19,0.64,7.23,-0.56,-0.13,0.03,24.27
