Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,453.10,40.88,19691.39,3520.63,2695.55,76.56,76.30,18.89,2.85,0.70,4.31,2.55,16.86,1641.75,-8.34,0.00,108.12,0.00,7.53,0.20,0.08,6.58,17.29
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1523.60,23.79,28611.27,24689.33,3153.91,12.77,14.07,11.37,1.44,1.72,9.46,0.02,13.23,5242.34,716.80,3678.49,2001.25,1985.75,9.03,-1.18,0.95,0.19,28.24
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,872.80,47.31,10393.58,3211.94,495.23,15.42,15.20,24.59,5.83,0.43,16.70,0.08,28.65,314.99,124.57,276.23,784.88,612.28,5.59,-0.07,0.04,0.24,37.21
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,140.11,46.18,270197.86,54254.83,19886.27,36.65,38.11,23.59,4.62,0.63,12.46,0.83,26.10,9774.09,2156.96,9437.92,2976.65,3140.31,5.69,0.71,0.11,2.76,23.33
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,327.60,38.52,85810.34,44263.78,15953.88,36.04,35.13,24.18,2.66,0.99,1.32,4.86,11.49,-60389.17,518.02,389.61,1641.74,0.00,6.89,1.85,-0.95,9.64,11.29
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,663.65,40.95,23294.12,7443.86,1236.48,16.61,16.23,30.27,3.92,1.33,8.27,0.41,15.53,2504.41,304.65,538.52,439.25,114.95,5.80,-0.84,0.99,1.80,29.88
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,284.75,21.47,10472.67,12543.26,1554.35,12.39,11.71,17.76,2.12,0.58,3.65,0.73,14.91,2666.01,287.63,2795.20,3564.31,993.06,10.74,1.66,0.00,2.48,42.92
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,707.50,27.04,13906.84,7266.82,1159.51,15.96,15.11,20.96,2.61,6.59,7.99,0.28,11.38,1619.58,2.29,1313.93,887.37,2540.70,5.93,-0.13,0.19,1.64,36.14
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,910.00,49.78,11169.01,2512.27,781.18,31.09,28.67,19.86,3.70,4.22,15.37,0.02,18.69,1986.62,22.07,1002.85,409.92,722.51,6.76,1.66,-1.76,0.08,25.72
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,805.05,34.94,14734.46,13062.79,1509.33,11.55,13.17,19.51,1.89,0.99,9.28,0.04,12.34,1398.88,162.37,1228.44,1191.66,2255.25,7.06,0.88,-0.60,0.27,27.41
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,224.68,33.04,20424.65,4733.20,1562.04,33.00,37.85,26.55,3.51,1.14,7.78,0.77,27.07,3734.86,9.63,283.00,7590.87,0.00,10.43,3.24,-0.66,3.07,31.60
