Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,484.00,46.44,20995.74,3375.53,2577.37,76.35,76.30,21.25,3.04,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.94,-0.18,0.53,6.89,11.65
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1480.30,41.33,11720.94,2527.53,1878.12,74.31,75.29,19.43,2.50,1.13,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.61,2.61,-3.89,7.82,33.87
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1735.30,32.57,32586.72,24060.83,3569.63,14.84,14.07,10.09,1.63,1.52,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.14,-1.58,0.38,0.13,18.27
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,951.20,45.73,11327.19,3232.42,500.38,15.48,15.20,27.10,6.35,0.47,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.14,-0.22,-1.08,0.24,40.55
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,142.19,42.95,274209.07,55474.57,20671.12,37.26,38.11,22.79,4.69,0.60,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.05,0.94,-0.93,2.56,22.19
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,770.45,56.29,22248.86,1782.66,1066.81,59.84,64.91,22.91,6.24,2.01,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.85,-0.50,0.66,0.05,15.48
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,348.15,52.55,91068.01,41693.04,15151.78,36.34,35.13,27.91,2.83,1.14,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.39,0.76,-0.37,10.16,5.64
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas,720.80,36.11,25300.08,7425.45,1172.28,15.79,16.23,35.29,4.26,1.55,8.27,0.41,15.53,2504.41,283.91,538.52,439.25,114.95,5.07,-0.15,0.09,1.90,30.49
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,389.95,43.06,14341.76,12793.14,1421.99,11.12,10.85,28.55,2.66,2.66,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.97,3.41,-2.99,2.61,31.59
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,907.20,52.49,11129.65,2481.22,740.22,29.83,28.67,20.98,3.69,4.45,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.43,-0.15,0.42,0.08,27.99
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,920.40,36.48,16845.65,12875.97,1550.66,12.04,13.17,20.88,2.16,1.05,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.55,2.24,-1.42,0.26,25.25
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2495.80,42.45,22671.68,4660.51,1528.72,32.80,37.85,28.98,3.90,1.24,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.79,-1.56,-1.55,3.13,24.02
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,280.90,41.81,14065.30,1998.39,1683.70,84.25,84.58,16.68,3.02,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.20,9.83,4.95,4.27,23.01
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1206.20,53.21,70056.29,32514.48,6618.84,20.36,20.65,20.47,2.00,2.59,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.89,0.67,-0.17,1.43,11.63
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2883.30,58.10,48971.44,3865.32,3616.75,93.57,89.63,12.19,3.02,0.14,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.11,0.09,6.17,0.77,13.12
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,836.05,56.40,11390.82,5963.96,745.01,12.49,11.30,18.42,3.78,0.56,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.15,0.19,-0.61,0.02,13.36
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1228.20,41.51,381354.99,129272.60,77132.26,59.67,63.58,14.67,1.92,0.57,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.08,1.65,-1.92,13.49,5.81
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1000.00,43.64,622248.19,76194.74,52179.07,68.48,68.79,34.00,6.03,1.02,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.09,-0.13,0.26,7.75,9.30
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2017.60,41.56,322374.80,141479.18,53466.32,37.79,37.01,33.30,4.21,1.33,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.44,0.40,-0.29,7.51,8.08
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,95.13,29.46,79265.50,10327.38,9394.08,90.96,91.85,33.57,3.74,0.75,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.40,-0.05,-0.13,10.06,30.56
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,144.88,43.44,23339.75,21742.03,9378.08,43.13,51.91,19.00,0.95,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.77,1.30,-0.90,13.34,24.73
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,288.20,51.28,149038.66,131574.32,83732.48,63.64,64.41,7.75,0.94,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.02,0.14,0.63,15.69,5.18
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,139.77,45.64,63632.64,73784.35,53001.26,71.83,71.03,6.35,0.76,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.26,-0.34,0.71,15.56,7.70
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,56.99,46.62,43834.17,27237.84,17719.17,65.05,62.68,7.20,1.40,0.10,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.86,2.34,2.79,15.82,7.42
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,448.75,67.54,12506.22,5293.39,709.98,13.41,12.98,27.09,3.38,7.94,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,5.90,-0.50,-1.13,0.21,22.76
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",320.20,48.78,13183.94,2652.82,749.16,28.24,29.58,21.90,6.19,0.33,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,6.02,0.03,-1.72,0.54,38.69
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",880.05,45.37,21517.07,5588.84,1480.83,26.50,28.00,27.05,3.32,0.58,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.76,-0.16,-0.66,3.80,33.95
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1915.80,45.35,14562.32,2039.67,697.27,34.19,33.59,24.73,4.61,1.15,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.32,-0.12,0.35,0.01,27.04
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),178.69,37.15,17192.73,3903.31,2540.55,65.09,61.76,23.99,2.58,0.74,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.60,-0.24,0.11,6.88,22.88
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,193.48,63.22,19137.54,5635.47,1355.54,24.05,23.83,19.60,10.52,2.95,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.25,0.03,-0.04,0.05,23.22
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3857.80,50.05,15604.84,14022.58,1620.09,11.55,11.16,29.77,3.41,0.38,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.46,0.98,-1.18,3.06,13.07
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,36.86,46.37,33363.47,34595.01,20430.76,59.06,57.65,7.37,0.87,0.13,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,34.73
CESC,500084,CESC,Power,Integrated Power Utilities,166.59,42.74,22082.68,17907.00,3347.00,18.69,16.76,15.23,1.74,-25.81,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,9.00,0.27,0.16,5.74,13.37
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,473.50,66.23,18970.89,19477.16,2543.99,13.06,15.02,10.19,1.93,18.53,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,13.76,-2.56,1.23,0.04,36.22
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1858.40,47.66,34896.56,36160.19,20178.18,55.80,57.02,15.66,2.55,0.55,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.60,1.09,-0.93,9.22,19.16
CIE Automotive,532756,CIEINDIA,Auto Components,Auto Components & Equipments,393.25,35.80,14918.43,9123.42,1326.97,14.54,15.07,18.62,2.15,0.68,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,7.23,0.04,0.08,0.44,21.09
