Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,461.85,43.99,20156.98,3672.58,2803.94,76.35,76.35,18.16,2.63,0.72,4.38,2.49,15.93,674.8,-1.62,0.0,123.65,0.0,7.34,0.7,-0.06,6.73,0.0,15.69
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1265.0,34.25,10029.9,2683.46,1977.01,73.67,73.67,15.32,1.99,1.02,3.29,3.11,13.92,2050.61,1.38,14.89,10.59,0.0,8.12,7.84,-7.98,8.11,0.0,41.24
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1318.1,38.34,24752.25,25961.85,2957.97,11.39,11.39,11.58,1.21,0.37,8.02,0.02,10.86,5611.37,428.97,3841.63,2453.81,1789.12,9.05,0.25,-0.06,0.19,0.56,35.03
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,883.95,54.22,10526.35,3280.44,503.95,15.36,15.36,25.37,5.18,0.66,13.93,0.0,22.9,406.24,110.06,284.3,916.5,605.4,5.43,0.08,-0.82,0.01,0.22,30.48
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,344.0,54.31,90189.6,45508.98,16694.14,36.68,36.68,23.72,2.62,-3.19,1.27,5.22,11.74,-66325.64,505.92,843.34,1842.17,0.0,6.31,-0.96,1.86,10.59,0.0,8.5
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,755.55,64.34,26519.84,8333.21,1451.85,17.42,17.42,29.52,4.35,1.16,8.66,0.69,16.81,2450.62,326.58,481.0,706.9,128.56,5.85,-1.74,1.69,2.63,0.92,20.01
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,745.35,46.96,14650.9,7344.9,1118.46,15.23,15.23,20.09,2.59,0.71,8.78,0.25,13.43,1978.76,-12.33,1466.3,835.08,2510.64,5.43,0.0,0.03,1.67,1.47,32.72
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,996.05,43.48,12225.51,2551.83,797.29,31.24,31.24,20.91,3.68,2.72,15.79,0.02,18.99,2141.32,34.75,1072.96,372.37,691.93,6.15,0.14,0.22,0.07,0.48,13.31
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5323.0,40.18,63644.37,14712.27,3005.21,20.43,20.43,26.13,4.63,0.83,12.9,0.15,18.88,7427.82,408.52,2979.11,2244.18,3333.22,5.08,-0.15,0.18,0.64,0.86,10.29
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,824.45,49.81,15089.53,13548.86,1544.23,11.4,11.4,19.44,1.85,43.2,7.37,0.05,10.01,1388.15,351.06,1167.27,1202.82,2282.79,6.88,-0.17,-0.06,0.34,1.28,22.07
