Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,486.90,48.74,21121.54,3375.53,2577.37,76.35,76.30,21.38,3.06,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.92,-0.18,0.53,6.89,11.12
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1511.80,45.89,11970.36,2527.53,1878.12,74.31,75.29,19.84,2.56,1.16,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.53,2.61,-3.89,7.82,32.46
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1739.40,33.34,32663.72,24060.83,3569.63,14.84,14.07,10.11,1.64,1.53,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.11,-1.58,0.38,0.13,18.08
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,960.70,47.82,11440.32,3232.42,500.38,15.48,15.20,27.37,6.42,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.09,-0.22,-1.08,0.24,39.96
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,143.16,44.94,276079.69,55474.57,20671.12,37.26,38.11,22.95,4.72,0.61,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.02,0.94,-0.93,2.56,21.66
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,773.70,57.96,22342.71,1782.66,1066.81,59.84,64.91,23.01,6.27,2.01,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.82,-0.50,0.66,0.05,15.13
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,347.40,51.85,90871.83,41693.04,15151.78,36.34,35.13,27.85,2.82,1.14,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.39,0.76,-0.37,10.16,5.84
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas,725.95,37.95,25480.85,7425.45,1172.28,15.79,16.23,35.54,4.29,1.56,8.27,0.41,15.53,2504.41,283.91,538.52,439.25,114.95,5.03,-0.15,0.09,1.90,30.00
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,387.65,40.94,14257.17,12793.14,1421.99,11.12,10.85,28.39,2.65,2.65,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.01,3.41,-2.99,2.61,31.99
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,904.65,51.60,11098.37,2481.22,740.22,29.83,28.67,20.92,3.68,4.44,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.44,-0.15,0.42,0.08,28.19
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,925.35,38.89,16936.25,12875.97,1550.66,12.04,13.17,20.99,2.18,1.06,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.52,2.24,-1.42,0.26,24.84
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2523.80,44.57,22926.03,4660.51,1528.72,32.80,37.85,29.31,3.94,1.26,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.66,-1.56,-1.55,3.13,23.17
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,282.25,43.40,14132.90,1998.39,1683.70,84.25,84.58,16.76,3.03,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.18,9.83,4.95,4.27,22.64
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1211.40,55.10,70358.31,32514.48,6618.84,20.36,20.65,20.56,2.01,2.60,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.86,0.67,-0.17,1.43,11.25
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2921.80,61.29,49625.34,3865.32,3616.75,93.57,89.63,12.35,3.06,0.14,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.02,0.09,6.17,0.77,11.96
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,821.30,52.63,11189.85,5963.96,745.01,12.49,11.30,18.09,3.72,0.55,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.31,0.19,-0.61,0.02,14.89
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1226.30,40.57,380765.04,129272.60,77132.26,59.67,63.58,14.65,1.92,0.57,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.08,1.65,-1.92,13.49,5.96
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1011.70,48.21,629528.49,76194.74,52179.07,68.48,68.79,34.40,6.10,1.04,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.05,-0.13,0.26,7.75,8.24
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2035.70,45.04,325266.84,141479.18,53466.32,37.79,37.01,33.60,4.25,1.35,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.41,0.40,-0.29,7.51,7.26
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,95.16,29.56,79290.50,10327.38,9394.08,90.96,91.85,33.58,3.74,0.75,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.40,-0.05,-0.13,10.06,30.54
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,146.33,45.48,23573.34,21742.03,9378.08,43.13,51.91,19.19,0.96,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.76,1.30,-0.90,13.34,23.98
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,139.78,45.66,63637.19,73784.35,53001.26,71.83,71.03,6.35,0.76,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.26,-0.34,0.71,15.56,7.69
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,57.26,48.25,44041.84,27237.84,17719.17,65.05,62.68,7.24,1.40,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.85,2.34,2.79,15.82,6.99
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,449.40,68.07,12524.34,5293.39,709.98,13.41,12.98,27.13,3.38,7.96,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,5.89,-0.50,-1.13,0.21,22.65
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",323.85,51.79,13334.23,2652.82,749.16,28.24,29.58,22.15,6.26,0.34,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,5.95,0.03,-1.72,0.54,38.00
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",879.50,45.14,21503.62,5588.84,1480.83,26.50,28.00,27.03,3.32,0.58,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.76,-0.16,-0.66,3.80,33.99
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1970.10,54.58,14975.06,2039.67,697.27,34.19,33.59,25.43,4.74,1.18,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.16,-0.12,0.35,0.01,25.40
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),178.08,35.53,17134.04,3903.31,2540.55,65.09,61.76,23.91,2.57,0.73,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.61,-0.24,0.11,6.88,23.14
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,189.39,53.99,18732.99,5635.47,1355.54,24.05,23.83,19.18,10.30,2.89,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.42,0.03,-0.04,0.05,24.85
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3878.00,51.60,15686.55,14022.58,1620.09,11.55,11.16,29.92,3.43,0.38,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.44,0.98,-1.18,3.06,12.62
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,37.01,48.00,33499.24,34595.01,20430.76,59.06,57.65,7.40,0.87,0.13,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,34.46
CESC,500084,CESC,Power,Integrated Power Utilities,168.33,46.07,22313.33,17907.00,3347.00,18.69,16.76,15.39,1.76,-26.08,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,8.95,0.27,0.16,5.74,12.46
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,473.50,66.23,18970.89,19477.16,2543.99,13.06,15.02,10.19,1.93,18.53,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,13.76,-2.56,1.23,0.04,36.22
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1902.80,53.26,35730.30,36160.19,20178.18,55.80,57.02,16.04,2.61,0.56,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.56,1.09,-0.93,9.22,17.23
