Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,481.35,20868.56,3375.53,2577.37,76.35,76.30,21.12,3.02,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.97,-0.18,0.53,6.89,12.13
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1482.10,11735.20,2527.53,1878.12,74.31,75.29,19.45,2.51,1.13,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.60,2.61,-3.89,7.82,33.79
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1815.20,34087.14,24060.83,3569.63,14.84,14.07,10.55,1.71,1.59,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.65,-1.58,0.38,0.13,20.91
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,976.65,11630.26,3232.42,500.38,15.48,15.20,27.82,6.52,0.49,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.01,-0.22,-1.08,0.24,38.96
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,142.73,275250.45,55474.57,20671.12,37.26,38.11,22.88,4.71,0.61,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.03,0.94,-0.93,2.56,21.90
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,727.50,21003.58,1782.66,1066.81,59.84,64.91,21.63,5.89,1.89,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.19,-0.50,0.66,0.05,20.20
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,400.30,14722.42,12793.14,1421.99,11.12,10.85,29.31,2.73,2.73,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.80,3.41,-2.99,2.61,29.77
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,872.05,10698.43,2481.22,740.22,29.83,28.67,20.17,3.55,4.28,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.68,-0.15,0.42,0.08,30.78
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,940.30,17209.87,12875.97,1550.66,12.04,13.17,21.33,2.21,1.08,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.41,2.24,-1.42,0.26,30.86
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2625.00,23845.33,4660.51,1528.72,32.80,37.85,30.49,4.10,1.31,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.20,-1.56,-1.55,3.13,25.07
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,283.95,14218.02,1998.39,1683.70,84.25,84.58,16.86,3.05,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.14,9.83,4.95,4.27,22.17
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1223.10,71037.85,32514.48,6618.84,20.36,20.65,20.76,2.03,2.63,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.78,0.67,-0.17,1.43,10.39
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2600.10,44161.42,3865.32,3616.75,93.57,89.63,10.99,2.73,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.85,0.09,6.17,0.77,21.65
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,818.20,11147.62,5963.96,745.01,12.49,11.30,18.02,3.70,0.54,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.34,0.19,-0.61,0.02,15.21
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2049.20,327423.89,141479.18,53466.32,37.79,37.01,33.82,4.28,1.35,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.39,0.40,-0.29,7.51,6.64
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,96.31,80248.71,10327.38,9394.08,90.96,91.85,33.99,3.79,0.76,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.37,-0.05,-0.13,10.06,34.79
