Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,480.45,20841.30,3375.53,2577.37,76.35,76.30,21.10,3.02,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.97,-0.18,0.53,6.89,12.29
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1455.70,11526.16,2527.53,1878.12,74.31,75.29,19.11,2.46,1.11,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.67,2.61,-3.89,7.82,34.97
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1754.90,32954.79,24060.83,3569.63,14.84,14.07,10.20,1.65,1.54,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.02,-1.58,0.38,0.13,17.73
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,925.20,11017.58,3232.42,500.38,15.48,15.20,26.36,6.18,0.46,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.29,-0.22,-1.08,0.24,42.18
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,141.30,272492.74,55474.57,20671.12,37.26,38.11,22.65,4.66,0.60,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.09,0.94,-0.93,2.56,22.68
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,784.40,22651.70,1782.66,1066.81,59.84,64.91,23.33,6.35,2.04,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.74,-0.50,0.66,0.05,13.95
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,344.25,90047.86,41693.04,15151.78,36.34,35.13,27.60,2.79,1.13,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.41,0.76,-0.37,10.16,6.69
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,379.45,13955.59,12793.14,1421.99,11.12,10.85,27.79,2.59,2.59,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.15,3.41,-2.99,2.61,33.43
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,899.90,11040.09,2481.22,740.22,29.83,28.67,20.81,3.66,4.42,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.48,-0.15,0.42,0.08,28.57
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,924.15,16914.29,12875.97,1550.66,12.04,13.17,20.96,2.17,1.06,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.52,2.24,-1.42,0.26,27.51
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2479.10,22519.98,4660.51,1528.72,32.80,37.85,28.79,3.87,1.24,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.88,-1.56,-1.55,3.13,24.53
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,282.85,14162.94,1998.39,1683.70,84.25,84.58,16.79,3.04,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.17,9.83,4.95,4.27,22.47
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1209.30,70236.34,32514.48,6618.84,20.36,20.65,20.52,2.00,2.60,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.87,0.67,-0.17,1.43,11.40
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2702.20,45895.54,3865.32,3616.75,93.57,89.63,11.42,2.83,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.56,0.09,6.17,0.77,18.58
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,856.05,11663.31,5963.96,745.01,12.49,11.30,18.86,3.87,0.57,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,7.95,0.19,-0.61,0.02,11.29
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1229.80,381759.76,129272.60,77132.26,59.67,63.58,14.69,1.92,0.57,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.08,1.65,-1.92,13.49,5.69
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1000.30,622434.86,76194.74,52179.07,68.48,68.79,34.01,6.03,1.02,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.09,-0.13,0.26,7.75,9.27
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2026.30,323764.89,141479.18,53466.32,37.79,37.01,33.44,4.23,1.34,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.43,0.40,-0.29,7.51,7.69
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,95.04,79190.51,10327.38,9394.08,90.96,91.85,33.54,3.74,0.75,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.40,-0.05,-0.13,10.06,30.63
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,145.33,23412.25,21742.03,9378.08,43.13,51.91,19.06,0.95,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.76,1.30,-0.90,13.34,24.50
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,288.10,148986.94,131574.32,83732.48,63.64,64.41,7.75,0.94,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.02,0.14,0.63,15.69,5.21
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,142.30,64784.46,73784.35,53001.26,71.83,71.03,6.47,0.78,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.25,-0.34,0.71,15.56,6.03
