Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,481.40,20882.51,3375.53,2577.37,76.35,76.30,21.14,3.02,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.97,-0.18,0.53,6.89,12.12
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1497.10,11853.96,2527.53,1878.12,74.31,75.29,19.65,2.53,1.15,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.57,2.61,-3.89,7.82,33.12
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1798.20,33767.91,24060.83,3569.63,14.84,14.07,10.45,1.69,1.58,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.75,-1.58,0.38,0.13,21.65
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,962.25,11458.78,3232.42,500.38,15.48,15.20,27.41,6.43,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.08,-0.22,-1.08,0.24,39.86
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,143.78,277275.34,55474.57,20671.12,37.26,38.11,23.05,4.74,0.61,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.99,0.94,-0.93,2.56,21.32
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,726.50,20974.71,1782.66,1066.81,59.84,64.91,21.60,5.88,1.89,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.20,-0.50,0.66,0.05,20.30
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,398.90,14670.93,12793.14,1421.99,11.12,10.85,29.21,2.72,2.72,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.82,3.41,-2.99,2.61,30.02
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,883.75,10841.96,2481.22,740.22,29.83,28.67,20.44,3.60,4.34,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.60,-0.15,0.42,0.08,29.85
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,945.60,17306.88,12875.97,1550.66,12.04,13.17,21.45,2.22,1.08,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.38,2.24,-1.42,0.26,30.47
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2641.70,23997.03,4660.51,1528.72,32.80,37.85,30.68,4.12,1.32,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.13,-1.56,-1.55,3.13,24.59
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,281.70,14105.36,1998.39,1683.70,84.25,84.58,16.73,3.03,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.19,9.83,4.95,4.27,22.79
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1217.60,70718.41,32514.48,6618.84,20.36,20.65,20.66,2.02,2.62,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.82,0.67,-0.17,1.43,10.80
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2641.30,44861.19,3865.32,3616.75,93.57,89.63,11.17,2.77,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.73,0.09,6.17,0.77,20.41
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,819.60,11166.69,5963.96,745.01,12.49,11.30,18.05,3.71,0.55,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.32,0.19,-0.61,0.02,15.07
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,95.55,79615.46,10327.38,9394.08,90.96,91.85,33.72,3.76,0.75,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.39,-0.05,-0.13,10.06,34.42
Banco Products,500039,BANCOINDIA,Auto Components,Auto Components & Equipments,747.75,10695.61,3521.99,603.79,17.14,19.02,24.71,6.54,0.69,16.03,0.45,32.18,1423.36,96.36,768.67,434.69,1376.40,5.26,-0.14,0.57,1.22,15.01
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,140.08,22566.49,21742.03,9378.08,43.13,51.91,18.37,0.92,0.10,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.79,1.30,-0.90,13.34,27.22
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,143.11,65153.23,73784.35,53001.26,71.83,71.03,6.50,0.78,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.25,-0.34,0.71,15.56,5.49
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,56.98,43826.48,27237.84,17719.17,65.05,62.68,7.20,1.40,0.10,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.86,-0.34,0.46,15.82,7.44
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,160.97,14324.39,9056.86,1114.49,12.31,12.32,31.46,2.88,2.95,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.65,-3.12,0.89,1.64,6.79
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,432.75,12053.95,5293.39,709.98,13.41,12.98,26.11,3.26,7.66,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,6.13,-0.50,-1.13,0.21,30.69
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",332.75,13700.68,2652.82,749.16,28.24,29.58,22.76,6.43,0.35,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,5.78,0.03,-1.72,0.54,36.29
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",883.15,21592.86,5588.84,1480.83,26.50,28.00,27.15,3.33,0.58,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.74,-0.16,-0.66,3.80,34.03
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1963.40,14924.14,2039.67,697.27,34.19,33.59,25.35,4.72,1.18,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.18,-0.12,0.35,0.01,25.66
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),188.99,18183.75,3903.31,2540.55,65.09,61.76,25.37,2.72,0.78,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.37,-0.24,0.11,6.88,18.43
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,191.23,18914.99,5635.47,1355.54,24.05,23.83,19.37,10.40,2.92,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.34,0.03,-0.04,0.05,24.12
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3906.90,15803.45,14022.58,1620.09,11.55,11.16,30.15,3.46,0.38,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.40,0.98,-1.18,3.06,11.97
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,36.89,33390.62,34595.01,20430.76,59.06,57.65,7.38,0.87,0.13,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,38.81
CESC,500084,CESC,Power,Integrated Power Utilities,174.00,23064.93,17907.00,3347.00,18.69,16.76,15.91,1.81,-26.97,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,8.77,0.27,0.16,5.74,14.07
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,431.85,17302.17,19477.16,2543.99,13.06,15.02,9.29,1.76,16.89,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,15.12,-2.56,1.23,0.04,41.83
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1917.60,36008.21,36160.19,20178.18,55.80,57.02,16.16,2.63,0.57,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.55,1.09,-0.93,9.22,16.59
CIE Automotive,532756,CIEINDIA,Auto Components,Auto Components & Equipments,414.85,15737.85,9123.42,1326.97,14.54,15.07,19.64,2.27,0.71,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,6.86,0.04,0.08,0.44,20.39
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1520.80,122845.85,28349.57,7199.40,25.40,25.87,22.58,3.73,0.87,14.72,0.01,17.77,18620.79,1038.58,6902.26,3035.06,6160.12,5.79,1.00,-0.70,0.07,9.10
Cyient,532175,CYIENT,IT - Services,IT Enabled Services,1169.20,12990.07,7328.40,1018.90,13.90,15.47,23.04,2.33,4.21,8.87,0.08,12.81,2894.00,164.80,1171.20,404.10,596.80,7.40,2.79,-3.81,0.49,44.64
Deepak Fertilis.,500645,DEEPAKFERT,Chemicals & Petrochemicals,Commodity Chemicals,1292.60,16317.50,10910.95,1942.77,17.81,18.73,16.58,2.50,1.49,7.47,0.68,15.56,1643.01,112.96,1713.47,2332.01,1740.03,7.99,0.34,-0.31,2.71,27.32
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals & Biotechnology,Pharmaceuticals,1275.20,106430.89,34310.00,8454.40,24.64,26.18,18.44,2.96,0.49,12.95,0.16,17.96,12851.70,1302.70,9775.40,3532.30,7582.20,7.12,1.26,-0.64,0.75,9.30
Elecon Engg.Co,505700,ELECON,Electrical Equipment,Heavy Electrical Equipment,474.45,10646.65,2395.16,593.85,24.79,24.38,23.70,4.74,0.56,17.05,0.11,22.96,1254.48,163.56,511.07,210.45,272.19,5.59,0.33,-1.30,0.44,33.79
Engineers India,532178,ENGINERSIN,Construction,Civil Construction,202.70,11392.60,3566.47,590.69,16.56,16.66,21.20,4.21,0.35,11.39,0.01,23.17,460.76,147.65,499.99,586.19,0.64,6.86,-0.56,-0.13,0.03,20.65
Finolex Cables,500144,FINCABLES,Industrial Products,Cables - Electricals,736.55,11264.75,5548.00,569.28,10.26,9.69,18.73,2.34,1.79,11.25,0.00,12.39,3425.83,263.43,228.66,268.30,794.03,6.95,0.31,-0.77,0.03,44.83
Five-Star Bus.Fi,543663,FIVESTAR,Finance,Non Banking Financial Company (NBFC),580.65,17098.66,3065.77,2198.93,71.73,74.26,15.47,2.51,0.47,8.22,1.23,18.65,2095.00,22.74,0.00,29.12,0.00,9.41,2.68,-2.33,3.83,31.72
G R Infraproject,543317,GRINFRA,Construction,Civil Construction,1052.70,10185.98,7560.00,1700.28,22.49,22.13,9.39,1.14,1.70,7.02,0.63,12.15,3924.48,432.53,194.70,789.88,656.90,12.23,0.13,-0.03,2.96,37.41
GE Shipping Co,500620,GESHIP,Transport Services,Shipping,1091.00,15575.90,4903.16,2483.47,50.65,50.30,8.73,1.02,0.19,10.90,0.08,14.09,8111.23,689.51,429.16,297.08,267.73,18.22,0.73,0.24,0.60,7.60
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals & Biotechnology,Pharmaceuticals,1968.20,55542.76,15955.06,4101.31,25.71,17.65,22.09,5.80,3.53,8.69,0.13,15.79,4493.72,-1811.28,3773.12,2951.33,3280.72,7.12,0.97,0.11,0.32,13.91
Godawari Power,532734,GPIL,Industrial Products,Iron & Steel Products,232.94,15602.21,5396.61,1123.69,20.82,22.23,20.99,2.98,-1.27,13.86,0.04,17.23,1513.51,101.13,98.78,304.89,862.45,7.03,-0.24,0.12,0.18,19.68
Granules India,532482,GRANULES,Pharmaceuticals & Biotechnology,Pharmaceuticals,560.85,13610.08,4842.21,1007.59,20.81,21.15,26.64,3.42,5.39,8.21,0.45,13.86,669.59,27.64,760.54,755.08,1488.29,5.20,-5.61,0.85,2.35,9.70
Gujarat Gas,539336,GUJGASLTD,Gas,LPG/CNG/PNG/LNG Supplier,406.55,27986.50,15906.19,1797.08,11.30,11.57,25.07,3.22,-6.60,9.49,0.02,14.25,179.17,265.07,954.56,647.91,60.84,5.63,-0.03,-0.16,0.10,22.45
H U D C O,540530,HUDCO,Finance,Financial Institution,225.22,45086.79,11761.56,11460.76,97.44,100.45,16.09,2.50,0.98,2.44,7.03,15.67,-15.68,59.98,1.91,0.00,0.00,6.70,0.66,-0.02,11.02,14.67
HCL Technologies,532281,HCLTECH,IT - Software,Computers - Software & Consulting,1683.00,456709.84,122427.00,25922.00,21.17,21.79,26.90,6.41,3.07,16.95,0.10,25.00,37284.00,1797.00,20169.00,6721.00,160.00,5.34,1.63,-1.92,0.29,16.36
HDB FINANC SER,544429,HDBFS,Finance,Non Banking Financial Company (NBFC),749.00,62155.56,17420.50,9794.90,56.23,58.62,28.88,3.21,0.99,2.16,4.68,14.72,-2222.70,0.00,252.10,220.10,0.00,6.34,5.77,-0.94,9.44,16.02
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,Zinc,498.10,210463.14,33845.00,17483.00,51.66,51.04,20.12,15.46,7.86,30.23,0.82,72.42,-1822.00,970.00,188.00,2244.00,2242.00,6.66,0.11,-0.04,0.76,8.93
Home First Finan,543259,HOMEFIRST,Finance,Housing Finance Company,1094.10,11367.11,1751.54,1394.24,79.60,80.29,25.10,2.82,0.93,3.51,2.40,16.46,1400.30,6.41,6.46,15.92,0.00,7.02,6.95,2.80,6.98,27.97
