Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,473.0,37.46,20643.61,3672.58,2803.94,76.35,76.35,18.56,2.72,0.74,4.38,2.49,15.93,674.8,-1.62,0.0,123.65,0.0,7.47,0.7,-0.06,6.73,0.0,13.65
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1397.95,49.64,11084.05,2683.46,1977.01,73.67,73.67,16.9,2.22,1.12,3.29,3.11,13.92,2050.61,1.38,14.89,10.59,0.0,7.94,7.84,-7.98,8.11,0.0,35.07
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1337.6,34.3,25118.5,25961.85,2957.97,11.39,11.39,11.85,1.2,0.38,8.02,0.02,10.86,5611.37,428.97,3841.63,2453.81,1789.12,9.23,0.25,-0.06,0.19,0.58,34.07
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,931.15,51.68,11088.41,3280.44,503.95,15.36,15.36,26.68,5.54,0.7,13.93,0.0,22.9,406.24,110.06,284.3,916.5,605.4,5.49,0.08,-0.82,0.01,0.22,24.66
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,356.6,41.42,93495.24,45508.98,16694.14,36.68,36.68,24.59,2.67,-3.31,1.27,5.22,11.74,-66325.64,505.92,843.34,1842.17,0.0,6.44,-0.96,1.86,10.59,0.0,5.15
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,743.35,46.18,14611.52,7344.9,1118.46,15.23,15.23,20.0,2.57,0.71,8.78,0.25,13.43,1978.76,-12.33,1466.3,835.08,2510.64,5.45,0.0,0.03,1.67,1.45,32.9
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1051.55,42.36,12906.73,2551.83,797.29,31.24,31.24,22.1,3.83,2.87,15.79,0.02,18.99,2141.32,34.75,1072.96,372.37,691.93,6.24,0.14,0.22,0.07,0.47,8.48
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5298.0,44.22,63345.55,14712.27,3005.21,20.43,20.43,25.99,4.57,0.83,12.9,0.15,18.88,7427.82,408.52,2979.11,2244.18,3333.22,5.03,-0.15,0.18,0.64,0.85,10.71
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,824.85,37.6,15096.92,13548.86,1544.23,11.4,11.4,19.44,1.83,43.2,7.37,0.05,10.01,1388.15,351.06,1167.27,1202.82,2282.79,7.34,-0.17,-0.06,0.34,1.3,22.04
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,397.0,40.58,25213.5,28470.6,4143.23,14.55,14.55,12.17,1.53,0.46,7.34,0.22,13.16,2614.58,-899.51,3190.84,3224.29,5452.28,10.21,-0.33,-0.11,1.34,1.25,26.55
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,272.15,49.93,13627.75,2192.24,1819.65,83.0,83.0,14.36,2.74,0.62,7.76,1.56,20.11,750.96,53.24,0.0,19.79,0.0,9.18,2.14,-2.85,4.25,1.64,25.41
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,152.5,32.17,89576.28,56362.08,10745.0,19.06,19.06,24.19,6.19,0.52,4.37,4.49,28.11,10624.64,252.0,3087.44,9291.24,4671.8,7.61,-0.67,0.16,6.24,2.31,29.21
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1014.2,44.79,75918.53,18636.34,10019.77,53.76,53.76,28.75,3.82,1.26,1.51,8.44,14.32,6000.56,2977.94,0.0,0.0,0.0,5.61,0.03,0.82,12.81,0.1,6.06
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1469.3,54.33,85337.15,33653.08,6845.73,20.34,20.34,24.08,2.26,1.06,6.57,0.21,10.06,14669.74,428.28,7094.37,5567.27,12052.94,6.68,-1.84,1.29,1.45,0.27,5.21
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),528.4,43.92,44873.07,2608.8,2298.52,88.11,88.11,23.31,3.11,0.11,10.93,0.23,13.13,-457.15,45.08,35.45,356.82,30.92,5.52,0.02,-0.22,1.44,0.04,22.69
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,1060.0,28.38,14441.96,6065.86,748.04,12.33,12.33,23.55,4.4,0.74,16.75,0.0,20.17,2325.06,198.68,143.89,243.18,940.27,6.56,2.66,-0.35,0.01,0.86,33.49
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10062.55,45.55,281246.08,62905.0,13061.07,20.76,20.76,26.06,7.16,1.24,16.15,0.58,29.11,14713.65,2703.75,3473.44,8804.01,6294.49,5.01,0.28,-0.02,1.5,1.48,7.13
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),918.65,39.95,571947.33,81982.38,55733.22,67.98,67.98,29.68,4.99,1.6,3.81,3.82,18.23,17440.01,-241.64,1908.08,2104.53,0.0,5.69,0.24,-0.16,7.95,0.61,16.68
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1689.25,31.95,270372.92,150503.77,56742.71,37.7,37.7,27.19,3.51,1.73,2.83,5.52,13.22,-127167.85,-336.42,9332.08,9052.12,0.0,8.21,1.02,-0.83,7.75,0.09,23.04
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,84.57,43.89,70466.55,11147.2,10136.79,90.94,90.94,27.46,3.07,1.02,2.24,4.6,12.1,-195.63,-10.05,27.8,126.1,0.0,5.85,-0.21,0.05,10.28,0.0,31.85
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,274.65,49.83,142031.48,134298.12,86240.6,64.22,64.22,7.19,0.84,0.72,1.01,11.13,12.7,120458.62,22527.32,0.0,4097.35,0.0,5.55,0.2,-0.15,17.29,3.09,15.64
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,145.6,48.62,66286.93,75613.28,54905.67,72.61,72.61,6.23,0.74,0.15,0.95,11.67,12.41,83562.95,9737.47,0.0,1654.25,0.0,6.01,-1.22,1.44,16.35,3.2,18.41
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1822.55,40.05,1110530.69,210972.8,119674.5,56.73,56.73,38.64,7.43,0.79,6.88,1.31,21.86,-84290.3,-235.7,7977.6,45015.2,600.9,5.61,0.99,-0.96,2.79,0.89,16.19
