Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,509.10,21996.14,3242.67,2471.69,76.22,76.30,23.18,3.45,0.86,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.69,-0.15,0.26,6.66,5.37
AAVAS Financiers,541988,AAVAS,Finance,1758.70,13921.32,2354.51,1772.60,75.29,75.29,24.25,3.19,1.41,3.27,3.19,14.12,1773.87,3.91,11.37,4.88,0.00,6.62,0.77,0.10,8.00,21.43
ACC,500410,ACC,Cement & Cement Products,1827.40,34316.24,22742.68,3159.95,13.89,14.07,14.70,1.85,2.22,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.70,-0.79,-0.17,0.13,30.01
Adani Power,533096,ADANIPOWER,Power,592.55,228542.92,56203.09,21418.33,38.11,38.11,17.91,4.06,0.48,12.46,0.70,25.72,8834.76,2589.85,13022.07,2977.66,3317.28,7.53,0.12,0.10,2.00,21.30
Aditya Birla Cap,540691,ABCAPITAL,Finance,252.35,65885.49,40632.23,14274.90,35.13,35.13,20.05,2.16,0.78,1.32,4.61,11.49,-95387.25,536.32,688.25,1318.24,0.00,7.26,2.27,-1.36,9.65,10.72
Afcons Infrastr.,544280,AFCONS,Construction,396.95,14599.21,12548.42,1361.15,10.85,10.85,29.80,2.78,2.78,2.94,0.45,11.06,3021.22,469.16,2779.32,3541.35,1010.22,8.31,2.46,-2.41,1.74,30.36
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,1016.60,12466.48,2386.88,682.58,28.60,28.60,25.67,4.42,5.11,15.51,0.02,18.86,1865.00,34.57,969.74,390.46,673.95,5.27,0.43,-0.15,0.09,23.86
Amara Raja Ener.,500008,ARE&M,Auto Components,993.00,18174.42,12404.89,1634.02,13.17,13.17,20.81,2.46,1.05,9.28,0.04,12.34,1308.56,199.43,1142.80,1046.54,2036.44,6.67,-0.59,-1.32,0.21,40.40
Angel One,543235,ANGELONE,Capital Markets,2632.10,23832.55,4973.46,1785.14,35.89,37.85,23.98,4.23,1.03,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,10.89,2.16,1.61,2.03,24.86
Aptus Value Hou.,543335,APTUS,Finance,331.00,16548.04,1750.41,1479.42,84.52,84.52,22.03,3.83,0.83,7.42,1.59,18.58,457.05,47.99,0.00,3.55,0.00,6.59,6.16,2.67,4.54,17.60
