Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,519.0,62.51,22697.8,3672.58,2803.94,76.35,76.35,20.48,3.0,0.81,4.38,2.49,15.93,674.8,-1.62,0.0,123.65,0.0,6.95,0.7,-0.06,6.73,0.0,5.26
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1503.25,70.51,11918.98,2683.46,1977.01,73.67,73.67,18.22,2.43,1.21,3.29,3.11,13.92,2050.61,1.38,14.89,10.59,0.0,7.47,7.84,-7.98,8.11,0.0,26.63
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1333.0,43.0,25032.02,25961.85,2957.97,11.39,11.39,11.78,1.22,0.37,8.02,0.02,10.86,5611.37,428.97,3841.63,2453.81,1789.12,9.07,0.25,-0.06,0.19,0.57,34.3
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,840.0,50.11,15374.14,13548.86,1544.23,11.4,11.4,19.79,1.88,43.98,7.37,0.05,10.01,1388.15,351.06,1167.27,1202.82,2282.79,6.95,-0.17,-0.06,0.34,1.27,20.6
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,340.2,47.05,31072.16,5137.68,1819.89,35.42,35.42,33.85,5.02,27.75,4.49,1.3,15.59,8225.39,14.56,434.45,9170.28,0.0,7.92,0.77,0.36,4.65,1.41,5.62
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,431.4,60.63,27398.24,28470.6,4143.23,14.55,14.55,13.27,1.61,0.5,7.34,0.22,13.16,2614.58,-899.51,3190.84,3224.29,5452.28,9.13,-0.33,-0.11,1.34,1.4,20.19
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,286.55,62.89,14350.24,2192.24,1819.65,83.0,83.0,15.29,2.85,0.66,7.76,1.56,20.11,750.96,53.24,0.0,19.79,0.0,8.74,2.14,-2.85,4.25,1.59,21.46
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,162.3,52.87,95332.69,56362.08,10745.0,19.06,19.06,25.66,6.64,0.56,4.37,4.49,28.11,10624.64,252.0,3087.44,9291.24,4671.8,7.03,-0.67,0.16,6.24,2.18,24.66
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,945.15,26.6,12877.26,6065.86,748.04,12.33,12.33,21.01,3.92,0.66,16.75,0.0,20.17,2325.06,198.68,143.89,243.18,940.27,7.3,2.66,-0.35,0.01,0.95,40.7
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9833.0,38.83,274830.26,62905.0,13097.21,20.82,20.82,25.44,7.02,1.2,16.21,0.58,29.15,6901.99,2667.61,3473.44,8804.01,6294.49,5.21,0.28,-0.02,1.5,1.52,9.25
