Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,495.55,21410.70,3242.67,2471.69,76.22,76.30,22.56,3.35,0.83,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.80,-0.15,0.26,6.66,7.89
AAVAS Financiers,541988,AAVAS,Finance,1704.70,13493.88,2354.51,1772.60,75.29,75.29,23.50,3.09,1.37,3.27,3.19,14.12,1773.87,3.91,11.37,4.88,0.00,6.73,0.77,0.10,8.00,23.84
ACC,500410,ACC,Cement & Cement Products,1830.40,34372.58,22742.68,3159.95,13.89,14.07,14.72,1.85,2.22,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.69,-0.79,-0.17,0.13,28.08
Adani Power,533096,ADANIPOWER,Power,567.45,218862.00,55356.61,20796.41,37.57,38.11,18.03,3.88,0.49,12.46,0.70,25.72,8834.76,2648.97,13022.07,2977.66,3317.28,7.55,0.12,0.10,2.07,19.71
Aditya AMC,543374,ABSLAMC,Capital Markets,854.75,24670.34,1745.55,1034.68,59.28,64.91,25.38,6.62,2.22,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.35,-0.12,0.20,0.05,6.27
Afcons Infrastr.,544280,AFCONS,Construction,403.45,14838.27,12548.42,1361.15,10.85,10.85,30.28,2.82,2.82,2.94,0.45,11.06,3021.22,469.16,2779.32,3541.35,1010.22,8.19,2.46,-2.41,1.74,29.22
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,950.80,11659.58,2400.12,695.41,28.97,28.60,23.52,4.14,4.69,15.51,0.02,18.86,1865.00,38.07,969.74,390.46,673.95,5.76,0.43,-0.15,0.08,28.78
Amara Raja Ener.,500008,ARE&M,Auto Components,930.40,17028.68,12404.89,1634.02,13.17,13.17,19.50,2.31,0.98,9.28,0.04,12.34,1308.56,199.43,1142.80,1046.54,2036.44,7.12,-0.59,-1.32,0.21,43.23
Angel One,543235,ANGELONE,Capital Markets,2610.90,23640.60,4973.46,1785.14,35.89,37.85,23.79,4.19,1.02,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,11.03,2.16,1.61,2.03,25.47
Aptus Value Hou.,543335,APTUS,Finance,345.95,17295.45,1875.74,1584.23,84.46,84.58,21.65,4.01,0.81,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.82,6.16,2.67,4.24,13.88
AU Small Finance,540611,AUBANK,Banks,735.20,54802.58,16673.13,8607.88,51.63,53.37,25.09,3.19,1.09,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.26,1.70,2.10,11.89,12.58
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1072.30,62830.20,32024.85,6506.88,20.32,20.65,18.54,1.92,2.28,7.37,0.25,11.15,12480.12,537.21,5745.93,4188.85,10543.72,8.58,0.70,-0.95,1.53,32.67
Axis Bank,532215,AXISBANK,Banks,1071.00,332215.05,128563.88,78314.42,60.91,63.58,11.92,1.77,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.53,0.35,-0.13,12.85,16.44
Bajaj Finance,500034,BAJFINANCE,Finance,876.65,544775.43,73107.06,50059.96,68.47,68.79,31.26,5.63,0.94,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.51,-0.26,0.26,7.34,10.44
