Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,485.65,21066.87,3375.53,2577.37,76.35,76.30,21.32,3.05,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.93,-0.18,0.53,6.89,11.35
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1496.50,11849.21,2527.53,1878.12,74.31,75.29,19.64,2.53,1.14,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.57,2.61,-3.89,7.82,33.14
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1796.00,33726.59,24060.83,3569.63,14.84,14.07,10.44,1.69,1.58,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.76,-1.58,0.38,0.13,21.74
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,923.90,11002.10,3232.42,500.38,15.48,15.20,26.32,6.17,0.46,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.29,-0.22,-1.08,0.24,42.26
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,139.04,268134.40,55474.57,20671.12,37.26,38.11,22.29,4.59,0.59,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.17,0.94,-0.93,2.56,23.92
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,725.45,20944.40,1782.66,1066.81,59.84,64.91,21.57,5.88,1.89,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.21,-0.50,0.66,0.05,20.42
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,388.30,14281.08,12793.14,1421.99,11.12,10.85,28.43,2.65,2.65,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.00,3.41,-2.99,2.61,31.88
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,860.05,10551.21,2481.22,740.22,29.83,28.67,19.89,3.50,4.22,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.78,-0.15,0.42,0.08,31.73
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,927.80,16981.09,12875.97,1550.66,12.04,13.17,21.04,2.18,1.06,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.50,2.24,-1.42,0.26,30.45
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2542.60,23096.81,4660.51,1528.72,32.80,37.85,29.53,3.97,1.27,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.57,-1.56,-1.55,3.13,26.95
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,278.75,13957.65,1998.39,1683.70,84.25,84.58,16.55,3.00,0.62,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.25,9.83,4.95,4.27,23.60
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1177.40,68383.58,32514.48,6618.84,20.36,20.65,19.98,1.95,2.53,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,8.09,0.67,-0.17,1.43,13.74
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2589.00,43972.90,3865.32,3616.75,93.57,89.63,10.95,2.71,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.88,0.09,6.17,0.77,21.99
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,804.10,10955.51,5963.96,745.01,12.49,11.30,17.71,3.64,0.54,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.49,0.19,-0.61,0.02,16.67
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1026.40,638675.54,76194.74,52179.07,68.48,68.79,34.90,6.19,1.05,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.01,-0.13,0.26,7.75,6.90
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2059.20,329021.70,141479.18,53466.32,37.79,37.01,33.99,4.30,1.36,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.37,0.40,-0.29,7.51,6.19
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,93.65,78032.31,10327.38,9394.08,90.96,91.85,33.05,3.68,0.73,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.44,-0.05,-0.13,10.06,34.97
Banco Products,500039,BANCOINDIA,Auto Components,Auto Components & Equipments,705.95,10097.72,3521.99,603.79,17.14,19.02,23.33,6.18,0.66,16.03,0.45,32.18,1423.36,96.36,768.67,434.69,1376.40,5.56,-0.14,0.57,1.22,19.76
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,135.47,21823.83,21742.03,9378.08,43.13,51.91,17.77,0.89,0.10,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.82,1.30,-0.90,13.34,29.62
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,285.20,147487.25,131574.32,83732.48,63.64,64.41,7.67,0.93,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.03,0.14,0.63,15.69,6.17
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,138.15,62895.11,73784.35,53001.26,71.83,71.03,6.28,0.75,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.26,-0.34,0.71,15.56,8.77
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,56.22,43241.92,27237.84,17719.17,65.05,62.68,7.10,1.38,0.10,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.87,-0.34,0.46,15.82,8.67
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,160.99,14326.17,9056.86,1114.49,12.31,12.32,31.47,2.88,2.95,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.65,-3.12,0.89,1.64,6.78
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,428.15,11925.82,5293.39,709.98,13.41,12.98,25.84,3.22,7.58,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,6.20,-0.50,-1.13,0.21,31.42
