Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,929.45,27.96,37710.18,4011.77,2449.52,61.06,64.92,32.04,4.03,1.38,6.2,1.47,20.57,1787.9,217.47,433.2,144.62,0.0,5.05,0.14,-0.36,5.43,27.03
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,453.75,46.58,19743.08,3520.63,2695.55,76.56,76.3,18.94,2.85,0.7,4.31,2.55,16.86,1641.75,-8.34,0.0,108.12,0.0,7.52,0.2,0.08,6.58,17.17
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1362.1,41.78,25552.48,24689.33,3153.91,12.77,14.07,10.15,1.28,1.53,9.46,0.02,13.23,5242.34,716.8,3678.49,2001.25,1985.75,10.1,-1.18,0.95,0.19,35.85
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1387.1,47.99,319651.78,36486.63,21627.4,59.27,59.53,25.3,4.76,0.93,8.59,0.85,18.76,2609.64,1904.28,5576.58,2745.72,541.02,5.08,-1.14,-0.51,3.05,12.43
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,311.3,46.8,81493.69,44263.78,15953.88,36.04,35.13,22.97,2.53,0.94,1.32,4.86,11.49,-60389.17,518.02,389.61,1641.74,0.0,7.02,-0.85,2.55,9.64,15.71
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,597.35,39.43,20943.89,7443.86,1236.48,16.61,16.23,27.22,3.53,1.19,8.27,0.41,15.53,2504.41,304.65,538.52,439.25,114.95,6.45,-0.84,0.99,1.8,36.89
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,285.55,46.5,10498.39,12543.26,1554.35,12.39,11.71,17.81,2.13,0.58,3.65,0.73,14.91,2666.01,287.63,2795.2,3564.31,993.06,10.72,1.66,0.0,2.48,40.44
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,655.95,38.33,12898.47,7266.82,1159.51,15.96,15.11,19.44,2.42,6.11,7.99,0.28,11.38,1619.58,2.29,1313.93,887.37,2540.7,6.35,-0.13,0.19,1.64,40.79
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1005.6,67.42,12369.87,2512.27,781.18,31.09,28.67,22.0,4.09,4.67,15.37,0.02,18.69,1986.62,22.07,1002.85,409.92,722.51,6.11,1.66,-1.76,0.08,17.92
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,719.35,36.81,13176.79,13062.79,1509.33,11.55,13.17,17.45,1.69,0.88,9.28,0.04,12.34,1398.88,162.37,1228.44,1191.66,2255.25,7.88,0.88,-0.6,0.27,34.36
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,246.05,56.68,22416.34,4733.2,1562.04,33.0,37.85,29.14,3.85,1.25,7.78,0.77,27.07,3734.86,9.63,283.0,7590.87,0.0,9.12,3.24,-0.66,3.07,25.1
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,150.91,29.98,88606.53,53811.19,10427.68,19.38,18.97,24.57,7.04,0.09,4.47,4.33,28.82,8877.88,88.12,3406.86,6746.75,4611.09,7.12,0.14,0.09,5.55,29.95
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,883.55,44.69,66128.37,17887.79,9304.97,52.02,53.37,28.59,3.64,1.24,1.58,7.87,14.19,5735.08,3007.66,0.0,0.0,0.0,6.05,-0.64,1.95,11.6,14.98
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),424.25,39.93,36015.52,3693.87,3340.79,90.44,89.63,9.89,2.22,0.12,31.3,0.17,34.14,369.48,23.74,17.59,53.94,0.0,8.79,-0.07,0.37,0.84,37.93
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,1238.8,53.68,16889.24,5980.89,759.89,12.71,11.3,26.7,5.61,0.81,15.68,0.0,19.53,2792.81,213.81,219.87,697.06,541.79,5.62,-0.03,1.0,0.02,16.83
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1245.3,49.33,386979.98,130819.57,77849.31,59.51,63.58,14.74,1.88,0.57,1.78,7.4,16.3,95364.34,30207.73,0.0,0.0,0.0,5.8,-0.22,0.69,14.07,12.2
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),850.85,43.71,529728.16,79373.52,53111.16,66.91,68.79,29.09,5.13,0.88,3.99,3.85,19.22,11609.47,-231.85,1631.26,2054.22,0.0,5.7,0.47,-0.48,7.62,22.83
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1672.3,35.62,267668.14,149145.43,54959.49,36.85,37.01,27.28,3.49,1.09,2.96,5.13,13.39,20015.7,-351.61,7937.86,7873.72,0.0,8.29,0.25,-0.05,7.31,23.81
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,79.68,44.01,66417.59,10764.45,9778.23,90.84,91.85,26.7,3.13,0.59,2.35,4.44,13.46,-148.78,-10.08,26.82,122.1,0.0,6.07,0.85,0.03,9.66,41.84
