Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,474.35,44.1,20786.31,3817.29,2907.72,76.17,76.43,18.07,2.7,0.72,4.38,2.49,15.94,675.52,-0.48,27.02,123.65,0.0,7.52,0.77,-0.33,6.49,0.0,15.75
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1261.6,27.07,10003.81,2764.62,2040.97,73.82,73.67,14.62,2.02,0.97,3.29,3.11,13.91,2015.29,1.38,14.89,10.59,0.0,8.41,0.01,-0.46,7.85,0.0,28.92
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1271.35,35.05,23874.3,25441.73,2629.19,10.33,11.39,12.6,1.15,0.4,8.02,0.02,10.86,5611.37,397.77,3841.63,2453.81,1789.12,7.99,-0.5,-0.1,0.23,0.6,36.02
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,396.9,42.43,108651.89,48185.84,17802.62,36.95,36.69,26.98,2.93,-4.07,1.27,5.22,12.04,-106247.85,405.45,843.34,1842.17,0.0,6.35,-0.35,0.93,10.0,0.0,7.85
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5210.0,37.57,62293.39,15081.28,3032.21,20.11,20.44,27.4,4.53,0.87,12.92,0.15,18.89,6690.51,411.85,2979.11,2244.18,3333.22,5.08,1.25,0.27,0.63,1.0,12.19
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,279.0,35.28,25501.61,5425.77,2028.11,37.38,35.42,24.63,4.16,20.19,4.49,1.3,15.59,8225.39,17.09,434.45,9170.28,0.0,11.18,1.46,0.95,4.15,1.46,22.6
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,434.5,54.8,27595.15,29307.63,4143.45,14.14,14.65,13.0,1.64,0.5,7.32,0.22,13.07,2614.57,-466.33,3190.84,3224.29,5452.28,8.98,1.49,-2.06,1.33,1.4,19.61
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,254.95,42.19,12768.65,2272.27,1872.29,82.4,83.07,13.0,2.55,0.56,7.76,1.56,20.11,754.67,53.74,0.0,19.79,0.0,9.56,0.47,-0.38,4.13,1.76,27.86
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,167.8,48.51,98563.26,57723.13,10981.93,19.03,5.58,26.56,6.84,0.59,4.27,4.49,27.43,4302.59,343.39,3087.44,9291.24,4671.8,6.87,2.69,-3.9,6.07,2.06,22.11
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6467.7,43.27,19042.06,6643.49,1188.81,17.89,16.48,23.95,3.06,2.78,9.3,0.03,11.49,1285.57,216.56,1271.0,852.24,815.47,5.7,0.04,-0.06,0.17,0.47,10.15
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1079.45,50.85,81021.15,19560.64,10699.71,54.7,55.22,28.37,4.03,1.24,1.51,8.34,14.25,5653.99,2856.55,0.0,314.51,0.0,5.64,1.51,-1.29,12.28,0.09,5.7
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,801.4,34.4,10918.71,6359.97,639.6,10.06,12.36,20.29,3.3,0.74,15.19,0.0,18.29,1073.29,213.58,143.89,243.18,940.27,7.36,0.53,-0.44,0.02,1.21,49.72
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1255.0,50.68,390691.94,135731.89,81034.17,59.7,59.29,14.06,1.76,0.41,1.47,7.47,13.12,118869.75,29291.88,0.0,0.0,0.0,5.55,-0.66,-2.13,15.01,0.08,11.51
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1057.0,42.59,658083.45,85963.63,58573.63,68.14,68.29,32.19,5.72,1.73,3.81,3.82,18.25,16950.65,-240.16,1908.08,2104.53,0.0,5.35,1.2,-1.13,7.56,0.52,10.24
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1990.0,46.55,318810.2,157641.68,59568.13,37.79,37.93,31.04,4.06,1.98,2.83,5.52,13.23,-132648.93,-344.19,9332.08,9052.12,0.0,8.0,0.35,-0.33,7.38,0.08,9.34
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,82.79,36.9,68983.5,11604.2,10595.59,91.31,90.96,25.45,3.02,0.95,2.24,4.6,12.11,-231.05,-12.76,27.8,126.1,0.0,6.11,-0.18,-0.09,9.83,0.0,29.24
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,240.55,37.54,124397.16,136546.33,87323.66,63.95,64.22,5.64,0.72,0.56,1.01,10.89,12.7,104206.96,17511.43,0.0,0.0,0.0,5.79,-0.59,0.45,16.61,3.54,26.11
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,142.5,48.71,64875.51,77243.58,55814.43,72.26,72.61,5.51,0.7,0.13,0.95,11.83,12.41,83817.63,10440.65,0.0,0.0,0.0,6.06,0.0,-0.39,16.25,3.3,20.15
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,82.01,53.87,63078.47,30262.41,20806.29,68.75,69.25,8.4,1.79,0.21,1.76,10.74,22.65,13442.37,3745.66,0.0,0.0,0.0,5.68,0.35,0.27,15.61,2.61,13.22
Bayer Crop Sci.,506285,BAYERCROP,INE462A01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,3988.6,34.67,17925.6,5595.4,892.9,15.96,15.4,24.46,6.07,46.15,12.59,0.03,23.7,2293.4,165.2,1115.5,1237.9,2135.5,5.68,-0.25,0.08,0.09,3.73,27.33
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1860.9,44.1,1161294.77,220049.3,125138.6,56.87,55.23,37.2,7.56,0.82,6.42,1.31,20.27,-97990.9,-165.9,7977.6,45015.2,600.9,5.56,0.11,-1.31,2.63,1.28,14.43
Brigade Enterpr.,532929,BRIGADE,INE791I01019,Realty,"Residential, Commercial Projects",642.6,63.29,20965.45,5531.63,1463.84,26.46,25.15,30.79,3.09,0.88,3.04,0.93,10.47,3083.18,254.05,600.69,881.7,11400.89,5.58,0.72,-1.12,4.6,0.32,19.88
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance,Housing Finance Company,791.2,38.03,10535.19,4292.09,3952.79,92.09,92.07,9.36,1.76,0.46,2.56,6.4,19.66,214.94,2.09,2.43,7.67,0.0,8.12,-0.08,-0.14,9.71,1.91,18.56
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,126.1,40.66,114380.85,127805.38,91290.72,71.43,69.66,5.8,0.92,0.32,1.09,14.28,16.08,196176.59,23532.04,0.0,0.0,0.0,6.28,1.0,-1.56,15.37,3.32,22.59
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,186.05,47.45,18402.62,6219.38,1514.13,24.35,23.55,17.05,9.66,2.97,27.26,0.03,45.86,972.7,40.74,757.7,1213.15,1041.83,8.35,-0.57,-0.31,0.04,4.71,11.72
CEAT,500878,CEATLTD,INE482A01020,Auto Components,Tyres & Rubber Products,3355.0,36.77,13571.01,16466.7,2024.73,12.3,13.16,21.31,2.7,0.4,6.04,0.65,16.14,-2051.78,-33.05,1838.9,3447.82,1783.37,7.86,1.29,-2.73,2.45,1.05,24.4
Central Bank,532885,CENTRALBK,INE483A01010,Banks,Public Sector Bank,30.41,36.64,27525.24,37270.22,23386.02,62.75,62.46,6.01,0.66,0.15,0.88,12.41,11.9,41227.22,5584.35,0.0,0.0,0.0,5.6,6.13,0.18,17.54,4.01,25.68
Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,223.5,33.37,15957.9,2316.53,777.56,33.57,33.57,24.48,6.94,0.89,20.63,0.0,28.35,2059.34,80.92,1074.74,276.45,13.84,5.69,-3.27,-0.71,0.0,0.48,21.22
CESC,500084,CESC,INE486A01021,Power,Integrated Power Utilities,146.0,23.91,19353.36,18853.0,3478.0,18.45,19.51,12.45,1.54,2.93,3.54,1.73,12.04,-938.44,1198.0,2415.89,1847.9,697.91,9.8,-0.1,-0.15,6.26,4.07,28.61
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,411.3,26.94,16478.83,20123.07,2743.13,13.63,12.96,8.52,1.6,0.36,14.79,0.1,19.95,2903.45,203.16,2075.2,936.46,2279.82,15.23,-0.06,-0.18,0.41,2.63,29.17
Chola Financial,504973,CHOLAHLDNG,INE149A01033,Finance,Investment Company,1494.3,34.18,28059.59,40889.97,22781.19,55.71,55.25,10.51,1.78,0.44,2.23,13.61,17.47,-1948.65,525.05,327.05,339.4,0.0,10.29,0.8,-0.81,9.16,0.09,27.6
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance,Non Banking Financial Company (NBFC),1820.0,43.77,155440.0,32662.59,22399.06,68.58,68.22,27.03,5.11,1.07,2.34,6.93,19.35,14067.6,484.22,327.05,212.05,0.0,6.43,0.71,-0.41,9.34,0.11,6.79
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components,Auto Components & Equipments,385.95,28.86,14641.46,9997.34,1481.84,14.82,14.48,16.33,1.89,0.13,8.08,0.07,11.8,1085.8,109.92,1341.42,2002.47,1216.67,8.0,-0.67,0.22,0.42,1.8,26.63
City Union Bank,532210,CUB,INE491A01021,Banks,Private Sector Bank,230.1,62.16,22798.03,7249.42,4979.06,68.68,69.58,16.26,2.2,1.34,1.51,7.92,13.2,8868.99,1038.55,0.0,494.19,0.0,5.98,4.11,-4.72,13.9,0.88,6.23
CreditAcc. Gram.,541770,CREDITACC,INE741K01010,Finance,Microfinance Institutions,1404.8,35.87,22540.62,6379.52,3639.35,57.05,49.48,18.63,2.88,-9.36,2.6,3.01,10.51,1569.78,3.8,0.0,40.33,0.0,8.01,0.08,0.54,6.61,0.0,14.05
DCM Shriram,523367,DCMSHRIRAM,INE499A01024,Diversified,Diversified,1024.9,48.41,15982.53,13840.48,1530.39,11.06,11.06,11.64,2.06,-7.81,6.32,0.38,11.5,1776.24,257.76,1081.1,1218.25,3108.12,6.69,-0.1,-0.08,2.41,1.09,27.54
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1417.9,39.08,17899.25,12103.54,2016.17,16.66,14.64,18.25,2.63,-1.17,4.9,0.83,10.9,1478.56,85.18,2343.2,2157.54,1737.77,7.24,1.45,-0.29,3.38,0.7,15.66
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),2003.0,63.76,18838.35,4334.83,1095.98,25.28,25.58,25.83,7.36,2.01,20.22,0.15,28.36,1399.42,105.11,1014.34,100.01,0.62,5.56,-0.11,-0.81,0.38,0.05,19.8
Edelweiss.Fin.,532922,EDELWEISS,INE532F01054,Finance,Holding Company,126.3,61.39,11954.73,10507.9,2894.55,27.55,29.67,19.0,2.5,0.9,1.79,4.02,13.52,-9563.59,452.44,478.33,1384.59,0.0,12.09,0.79,0.43,5.63,1.17,5.68
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,286.0,40.55,17885.42,3023.01,1030.47,34.09,34.83,24.64,3.43,0.98,12.09,0.05,14.48,798.06,202.4,256.67,310.69,63.79,6.25,-0.1,0.03,0.23,0.51,34.22
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,368.25,37.77,16074.1,3914.63,971.78,24.82,25.39,21.17,5.45,4.06,19.99,0.06,26.17,624.73,72.14,343.32,477.07,399.57,5.43,0.09,-0.7,0.18,2.67,40.47
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,324.95,45.38,22497.73,5577.58,1931.98,34.64,34.34,17.68,6.09,0.04,22.33,0.1,51.12,1575.0,55.59,695.02,882.13,1710.55,7.6,-2.48,0.47,0.21,0.0,12.54
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,275.0,73.74,15456.21,3877.66,750.23,19.35,17.8,19.66,4.89,0.77,12.2,0.01,23.37,717.91,319.72,479.28,586.56,0.52,7.15,2.03,-0.49,0.02,1.77,5.06
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles",Tractors,3010.0,46.66,33675.2,12247.76,1529.42,12.49,12.97,23.67,2.71,0.51,14.74,0.01,18.72,865.42,565.63,1202.55,2193.32,1472.26,5.71,-1.01,0.65,0.09,1.12,27.99
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,353.1,48.77,87283.73,30384.84,19588.76,64.47,65.18,18.72,2.18,1.71,1.17,8.66,11.59,32616.23,4515.36,0.0,532.42,0.0,5.77,-1.12,1.66,14.38,0.34,5.0
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1197.2,57.26,18309.88,6938.64,727.3,10.48,9.8,22.86,3.01,1.86,10.75,0.0,12.33,3112.36,382.16,370.08,221.9,1023.17,5.5,0.27,0.03,0.02,0.74,12.93
Firstsour.Solu.,532809,FSL,INE684F01012,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),271.15,44.8,19171.07,10063.62,1660.41,16.5,16.79,24.02,4.35,1.77,8.85,0.67,17.63,-766.38,-163.19,2078.59,557.94,0.0,5.66,-0.08,-0.47,2.4,2.05,28.59
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Finance,Non Banking Financial Company (NBFC),525.55,52.57,15513.67,3260.44,2196.16,67.36,68.79,14.05,2.1,0.64,7.27,1.11,16.06,2122.76,33.1,0.0,31.81,0.0,9.99,4.77,-4.51,3.74,0.38,21.09
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,17635.0,46.63,23236.26,9199.81,1478.91,16.08,16.38,21.12,5.58,0.1,16.16,0.0,26.09,1787.4,348.65,191.15,1040.32,1258.01,5.88,-0.29,-1.42,0.0,0.28,33.42
Genus Power,530343,GENUSPOWER,INE955D01029,Electrical Equipment,Other Electrical Equipment,335.35,52.13,10202.7,5173.37,973.2,18.81,19.22,15.75,4.65,0.09,11.08,1.04,29.0,2210.42,91.6,1502.52,773.48,1352.55,8.66,-0.3,-0.16,2.3,0.15,6.57
