Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,900.75,47.38,11993.86,4054.47,3728.00,91.95,92.25,13.02,2.20,0.59,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.77,-0.65,0.42,9.72,7.28
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1893.60,42.21,14393.57,2039.67,697.27,34.19,33.59,24.45,4.56,1.14,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.38,-0.12,0.35,0.01,27.89
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),176.18,33.42,16951.23,3903.31,2540.55,65.09,61.76,23.65,2.54,0.72,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.65,-0.24,0.11,6.88,23.96
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,190.18,53.83,18811.13,5635.47,1355.54,24.05,23.83,19.26,10.34,2.90,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.39,0.03,-0.04,0.05,24.53
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3824.20,47.50,15468.92,14022.58,1620.09,11.55,11.16,29.51,3.38,0.37,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.50,0.98,-1.18,3.06,13.83
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,36.58,43.41,33110.03,34595.01,20430.76,59.06,57.65,7.32,0.86,0.13,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,35.22
CESC,500084,CESC,Power,Integrated Power Utilities,164.67,39.35,21828.17,17907.00,3347.00,18.69,16.76,15.05,1.72,-25.51,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,9.07,0.27,0.16,5.74,14.37
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,475.15,67.07,19036.99,19477.16,2543.99,13.06,15.02,10.22,1.93,18.58,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,13.71,-2.56,1.23,0.04,36.00
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1843.40,45.90,34614.90,36160.19,20178.18,55.80,57.02,15.54,2.53,0.54,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.61,1.09,-0.93,9.22,19.82
CIE Automotive,532756,CIEINDIA,Auto Components,Auto Components & Equipments,387.35,31.69,14694.60,9123.42,1326.97,14.54,15.07,18.34,2.12,0.67,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,7.34,0.04,0.08,0.44,22.27
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1494.00,43.28,120681.02,28349.57,7199.40,25.40,25.87,22.18,3.67,0.86,14.72,0.01,17.77,18620.79,1038.58,6902.26,3035.06,6160.12,5.90,1.00,-0.70,0.07,10.70
