Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,502.95,21730.42,3242.67,2471.69,76.22,76.30,22.90,3.40,0.85,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.74,-0.15,0.26,6.66,6.51
AAVAS Financiers,541988,AAVAS,Finance,1520.20,12034.11,2439.67,1827.58,74.91,75.29,20.49,2.76,1.19,3.27,3.19,14.11,1751.04,4.12,11.37,4.88,0.00,7.36,0.77,0.10,7.76,32.08
ACC,500410,ACC,Cement & Cement Products,1801.80,33835.51,22742.68,3159.95,13.89,14.07,14.49,1.82,2.19,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.85,-0.79,-0.17,0.13,29.20
Adani Power,533096,ADANIPOWER,Power,600.65,231667.04,55356.61,20796.41,37.57,38.11,18.67,4.11,0.50,12.46,0.70,26.10,8834.76,2648.97,13022.07,2977.66,3317.28,7.19,0.12,0.10,2.07,12.30
Aditya AMC,543374,ABSLAMC,Capital Markets,835.10,24105.90,1745.55,1034.68,59.28,64.91,24.80,6.46,2.17,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.47,-0.12,0.20,0.05,8.43
Afcons Infrastr.,544280,AFCONS,Construction,417.80,15366.04,12764.44,1437.77,11.26,10.85,28.85,2.92,2.69,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.28,2.46,-2.41,1.67,26.70
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,944.80,11590.93,2400.12,695.41,28.97,28.67,23.38,4.11,4.96,15.37,0.02,18.69,1387.38,38.07,969.74,390.46,673.95,5.79,0.43,-0.15,0.08,29.23
Amara Raja Ener.,500008,ARE&M,Auto Components,990.25,18124.09,12623.62,1585.38,12.56,13.17,21.68,2.46,1.09,9.28,0.04,12.34,1308.56,192.75,1142.80,1046.54,2036.44,6.39,-0.59,-1.32,0.22,35.47
Angel One,543235,ANGELONE,Capital Markets,2209.80,20029.22,4973.46,1785.14,35.89,37.85,20.15,3.55,0.86,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,14.45,2.16,1.61,2.03,36.92
Aptus Value Hou.,543335,APTUS,Finance,317.60,15898.85,1875.74,1584.23,84.46,84.58,19.90,3.68,0.75,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,7.25,6.16,2.67,4.24,20.94
