Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,480.85,43.31,20859.10,3375.53,2577.37,76.35,76.30,21.11,3.02,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.97,-0.18,0.53,6.89,12.22
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1483.00,40.30,11742.32,2527.53,1878.12,74.31,75.29,19.46,2.51,1.13,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.60,2.61,-3.89,7.82,33.75
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1754.20,36.20,32941.64,24060.83,3569.63,14.84,14.07,10.20,1.65,1.54,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.02,-1.58,0.38,0.13,17.38
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,973.75,50.77,11595.73,3232.42,500.38,15.48,15.20,27.74,6.51,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.03,-0.22,-1.08,0.24,39.14
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,144.30,47.32,278278.14,55474.57,20671.12,37.26,38.11,23.13,4.76,0.61,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.98,0.94,-0.93,2.56,21.04
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,775.85,59.03,22404.80,1782.66,1066.81,59.84,64.91,23.07,6.28,2.02,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.81,-0.50,0.66,0.05,14.89
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,346.80,51.31,90714.88,41693.04,15151.78,36.34,35.13,27.80,2.82,1.14,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.40,0.76,-0.37,10.16,6.00
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,382.85,36.36,14080.63,12793.14,1421.99,11.12,10.85,28.03,2.61,2.61,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.09,3.41,-2.99,2.61,32.83
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,912.00,54.31,11188.54,2481.22,740.22,29.83,28.67,21.09,3.71,4.48,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.39,-0.15,0.42,0.08,27.60
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,932.05,42.40,17058.88,12875.97,1550.66,12.04,13.17,21.14,2.19,1.07,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.47,2.24,-1.42,0.26,24.96
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2557.10,47.17,23228.53,4660.51,1528.72,32.80,37.85,29.70,3.99,1.27,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.50,-1.56,-1.55,3.13,22.16
