Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,500.00,21602.98,3107.63,2371.26,76.30,76.30,23.65,3.37,0.87,4.31,2.56,16.86,1607.27,1.01,25.28,125.93,0.00,6.39,-0.15,0.26,6.95,5.90
AAVAS Financiers,541988,AAVAS,Finance,1835.00,14525.23,2354.51,1772.60,75.29,75.29,25.29,3.29,1.47,3.27,3.19,14.12,1773.87,3.91,11.37,4.88,0.00,6.41,0.77,0.10,8.00,18.02
ACC,500410,ACC,Cement & Cement Products,1847.80,34699.31,22742.68,3159.95,13.89,14.07,14.91,1.90,2.25,9.46,0.02,13.23,2166.58,1172.60,1162.91,1638.30,1925.42,9.37,-0.79,-0.17,0.13,31.36
Adani Power,533096,ADANIPOWER,Power,571.40,220385.47,56203.09,21418.33,38.11,38.11,17.20,3.94,0.46,12.46,0.70,25.72,19588.63,2589.85,13022.07,2977.66,3317.28,7.60,0.12,0.10,2.00,24.11
Aditya AMC,543374,ABSLAMC,Capital Markets,850.25,24540.43,1745.55,1034.68,59.28,64.91,25.20,6.59,2.21,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.22,-0.12,0.20,0.05,6.77
Aditya Birla Cap,540691,ABCAPITAL,Finance,260.10,67908.85,40589.98,14232.65,35.06,35.06,20.49,2.22,0.79,1.32,4.61,11.55,-57973.25,578.57,688.25,1318.24,0.00,7.10,2.27,-1.36,9.63,7.98
Afcons Infrastr.,544280,AFCONS,Construction,413.50,15207.81,12548.42,1361.15,10.85,10.85,31.02,2.93,2.89,2.94,0.45,11.06,4711.00,469.16,2779.32,3541.35,1010.22,7.88,2.46,-2.41,1.74,27.46
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,1024.00,12557.27,2386.88,682.58,28.60,28.60,25.82,4.51,5.14,15.51,0.02,18.86,1870.65,34.57,969.74,390.46,673.95,5.24,0.43,-0.15,0.09,23.30
Amara Raja Ener.,500008,ARE&M,Auto Components,999.85,18299.80,12404.89,1634.02,13.17,13.17,20.93,2.48,1.06,9.28,0.04,12.34,1485.85,199.43,1142.80,1046.54,2036.44,6.56,-0.59,-1.32,0.21,41.15
Angel One,543235,ANGELONE,Capital Markets,2711.00,24546.98,4973.46,1785.14,35.89,37.85,24.70,4.46,1.06,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,9.93,2.16,1.61,2.03,22.61
