Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Oracle Fin.Serv.,532466,OFSS,IT - Software,Software Products,8084.00,70339.88,7072.50,3080.10,43.55,44.93,29.64,9.54,3.71,24.01,0.00,29.34,5830.60,290.40,1431.40,68.70,0.00,5.04,-0.05,0.11,0.01,38.85
Paradeep Phosph.,543530,PARADEEP,Fertilizers & Agrochemicals,Fertilizers,156.80,12800.30,18974.64,1920.21,10.12,9.20,13.10,1.99,1.28,5.19,0.87,14.14,1306.36,153.11,4023.97,4918.56,4821.43,9.70,-3.62,1.04,3.17,33.10
Petronet LNG,532522,PETRONET,Gas,LPG/CNG/PNG/LNG Supplier,272.15,40822.50,47431.60,5035.24,10.62,10.84,11.13,1.93,2.38,14.92,0.12,21.16,12090.29,843.92,2494.88,1838.76,1277.29,15.79,0.79,-1.01,0.50,22.13
PNB Housing,540173,PNBHOUSING,Finance,Housing Finance Company,881.45,22962.53,8184.49,7690.21,93.96,92.72,10.45,1.28,0.31,2.52,3.62,12.27,781.46,27.79,31.03,22.83,0.00,8.99,2.69,-5.57,8.51,22.81
Power Fin.Corpn.,532810,PFC,Finance,Financial Institution,361.40,119265.68,113492.35,109205.64,96.22,96.42,4.82,0.94,0.27,2.75,7.88,21.01,18683.87,145.09,293.09,193.17,0.00,9.85,-0.07,0.18,9.16,31.02
Power Grid Corpn,532898,POWERGRID,Power,Power - Transmission,273.45,254325.01,46180.55,37884.28,82.04,84.81,16.73,2.57,6.04,5.91,1.37,17.00,-3892.53,2090.92,9766.44,661.04,1883.52,7.13,0.84,-0.84,5.00,19.99
Ratnamani Metals,520111,RATNAMANI,Industrial Products,Iron & Steel Products,2324.60,16293.59,5374.76,905.36,16.84,15.88,26.87,4.21,1.42,12.11,0.06,16.01,2182.63,85.00,924.46,325.39,1220.41,5.28,-0.39,-0.13,0.28,33.20
REC Ltd,532955,RECLTD,Finance,Financial Institution,351.75,92623.65,59513.92,57456.60,96.54,96.18,5.36,1.11,0.32,2.73,6.18,21.51,12770.98,126.06,264.89,2.75,0.00,9.55,0.35,-1.19,8.97,38.64
Rites,541556,RITES,Construction,Civil Construction,236.64,11373.01,2229.67,546.71,24.52,24.48,27.66,4.32,-2.99,7.19,0.00,14.66,1683.54,129.85,901.51,265.57,86.91,7.37,0.02,0.04,0.01,25.15
S C I,523598,SCI,Transport Services,Shipping,232.45,10827.52,5295.70,1617.45,30.54,31.49,13.47,1.27,-13.74,7.02,0.33,10.53,2033.73,401.74,1216.72,862.24,153.16,7.88,0.01,0.35,2.77,17.13
Sanofi India,500674,SANOFI,Pharmaceuticals & Biotechnology,Pharmaceuticals,4380.70,10088.75,1932.50,519.30,26.87,24.38,27.32,12.88,-3.14,26.59,0.03,47.15,358.30,3.50,161.40,144.50,271.70,5.15,-0.78,-0.04,0.04,34.79
Sarda Energy,504614,SARDAEN,Ferrous Metals,Iron & Steel,489.00,17231.44,5718.87,1768.53,30.92,26.65,16.20,2.46,-3.05,8.51,0.38,13.44,3061.27,193.92,305.74,207.61,684.61,8.44,-0.94,0.31,1.64,23.59
SBFC Finance,543959,SBFC,Finance,Non Banking Financial Company (NBFC),107.34,11762.84,1492.95,1021.28,68.41,68.63,29.97,3.42,0.40,4.41,1.80,11.58,354.36,1.02,30.88,13.70,0.00,5.75,1.22,-0.11,6.16,12.73
Shriram Pistons,544344,SHRIPISTON,Auto Components,Auto Components & Equipments,2596.20,11436.22,3816.09,783.38,20.53,20.40,21.18,4.34,0.46,14.87,0.20,23.20,1491.40,109.24,590.80,405.00,506.70,7.02,-0.11,0.11,0.70,6.95
South Ind.Bank,532218,SOUTHBANK,Banks,Private Sector Bank,38.65,10114.16,9513.67,5842.67,61.41,63.45,7.45,0.95,0.04,1.08,11.50,13.78,11002.83,2119.21,0.00,0.00,0.00,6.25,0.82,0.33,15.36,7.20
Sun TV Network,532733,SUNTV,Entertainment,TV Broadcasting & Software Production,542.90,21394.85,4359.52,2229.72,51.15,53.03,12.90,1.73,3.37,14.47,0.01,15.69,7059.03,659.63,1466.40,424.29,0.00,10.32,-0.16,-0.20,0.07,30.73
Sundaram Finance,590071,SUNDARMFIN,Finance,Non Banking Financial Company (NBFC),4764.10,52930.99,9183.93,7280.77,79.28,80.42,26.84,3.50,1.61,2.66,4.35,15.27,1114.11,77.42,89.17,191.66,0.00,6.08,-0.45,0.25,9.24,12.09
Tata Power Co.,500400,TATAPOWER,Power,Integrated Power Utilities,380.00,121422.90,66066.92,13014.41,19.70,18.58,30.05,3.22,1.46,3.05,1.86,10.97,-11313.90,2802.54,6798.91,7209.85,5251.53,6.22,0.39,0.14,6.19,15.12
TCS,532540,TCS,IT - Software,Computers - Software & Consulting,3119.20,1128553.86,257688.00,68867.00,26.72,26.40,22.44,10.61,2.74,32.07,0.10,52.38,79215.00,3663.00,54182.00,14246.00,26.00,6.06,0.69,-1.15,0.16,30.61
Torrent Power,532779,TORNTPOWER,Power,Integrated Power Utilities,1293.00,65154.73,28738.09,5231.02,18.20,18.25,21.79,3.46,0.45,8.28,0.55,19.03,2117.26,468.80,3440.93,2281.23,778.98,5.52,0.75,-0.97,2.51,24.82
TVS Holdings,520056,TVSHLTD,Finance,Investment Company,14517.00,29370.95,50450.82,7970.31,15.80,15.21,20.39,5.32,0.56,4.78,6.25,30.20,-1080.43,64.53,2216.37,9263.55,2544.80,11.55,-0.15,0.17,5.09,10.92
UTI AMC,543238,UTIAMC,Capital Markets,Asset Management Company,1140.60,14635.85,1758.93,919.11,52.25,59.52,24.89,3.34,2.25,14.79,0.00,16.28,147.23,7.48,104.18,55.43,0.00,6.18,0.24,-0.08,0.00,23.70
Vedanta,500295,VEDL,Diversified Metals,Diversified Metals,504.65,197337.73,157262.00,43884.00,27.91,27.68,15.46,4.92,-1.50,9.77,2.12,38.48,-21699.00,956.00,3714.00,11857.00,17237.00,13.11,-0.22,0.48,2.39,5.78
Welspun Corp,532144,WELCORP,Industrial Products,Iron & Steel Products,865.55,22816.49,15463.58,2010.74,13.00,12.05,12.86,2.78,0.32,8.93,0.19,18.59,2174.29,1271.79,1629.25,2650.10,5152.72,10.46,0.17,-0.34,0.63,12.98
Wipro,507685,WIPRO,IT - Software,Computers - Software & Consulting,245.64,257539.39,89654.90,17769.30,19.82,20.23,19.08,3.01,8.33,10.82,0.19,16.59,42836.50,4256.40,11862.60,6085.90,74.00,7.39,0.08,0.29,0.84,24.33
Zensar Tech.,504067,ZENSARTECH,IT - Software,Computers - Software & Consulting,716.15,16281.14,5490.80,850.10,15.48,15.47,23.25,3.80,1.54,12.77,0.03,16.43,2517.80,182.50,797.80,359.70,0.00,6.01,1.72,-1.26,0.13,27.29
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals & Biotechnology,Pharmaceuticals,928.50,93428.83,24493.90,7617.40,31.10,30.37,18.58,3.69,9.83,14.64,0.38,21.21,8865.40,147.90,4962.70,2461.50,4750.10,6.99,-0.23,0.21,1.37,12.33
