Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,485.75,21037.48,3375.53,2577.37,76.35,76.30,21.29,3.05,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.94,-0.18,0.53,6.89,11.33
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1635.60,12948.52,2527.53,1878.12,74.31,75.29,21.46,2.77,1.25,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.24,2.61,-3.89,7.82,26.93
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1851.40,34766.93,24060.83,3569.63,14.84,14.07,10.76,1.74,1.63,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.44,-1.58,0.38,0.13,20.37
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,966.30,11507.01,3232.42,500.38,15.48,15.20,27.53,6.46,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.06,-0.22,-1.08,0.24,39.61
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,151.46,292085.99,55474.57,20671.12,37.26,38.11,24.28,5.00,0.64,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.73,0.94,-0.93,2.56,17.12
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,744.90,21505.94,1782.66,1066.81,59.84,64.91,22.15,6.03,1.94,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.05,-0.50,0.66,0.05,18.32
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,327.85,85682.34,41693.04,15151.78,36.34,35.13,26.26,2.66,1.08,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.53,0.76,-0.37,10.16,5.08
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,398.60,14659.90,12793.14,1421.99,11.12,10.85,29.19,2.72,2.72,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.82,3.41,-2.99,2.61,30.07
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,909.90,11162.78,2481.22,740.22,29.83,28.67,21.05,3.70,4.47,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.41,-0.15,0.42,0.08,27.77
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,968.60,17727.84,12875.97,1550.66,12.04,13.17,21.97,2.28,1.11,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.23,2.24,-1.42,0.26,28.78
