Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,488.55,49.51,21193.12,3375.53,2577.37,76.35,76.30,21.45,3.07,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.91,-0.18,0.53,6.89,10.82
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1457.80,34.82,11542.79,2527.53,1878.12,74.31,75.29,19.13,2.47,1.11,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.67,2.61,-3.89,7.82,34.87
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1782.50,42.72,33473.08,24060.83,3569.63,14.84,14.07,10.36,1.68,1.56,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.85,-1.58,0.38,0.13,16.05
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,954.95,46.34,11371.85,3232.42,500.38,15.48,15.20,27.20,6.38,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.12,-0.22,-1.08,0.24,40.32
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,143.25,44.82,276253.25,55474.57,20671.12,37.26,38.11,22.96,4.73,0.61,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.01,0.94,-0.93,2.56,21.61
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,762.30,54.05,22013.50,1782.66,1066.81,59.84,64.91,22.67,6.17,1.99,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.91,-0.50,0.66,0.05,16.38
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,346.10,50.72,90531.78,41693.04,15151.78,36.34,35.13,27.75,2.81,1.14,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.40,0.76,-0.37,10.16,6.19
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,380.20,33.72,13983.17,12793.14,1421.99,11.12,10.85,27.84,2.59,2.60,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.14,3.41,-2.99,2.61,33.30
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,912.35,54.43,11192.83,2481.22,740.22,29.83,28.67,21.10,3.71,4.48,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.39,-0.15,0.42,0.08,27.58
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,927.45,38.88,16974.69,12875.97,1550.66,12.04,13.17,21.04,2.18,1.06,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.50,2.24,-1.42,0.26,25.33
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2581.60,49.14,23451.08,4660.51,1528.72,32.80,37.85,29.98,4.03,1.29,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.39,-1.56,-1.55,3.13,21.41
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,282.30,43.45,14135.40,1998.39,1683.70,84.25,84.58,16.76,3.03,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.18,9.83,4.95,4.27,22.63
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1224.50,59.88,71119.16,32514.48,6618.84,20.36,20.65,20.78,2.03,2.63,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.77,0.67,-0.17,1.43,10.29
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2902.30,60.69,49294.14,3865.32,3616.75,93.57,89.63,12.27,3.04,0.14,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.07,0.09,6.17,0.77,12.55
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,847.15,63.03,11542.05,5963.96,745.01,12.49,11.30,18.66,3.83,0.56,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.04,0.19,-0.61,0.02,12.21
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1233.20,42.53,382815.20,129272.60,77132.26,59.67,63.58,14.73,1.93,0.57,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.07,1.65,-1.92,13.49,5.43
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1007.80,46.59,627101.72,76194.74,52179.07,68.48,68.79,34.27,6.08,1.03,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.06,-0.13,0.26,7.75,8.59
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2049.80,47.92,327519.75,141479.18,53466.32,37.79,37.01,33.83,4.28,1.36,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.39,0.40,-0.29,7.51,6.62
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,95.90,31.96,79907.09,10327.38,9394.08,90.96,91.85,33.85,3.77,0.75,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.38,-0.05,-0.13,10.06,30.00
Banco Products,500039,BANCOINDIA,Auto Components,Auto Components & Equipments,708.25,47.64,10130.62,3521.99,603.79,17.14,19.02,23.40,6.20,0.66,16.03,0.45,32.18,1423.36,96.36,768.67,434.69,1376.40,5.54,-0.14,0.57,1.22,19.50
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,148.97,49.43,23998.64,21742.03,9378.08,43.13,51.91,19.54,0.98,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.74,1.30,-0.90,13.34,22.60
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,142.72,51.86,64975.68,73784.35,53001.26,71.83,71.03,6.48,0.78,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.25,-0.34,0.71,15.56,5.75
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,57.67,50.78,44357.20,27237.84,17719.17,65.05,62.68,7.29,1.41,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.85,2.34,2.79,15.82,6.32
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,158.36,48.34,14092.13,9056.86,1114.49,12.31,12.32,30.95,2.84,2.90,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.73,-3.12,0.89,1.64,8.30
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,450.15,71.59,12545.24,5293.39,709.98,13.41,12.98,27.18,3.39,7.97,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,5.88,-0.50,-1.13,0.21,23.22
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",327.50,54.83,13484.51,2652.82,749.16,28.24,29.58,22.40,6.33,0.34,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,5.88,0.03,-1.72,0.54,37.30
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",873.75,42.93,21363.04,5588.84,1480.83,26.50,28.00,26.86,3.30,0.58,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.79,-0.16,-0.66,3.80,34.42
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1953.80,52.38,14851.17,2039.67,697.27,34.19,33.59,25.22,4.70,1.17,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.21,-0.12,0.35,0.01,26.02
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),177.77,34.35,17104.21,3903.31,2540.55,65.09,61.76,23.86,2.56,0.73,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.62,-0.24,0.11,6.88,23.28
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,183.94,34.05,18193.92,5635.47,1355.54,24.05,23.83,18.63,10.00,2.81,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.65,0.03,-0.04,0.05,27.01
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3932.80,55.79,15908.21,14022.58,1620.09,11.55,11.16,30.35,3.48,0.38,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.37,0.98,-1.18,3.06,11.38
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,37.13,49.28,33607.85,34595.01,20430.76,59.06,57.65,7.43,0.87,0.14,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,34.25
CESC,500084,CESC,Power,Integrated Power Utilities,168.09,45.56,22281.51,17907.00,3347.00,18.69,16.76,15.37,1.75,-26.05,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,8.96,0.27,0.16,5.74,12.59
