Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,465.15,41.42,20301.07,3672.58,2803.94,76.35,76.35,18.42,2.72,0.73,4.38,2.49,15.93,674.8,-1.62,0.0,123.65,0.0,7.35,0.7,-0.06,6.73,0.0,15.09
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1305.0,43.62,10347.04,2683.46,1977.01,73.67,73.67,15.76,2.02,1.05,3.29,3.11,13.92,2050.61,1.38,14.89,10.59,0.0,7.95,7.84,-7.98,8.11,0.0,39.38
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1373.0,43.45,25783.27,25961.85,2950.2,11.36,11.36,12.27,1.22,0.39,7.97,0.02,10.79,5611.37,436.74,3841.63,2453.81,1789.12,8.82,0.25,-0.06,0.19,0.55,32.32
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,875.25,46.2,10422.75,3280.44,503.95,15.36,15.36,25.1,5.22,0.66,13.93,0.0,22.9,406.24,110.06,284.3,916.5,605.4,5.6,0.08,-0.82,0.01,0.23,31.39
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,352.05,49.27,92292.43,45508.98,16694.14,36.68,36.68,24.26,2.69,-3.26,1.27,5.22,11.74,-66325.64,505.92,843.34,1842.17,0.0,6.35,-0.96,1.86,10.59,0.0,6.36
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,767.15,67.49,26927.0,8333.21,1451.85,17.42,17.42,29.96,4.41,1.18,8.66,0.69,16.81,2450.62,326.58,481.0,706.9,128.56,5.82,-1.74,1.69,2.63,0.94,18.79
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,725.5,39.85,14260.65,7344.9,1118.46,15.23,15.23,19.49,2.49,0.69,8.78,0.25,13.43,1978.76,-12.33,1466.3,835.08,2510.64,5.56,0.0,0.03,1.67,1.56,34.52
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1047.6,47.48,12858.18,2551.83,797.29,31.24,31.24,22.07,3.81,2.87,15.79,0.02,18.99,2141.32,34.75,1072.96,372.37,691.93,6.06,0.14,0.22,0.07,0.48,8.83
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5246.95,42.3,62735.12,14712.27,3005.21,20.43,20.43,25.82,4.55,0.82,12.9,0.15,18.88,7427.82,408.52,2979.11,2244.18,3333.22,5.02,-0.15,0.18,0.64,0.85,11.57
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,866.3,55.83,15855.51,13548.86,1544.23,11.4,11.4,20.38,1.94,45.29,7.37,0.05,10.01,1388.15,351.06,1167.27,1202.82,2282.79,6.71,-0.17,-0.06,0.34,1.23,18.12
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,392.35,41.4,24918.2,28470.6,4143.23,14.55,14.55,12.07,1.48,0.45,7.34,0.22,13.16,2614.58,-899.51,3190.84,3224.29,5452.28,10.09,-0.33,-0.11,1.34,1.32,27.41
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,260.6,50.95,13049.33,2192.24,1819.65,83.0,83.0,13.89,2.6,0.6,7.76,1.56,20.11,750.96,53.24,0.0,19.79,0.0,9.14,2.14,-2.85,4.25,1.75,28.57
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,149.05,38.46,87549.82,56362.08,10745.0,19.06,19.06,23.6,6.06,0.51,4.37,4.49,28.11,10624.64,252.0,3087.44,9291.24,4671.8,7.26,-0.67,0.16,6.24,2.38,30.81
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,976.45,43.97,73092.7,18636.34,10019.77,53.76,53.76,27.72,3.74,1.22,1.51,8.44,14.32,6000.56,2977.94,0.0,0.0,0.0,5.6,0.03,0.82,12.81,0.1,9.56
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1429.2,47.1,83008.13,33653.08,6845.73,20.34,20.34,23.41,2.2,1.03,6.57,0.21,10.06,14669.74,428.28,7094.37,5567.27,12052.94,6.83,-1.84,1.29,1.45,0.28,7.79
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),455.8,40.55,38707.62,2608.8,2298.52,88.11,88.11,20.05,2.63,0.09,10.93,0.23,13.13,-457.15,45.08,35.45,356.82,30.92,5.54,0.02,-0.22,1.44,0.04,33.31
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,1158.6,32.58,15785.37,6065.86,748.04,12.33,12.33,25.72,4.74,0.81,16.75,0.0,20.17,2325.06,198.68,143.89,243.18,940.27,5.83,2.66,-0.35,0.01,0.81,27.31
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1251.1,48.36,389042.67,132538.24,76694.75,57.87,57.87,14.73,1.87,0.43,1.47,7.56,13.17,94565.22,29673.71,0.0,0.0,0.0,5.5,0.7,-0.54,15.18,0.08,11.79
