Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,496.70,21460.39,3242.67,2471.69,76.22,76.30,22.61,3.36,0.84,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.79,-0.15,0.26,6.66,7.68
AAVAS Financiers,541988,AAVAS,Finance,1682.90,13321.32,2439.67,1827.58,74.91,75.29,22.68,3.05,1.32,3.27,3.19,14.12,1773.87,4.12,11.37,4.88,0.00,6.99,0.77,0.10,7.76,24.82
ACC,500410,ACC,Cement & Cement Products,1786.30,33544.44,22742.68,3159.95,13.89,14.07,14.37,1.81,2.17,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.93,-0.79,-0.17,0.13,29.81
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",939.60,11189.06,3244.87,499.96,15.41,15.20,26.47,6.93,0.46,16.70,0.01,28.65,-134.51,123.91,264.66,808.61,515.11,5.33,0.08,-0.13,0.03,41.28
Adani Power,533096,ADANIPOWER,Power,585.60,225862.34,55356.61,20796.41,37.57,38.11,18.60,4.01,0.50,12.46,0.70,25.72,8834.76,2648.97,13022.07,2977.66,3317.28,7.35,0.12,0.10,2.07,17.14
Aditya AMC,543374,ABSLAMC,Capital Markets,858.55,24781.12,1745.55,1034.68,59.28,64.91,25.49,6.65,2.23,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.33,-0.12,0.20,0.05,5.86
Aditya Birla Cap,540691,ABCAPITAL,Finance,269.70,70419.23,41420.09,14867.97,35.90,35.13,20.69,2.31,0.81,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.42,2.27,-1.36,9.23,5.07
Afcons Infrastr.,544280,AFCONS,Construction,422.75,15548.10,12764.44,1437.77,11.26,10.85,29.19,2.96,2.72,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.19,2.46,-2.41,1.67,25.83
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,958.40,11752.78,2400.12,695.41,28.97,28.60,23.71,4.17,4.72,15.51,0.02,18.86,1865.00,38.07,969.74,390.46,673.95,5.71,0.43,-0.15,0.08,28.22
Amara Raja Ener.,500008,ARE&M,Auto Components,957.95,17532.91,12404.89,1634.02,13.17,13.17,20.08,2.38,1.01,9.28,0.04,12.34,1308.56,199.43,1142.80,1046.54,2036.44,6.92,-0.59,-1.32,0.21,40.51
Angel One,543235,ANGELONE,Capital Markets,2631.80,23854.15,4973.46,1785.14,35.89,37.85,24.00,4.23,1.03,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,10.88,2.16,1.61,2.03,24.87
Aptus Value Hou.,543335,APTUS,Finance,345.05,17250.46,1875.74,1584.23,84.46,84.58,21.60,4.00,0.81,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.83,6.16,2.67,4.24,14.10
AU Small Finance,540611,AUBANK,Banks,738.00,55029.10,16673.13,8607.88,51.63,53.37,25.19,3.20,1.09,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.26,1.70,2.10,11.89,12.25
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1078.20,63175.90,32024.85,6506.88,20.32,20.65,18.64,1.93,2.30,7.37,0.25,11.15,12480.12,537.21,5745.93,4188.85,10543.72,8.53,0.70,-0.95,1.53,32.30
Axis Bank,532215,AXISBANK,Banks,1066.00,330684.18,128563.88,78314.42,60.91,63.58,11.87,1.76,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.54,0.35,-0.13,12.85,16.83
Bajaj Finance,500034,BAJFINANCE,Finance,860.00,534428.64,73107.06,50059.96,68.47,68.79,30.67,5.53,0.92,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.58,-0.26,0.26,7.34,12.14
Bajaj Finserv,532978,BAJAJFINSV,Finance,1914.40,305885.36,137779.99,51699.34,37.52,37.01,32.12,4.22,1.29,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.82,1.10,0.87,7.05,10.33
Bajaj Housing,544252,BAJAJHFL,Finance,108.56,90455.82,9982.68,9123.08,91.39,91.85,39.96,4.53,0.89,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.27,-0.13,-0.08,9.04,42.41
Bandhan Bank,541153,BANDHANBNK,Banks,165.70,26693.80,21888.01,10207.15,46.63,51.91,13.00,1.08,0.07,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.31,0.16,1.61,12.17,23.09
Bank of Baroda,532134,BANKBARODA,Banks,241.81,125048.71,130143.00,81093.72,62.31,64.41,6.43,0.81,0.17,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.39,0.82,-0.90,14.97,9.42
Bank of India,532149,BANKINDIA,Banks,113.56,51700.10,72728.68,51338.40,70.59,71.03,5.24,0.64,0.12,0.94,11.91,12.35,0.00,9458.93,0.00,0.00,0.00,6.36,0.07,-0.35,15.72,12.88
Bank of Maha,532525,MAHABANK,Banks,55.06,42349.70,26126.89,16663.95,63.78,62.68,7.36,1.48,0.11,1.64,11.53,22.81,37828.80,3386.14,0.00,663.37,0.00,5.96,-0.27,0.17,16.51,13.77
Belrise Industri,544405,BELRISE,Auto Components,135.06,12018.71,8772.05,1061.56,12.10,12.32,30.38,,2.88,5.36,1.10,14.11,929.45,81.61,1591.13,1065.71,769.73,5.44,,,3.68,6.96
Birlasoft Ltd,532400,BSOFT,IT - Software,370.80,10308.35,5332.71,661.15,12.40,12.98,21.79,2.96,6.39,12.12,0.04,15.59,920.79,107.11,980.16,235.33,10.39,6.81,-2.11,0.70,0.22,46.19
Brigade Enterpr.,532929,BRIGADE,Realty,966.20,23616.59,5277.63,1444.97,27.38,28.00,31.60,4.19,0.28,3.39,0.97,14.81,2337.32,255.33,629.12,785.77,8868.81,5.44,0.57,-0.88,3.89,33.37
Can Fin Homes,511196,CANFINHOME,Finance,751.65,10008.53,3967.50,3646.06,91.90,92.25,11.36,1.98,0.51,2.20,6.92,18.22,-71.39,1.38,0.93,6.08,0.00,8.12,-0.13,-0.04,9.65,21.02
Canara Bank,532483,CANBK,Banks,108.99,98861.03,123951.13,75867.53,61.21,62.10,5.35,0.94,0.13,1.08,14.67,17.75,162006.81,31349.49,0.00,2572.54,0.00,7.00,-0.44,0.84,14.18,8.64
Capri Global,531595,CGCL,Finance,185.71,17858.53,3533.58,2259.60,63.95,61.75,30.91,3.56,0.95,2.66,3.62,11.76,867.22,4.18,58.78,102.53,0.00,6.77,6.01,3.74,7.21,19.85
Castrol India,500870,CASTROLIND,Petroleum Products,208.11,20584.63,5560.90,1318.85,23.72,23.83,21.53,11.32,3.24,26.09,0.04,41.83,827.05,85.57,562.13,770.16,612.05,6.59,0.35,-0.33,0.06,26.82
