Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,500.10,21607.29,3242.67,2471.69,76.22,76.30,22.77,3.39,0.84,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.77,-0.15,0.26,6.66,7.04
AAVAS Financiers,541988,AAVAS,Finance,1708.10,13520.79,2354.51,1772.60,75.29,75.29,23.55,3.10,1.37,3.27,3.19,14.12,1773.87,3.91,11.37,4.88,0.00,6.72,0.77,0.10,8.00,23.69
ACC,500410,ACC,Cement & Cement Products,1790.20,33617.68,22742.68,3159.95,13.89,14.07,14.40,1.81,2.18,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.91,-0.79,-0.17,0.13,29.66
Adani Power,533096,ADANIPOWER,Power,584.00,225245.23,55356.61,20796.41,37.57,38.11,18.55,4.00,0.50,12.46,0.70,25.72,8834.76,2648.97,13022.07,2977.66,3317.28,7.36,0.12,0.10,2.07,17.39
Aditya AMC,543374,ABSLAMC,Capital Markets,863.75,24930.10,1745.55,1034.68,59.28,64.91,25.65,6.69,2.25,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.29,-0.12,0.20,0.05,5.29
Afcons Infrastr.,544280,AFCONS,Construction,405.70,14921.02,12548.42,1361.15,10.85,10.85,30.45,2.84,2.84,2.94,0.45,11.06,3021.22,469.16,2779.32,3541.35,1010.22,8.15,2.46,-2.41,1.74,28.82
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,965.70,11842.30,2400.12,695.41,28.97,28.60,23.89,4.20,4.76,15.51,0.02,18.86,1865.00,38.07,969.74,390.46,673.95,5.67,0.43,-0.15,0.08,27.67
Amara Raja Ener.,500008,ARE&M,Auto Components,957.60,17526.51,12404.89,1634.02,13.17,13.17,20.07,2.38,1.01,9.28,0.04,12.34,1308.56,199.43,1142.80,1046.54,2036.44,6.92,-0.59,-1.32,0.21,41.57
Angel One,543235,ANGELONE,Capital Markets,2627.60,23791.81,4973.46,1785.14,35.89,37.85,23.94,4.22,1.03,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,10.92,2.16,1.61,2.03,24.99
Aptus Value Hou.,543335,APTUS,Finance,350.55,17525.42,1875.74,1584.23,84.46,84.58,21.94,4.06,0.82,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.76,6.16,2.67,4.24,12.73
AU Small Finance,540611,AUBANK,Banks,752.25,56073.50,16673.13,8607.88,51.63,53.37,25.67,3.26,1.11,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.22,1.70,2.10,11.89,10.55
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1090.40,63890.75,32024.85,6506.88,20.32,20.65,18.85,1.96,2.32,7.37,0.25,11.15,12480.12,537.21,5745.93,4188.85,10543.72,8.44,0.70,-0.95,1.53,31.53
Axis Bank,532215,AXISBANK,Banks,1068.60,331470.59,128563.88,78314.42,60.91,63.58,11.90,1.77,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.53,0.35,-0.13,12.85,16.63
