Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,487.95,21166.64,3375.53,2577.37,76.35,76.30,21.43,3.07,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.91,-0.18,0.53,6.89,10.93
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1549.80,12271.24,2527.53,1878.12,74.31,75.29,20.34,2.62,1.19,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.44,2.61,-3.89,7.82,30.76
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1785.00,33520.03,24060.83,3569.63,14.84,14.07,10.38,1.68,1.57,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.83,-1.58,0.38,0.13,22.22
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,938.50,11175.96,3232.42,500.38,15.48,15.20,26.74,6.27,0.47,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.21,-0.22,-1.08,0.24,41.34
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,141.80,273456.97,55474.57,20671.12,37.26,38.11,22.73,4.68,0.60,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.07,0.94,-0.93,2.56,22.41
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,732.85,21158.04,1782.66,1066.81,59.84,64.91,21.79,5.94,1.91,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.15,-0.50,0.66,0.05,19.61
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,401.90,14781.26,12793.14,1421.99,11.12,10.85,29.43,2.74,2.75,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.77,3.41,-2.99,2.61,29.49
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,878.60,10778.78,2481.22,740.22,29.83,28.67,20.32,3.57,4.31,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.63,-0.15,0.42,0.08,30.26
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,938.00,17167.78,12875.97,1550.66,12.04,13.17,21.27,2.21,1.07,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.43,2.24,-1.42,0.26,29.09
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2533.50,23014.15,4660.51,1528.72,32.80,37.85,29.42,3.96,1.26,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,8.61,-1.56,-1.55,3.13,27.03
