Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
AAVAS Financiers,541988,AAVAS,Finance,1631.90,12918.34,2439.67,1827.58,74.91,75.29,22.00,2.96,1.28,3.27,3.19,14.11,1751.04,4.12,11.37,4.88,0.00,7.10,0.77,0.10,7.76,27.09
ACC,500410,ACC,Cement & Cement Products,1807.70,33946.30,22742.68,3159.95,13.89,14.07,14.54,1.83,2.20,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.81,-0.79,-0.17,0.13,28.97
Adani Power,533096,ADANIPOWER,Power,605.65,233595.51,55356.61,20796.41,37.57,38.11,18.82,4.15,0.50,12.46,0.70,26.10,8834.76,2648.97,13022.07,2977.66,3317.28,7.13,0.12,0.10,2.07,11.57
Afcons Infrastr.,544280,AFCONS,Construction,431.05,15853.36,12764.44,1437.77,11.26,10.85,29.76,3.01,2.78,2.94,0.45,11.06,3021.22,463.91,2779.32,3541.35,1010.22,8.05,2.46,-2.41,1.67,24.38
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,970.00,11895.03,2400.12,695.41,28.97,28.67,24.00,4.22,5.10,15.37,0.02,18.69,1387.38,38.07,969.74,390.46,673.95,5.64,0.43,-0.15,0.08,27.35
Amara Raja Ener.,500008,ARE&M,Auto Components,986.55,18056.37,12623.62,1585.38,12.56,13.17,21.60,2.45,1.09,9.28,0.04,12.34,1308.56,192.75,1142.80,1046.54,2036.44,6.41,-0.59,-1.32,0.22,38.73
Angel One,543235,ANGELONE,Capital Markets,2446.90,22178.25,4973.46,1785.14,35.89,37.85,22.32,3.93,0.96,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,12.20,2.16,1.61,2.03,30.15
Aptus Value Hou.,543335,APTUS,Finance,337.25,16875.02,1875.74,1584.23,84.46,84.58,21.13,3.90,0.79,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.94,6.16,2.67,4.24,16.04
AU Small Finance,540611,AUBANK,Banks,749.60,55894.06,16673.13,8607.88,51.63,53.37,25.59,3.25,1.11,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.23,1.70,2.10,11.89,10.87
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1067.40,62543.09,32024.85,6506.88,20.32,20.65,18.44,1.92,2.33,7.35,0.25,11.08,12480.11,537.21,5745.93,4188.85,10543.72,8.62,0.70,-0.95,1.53,32.98
Axis Bank,532215,AXISBANK,Banks,1070.00,331949.60,128563.88,78314.42,60.91,63.58,11.91,1.77,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.53,0.35,-0.13,12.85,16.52
Bajaj Finance,500034,BAJFINANCE,Finance,900.80,559782.93,73107.06,50059.96,68.47,68.79,32.12,5.79,0.97,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.42,-0.26,0.26,7.34,7.97
Bajaj Finserv,532978,BAJAJFINSV,Finance,1963.80,313778.56,137779.99,51699.34,37.52,37.01,32.95,4.33,1.32,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.72,1.10,0.87,7.05,8.02
Bajaj Housing,544252,BAJAJHFL,Finance,113.44,94522.00,9982.68,9123.08,91.39,91.85,41.76,4.74,0.93,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.15,-0.13,-0.08,9.04,39.82
Bandhan Bank,541153,BANDHANBNK,Banks,171.45,27620.10,21888.01,10207.15,46.63,51.91,13.45,1.12,0.08,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.28,0.16,1.61,12.17,20.42
Bank of Baroda,532134,BANKBARODA,Banks,241.08,124671.20,130143.00,81093.72,62.31,64.41,6.41,0.81,0.17,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.40,0.82,-0.90,14.97,9.69
