Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,461.1,34.64,20183.99,3817.29,2907.72,76.17,76.43,17.61,2.74,0.7,4.38,2.49,15.94,675.52,-0.48,27.02,123.65,0.0,7.54,0.77,-0.33,6.49,0.0,18.1
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1350.5,41.68,10708.13,2764.62,2040.97,73.82,73.67,15.59,2.13,1.03,3.29,3.11,13.92,2050.61,1.38,14.89,10.59,0.0,8.1,0.01,-0.46,7.85,0.0,23.91
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1309.0,37.73,24581.36,25441.73,2629.19,10.33,11.39,12.96,1.19,0.41,8.02,0.02,10.86,5611.37,397.77,3841.63,2453.81,1789.12,7.81,-0.5,-0.1,0.23,0.58,34.12
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,822.0,47.59,16157.48,7783.95,1167.13,14.99,15.26,21.66,2.87,0.76,8.79,0.25,13.45,1948.76,-1.23,1466.3,835.08,2510.64,5.17,-0.24,-0.09,1.61,1.46,17.64
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,288.2,36.23,26332.46,5425.77,2028.11,37.38,35.42,25.51,4.31,20.91,4.49,1.3,15.59,8225.39,17.09,434.45,9170.28,0.0,10.73,1.46,0.95,4.15,1.4,20.04
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,440.75,44.72,27992.0,29307.63,4143.45,14.14,14.65,13.12,1.63,0.5,7.32,0.22,13.07,2614.57,-466.33,3190.84,3224.29,5452.28,9.23,1.49,-2.06,1.33,1.4,18.46
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,257.8,37.34,12911.12,2272.27,1872.29,82.4,83.07,13.11,2.58,0.56,7.76,1.56,20.11,754.67,53.74,0.0,19.79,0.0,9.56,0.47,-0.38,4.13,1.77,27.79
Arvind Ltd,500101,ARVIND,INE034A01011,Textiles & Apparels,Garments & Apparels,536.95,50.18,14607.25,9797.83,1065.97,10.88,10.8,33.32,3.53,5.43,5.21,0.41,10.88,548.16,34.06,1443.79,1972.82,2173.53,5.11,2.74,-0.22,2.01,0.7,10.51
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,173.0,58.02,101617.69,57723.13,10981.93,19.03,5.58,27.34,7.09,0.61,4.27,4.49,27.43,4302.59,343.39,3087.44,9291.24,4671.8,6.78,2.69,-3.9,6.07,2.03,19.69
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6507.0,42.55,19157.75,6643.49,1188.81,17.89,16.48,24.05,3.05,2.79,9.3,0.03,11.49,1285.57,216.56,1271.0,852.24,815.47,5.65,0.04,-0.06,0.17,0.46,9.6
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),553.8,43.59,47030.13,2757.82,2425.38,87.95,90.13,22.44,3.25,0.22,11.25,0.21,13.16,-245.33,17.77,13.36,322.89,0.0,5.06,0.01,0.05,1.28,0.02,18.98
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,848.95,34.64,11566.54,6359.97,639.6,10.06,12.36,21.44,3.56,0.78,15.19,0.0,18.29,1073.29,213.58,143.89,243.18,940.27,7.15,0.53,-0.44,0.02,1.16,46.73
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1246.3,49.34,387946.06,135731.89,81034.17,59.7,59.29,14.01,1.76,0.41,1.47,7.47,13.12,118869.75,29291.88,0.0,0.0,0.0,5.55,-0.66,-2.13,15.01,0.08,12.13
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1093.2,55.07,680621.36,85963.63,58573.63,68.14,68.29,33.19,5.97,1.78,3.81,3.82,18.25,16950.65,-240.16,1908.08,2104.53,0.0,5.23,1.2,-1.13,7.56,0.49,7.17
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,2028.65,58.48,325002.2,157641.68,59568.13,37.79,37.93,31.58,4.17,2.01,2.83,5.52,13.23,-132648.93,-344.19,9332.08,9052.12,0.0,7.92,0.35,-0.33,7.38,0.07,7.58
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,84.85,49.66,70699.91,11604.2,10595.59,91.31,90.96,26.13,3.11,0.97,2.24,4.6,12.11,-231.05,-12.76,27.8,126.1,0.0,6.03,-0.18,-0.09,9.83,0.0,27.48
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,246.2,44.05,127319.02,136546.33,87323.66,63.95,64.22,5.77,0.75,0.58,1.01,10.89,12.7,104206.96,17511.43,0.0,0.0,0.0,5.78,-0.59,0.45,16.61,3.46,24.37
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,142.6,50.91,64920.97,77243.58,55814.43,72.26,72.61,5.5,0.71,0.13,0.95,11.83,12.41,83817.63,10440.65,0.0,0.0,0.0,6.05,0.0,-0.39,16.25,3.28,20.09
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,80.41,48.58,61847.77,30262.41,20806.29,68.75,69.25,8.21,1.74,0.21,1.76,10.74,22.65,13442.37,3745.66,0.0,0.0,0.0,5.71,0.35,0.27,15.61,2.72,14.91
