Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,171.45,1096.57,208.17,33.03,15.87,15.87,66.06,9.92,1.66,8.18,0.58,17.30,140.20,1.11,0.31
ACE Alpha Tech,544431,,,93.76,164.62,14.87,13.79,92.74,92.74,15.46,,,75.42,0.00,82.33,14.59,0.48,0.00
Adcounty Media.,544435,,,139.00,312.77,68.90,18.25,26.49,26.49,22.75,,0.34,35.51,0.02,47.28,33.39,0.69,2.93
AGI Infra,539042,AGIIL,Realty,987.85,2409.43,324.87,92.54,28.49,28.49,36.14,8.19,1.04,5.86,0.47,25.66,144.14,12.58,4.09
Algoquant Fin,505725,,Finance,1171.80,1829.94,234.70,48.24,20.55,20.55,57.38,18.13,,12.27,0.34,37.55,74.85,0.04,2.25
Alkyl Amines,506767,ALKYLAMINE,Chemicals & Petrochemicals,2398.05,12246.93,1571.82,291.36,18.54,18.54,65.73,8.74,-212.03,11.05,0.00,13.96,389.87,29.53,4.03
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1120.05,2741.14,780.15,125.28,16.06,16.06,32.84,12.67,0.35,24.19,0.36,48.07,180.11,2.86,3.69
Arkade,544261,ARKADE,Realty,204.95,3810.28,683.10,206.09,30.17,30.17,24.28,4.31,,17.19,0.13,26.00,955.74,11.98,2.13
Aryaman Capital,538716,,Finance,332.00,397.64,74.59,27.89,37.39,37.39,17.34,5.14,0.09,22.15,0.36,38.69,62.22,2.75,0.57
Aryaman Fin.Serv,530245,,Finance,715.90,836.32,112.87,52.67,46.66,46.66,26.50,6.50,0.26,23.47,0.22,31.30,116.80,5.23,1.80
Asahi India Glas,515030,ASAHIINDIA,Auto Components,815.60,19824.89,4594.48,766.13,16.68,16.68,57.55,7.42,3.11,5.61,1.01,13.72,722.98,66.46,4.61
Asarfi Hospital,543943,,Healthcare Services,142.90,281.19,120.57,23.84,19.77,19.77,25.61,3.45,0.77,6.90,0.60,14.46,32.10,7.57,1.99
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,144.45,151.83,80.16,11.95,14.91,14.91,39.85,,,5.25,3.54,37.84,28.86,0.10,4.34
Avishkar Infra,508929,,Realty,98.81,221.37,2.40,1.87,77.92,77.92,65.49,15.34,1.53,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1466.10,6228.84,1030.72,142.42,13.82,13.82,80.05,9.60,3.78,6.91,0.39,12.61,449.36,16.99,2.68
Banco Products,500039,BANCOINDIA,Auto Components,662.45,9479.76,3212.52,611.16,19.02,19.02,24.20,7.27,0.61,16.23,0.44,33.28,1429.63,43.02,3.99
Bemco Hydraulics,522650,,Industrial Manufacturing,2870.65,627.72,100.12,20.31,20.29,20.29,50.06,8.95,0.32,9.78,0.27,20.04,33.74,1.00,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",241.10,2807.19,407.36,41.24,10.12,10.12,79.64,28.93,0.65,25.16,0.00,25.97,22.08,0.86,0.00
CCL Products,519600,CCL,Agricultural Food & other Products,891.60,11912.76,3105.75,555.09,17.87,17.87,38.39,6.05,2.88,7.98,0.92,17.05,1707.71,8.45,2.58
Choice Intl.,531358,CHOICEIN,Finance,709.10,14146.01,910.38,284.59,31.26,31.26,90.37,13.78,1.37,7.36,0.45,18.87,856.03,11.29,4.18
CLN Energy,544347,,Auto Components,582.75,615.00,219.18,23.91,10.91,10.91,47.60,6.51,,8.26,0.17,23.95,81.29,1.21,0.38
CSB Bank,542867,CSBBANK,Banks,412.15,7146.75,3597.14,1948.44,54.17,54.17,12.04,1.59,0.11,1.42,9.43,14.31,0.00,972.06,3.25
Cupid,530843,CUPID,Personal Products,108.12,2907.21,203.18,61.43,30.23,30.23,71.03,8.48,114.56,11.83,0.06,12.72,274.46,0.00,4.78
Dodla Dairy,543306,DODLA,Food Products,1411.55,8523.15,3720.07,381.91,10.27,10.27,33.79,6.05,0.87,15.73,0.03,19.83,53.14,52.71,4.95
Ellen.Indl.Gas,544421,ELLEN,Chemicals & Petrochemicals,567.60,8003.06,312.48,109.83,35.15,35.15,99.76,15.06,-48.66,10.57,0.50,17.76,73.22,35.95,3.47
Exhicon Events,543895,,Other Consumer Services,482.10,624.92,143.51,35.12,24.47,24.47,24.04,5.58,,24.62,0.00,26.63,65.77,2.99,0.03
Fabtech Techn.,544332,,Industrial Manufacturing,392.00,482.92,150.03,16.04,10.69,10.69,36.31,5.12,1.34,12.51,0.01,18.21,81.83,0.87,0.76
Fiem Industries,532768,FIEMIND,Auto Components,1975.20,5198.93,2422.61,322.19,13.30,13.30,25.72,5.01,1.17,15.30,0.02,21.00,492.25,19.87,1.24
Foce India,,FOCE,Consumer Durables,1951.00,954.61,104.25,18.35,17.60,17.60,66.29,12.11,,11.08,0.38,20.11,36.19,0.39,0.61
GHV Infra,505504,,Construction,1063.85,1533.54,184.88,24.93,13.48,13.48,89.42,36.02,,15.49,0.73,82.12,15.11,0.00,0.00
Grand Continent,,GCHOTELS,Leisure Services,167.80,418.15,72.62,19.18,26.41,26.41,39.30,3.92,,10.02,0.10,15.56,41.13,0.62,4.25
GSM Foils,,GSMFOILS,Industrial Products,169.30,216.90,133.80,15.20,11.36,11.36,22.48,6.94,,23.72,0.57,45.66,43.74,0.02,0.00
Hawkins Cookers,508486,,Consumer Durables,9131.25,4830.43,1115.76,154.53,13.85,13.85,42.12,12.60,4.38,20.66,0.06,32.00,287.98,13.53,2.39
Hoac Foods,,HOACFOODS,Food Products,272.25,104.63,26.48,4.11,15.52,15.52,41.85,9.19,,17.72,0.39,33.90,11.97,0.16,0.00
HVAX Technolog.,,HVAX,Construction,1017.00,282.41,131.03,18.58,14.18,14.18,25.58,3.92,0.61,11.92,0.39,21.52,92.40,0.39,1.19
