Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Sh.Pushkar Chem.,539334,SHREEPUSHK,Chemicals & Petrochemicals,369.80,1195.85,806.28,83.90,10.41,10.41,20.40,2.22,8.91,7.44,0.19,11.58,290.36,10.77,3.90
Shri Ahimsa,,SHRIAHIMSA,Food Products,174.95,408.16,95.81,30.41,31.74,31.74,18.58,,0.75,14.84,0.00,18.42,105.65,1.92,1.16
Shri Techtex,,SHRITECH,Industrial Products,92.00,229.54,82.67,20.94,25.33,25.33,15.65,2.33,0.74,13.63,0.11,16.08,51.52,4.10,3.66
Simplex Castings,513472,,Industrial Products,391.00,281.45,171.88,31.08,18.08,18.08,18.60,4.97,0.15,9.19,1.36,33.69,81.19,1.34,4.63
Sirca Paints,543686,SIRCA,Consumer Durables,418.40,2293.20,374.00,67.44,18.03,18.03,46.70,6.56,2.28,12.25,0.00,14.92,220.26,5.16,2.70
SML ISUZU,505192,SMLISUZU,"Agricultural, Commercial & Construction Vehicles",3685.10,5332.34,2498.22,258.02,10.33,9.75,37.49,13.94,0.79,9.69,0.85,36.41,393.60,7.52,0.00
Sobhagya Mercant,512014,,Commercial Services & Supplies,556.30,467.29,160.40,25.53,15.92,15.92,30.09,5.85,2.44,11.97,0.08,24.43,81.87,0.00,2.39
Spunweb Nonwoven,,SPUNWEB,,160.45,386.74,226.31,31.35,13.85,13.85,35.84,,0.75,7.46,2.02,30.47,74.96,0.79,3.60
Steelcast,513517,STEELCAS,Industrial Products,1206.00,2440.94,376.17,106.26,28.25,28.25,33.83,7.49,1.14,20.24,0.00,24.24,126.80,4.45,3.09
String Metaverse,534535,,IT - Services,292.25,3402.73,407.36,41.24,10.12,10.12,96.53,35.06,,25.16,0.00,25.97,22.08,0.86,0.05
Sudarshan Chem.,506655,SUDARSCHEM,Chemicals & Petrochemicals,1254.60,9857.75,2760.39,373.13,13.52,12.54,69.13,7.17,-9.24,4.72,0.46,11.30,746.47,-26.04,4.59
Tankup Engi.,,TANKUP,,371.70,196.81,20.30,2.50,12.32,12.32,129.48,,0.61,9.53,1.42,29.40,14.19,0.17,3.94
Thyrocare Tech.,539871,THYROCARE,Healthcare Services,1187.50,6293.09,687.35,189.61,27.59,27.59,73.24,11.51,-4.00,12.86,0.05,16.01,86.28,14.83,2.66
Tilaknagar Inds.,507205,TI,Beverages,470.35,9116.03,1434.15,254.88,17.77,17.77,39.71,10.32,0.42,20.44,0.05,29.89,512.43,17.57,3.62
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals & Biotechnology,3503.50,118569.03,11516.09,3720.99,32.31,32.31,61.90,15.62,2.92,13.26,0.42,26.52,2657.88,-0.94,2.43
Transteel Seatin,,TRANSTEEL,Consumer Durables,145.00,292.59,88.65,22.04,24.86,24.86,23.09,2.92,0.23,8.32,0.38,14.23,87.11,0.28,1.43
Travel Food,544443,TRAVELFOOD,Leisure Services,1173.60,15455.92,1687.74,554.12,32.83,32.83,42.64,,0.14,21.49,0.32,39.10,-127.32,122.22,1.21
UTI AMC,543238,UTIAMC,Capital Markets,1475.40,18894.74,1851.09,1101.86,59.52,59.52,25.82,4.11,2.34,14.79,0.00,16.28,246.19,8.56,1.31
Vaidya Sane,,MADHAVBAUG,Healthcare Equipment & Supplies,176.00,185.03,89.85,13.49,15.01,15.01,23.10,2.96,,10.85,0.02,13.56,20.52,0.66,3.40
Vinyas Innovativ,,VINYAS,Industrial Manufacturing,1402.90,1765.51,396.64,40.84,10.30,10.30,90.91,12.01,0.54,6.08,0.71,14.12,209.48,3.52,2.58
Vishal Mega Mart,544307,VMM,Retailing,142.04,66214.85,10716.35,1530.18,14.28,14.28,104.78,10.20,2.23,6.83,0.27,10.51,1276.32,58.56,0.84
Voler Car,,VOLERCAR,Transport Services,147.85,164.75,42.40,4.77,11.25,11.25,37.70,4.45,0.54,16.11,0.00,21.80,36.46,0.75,0.00
VRL Logistics,539118,VRLLOG,Transport Services,629.50,5506.14,3160.95,573.83,18.15,18.15,31.09,5.08,7.58,7.38,1.13,17.44,114.62,25.46,3.30
