Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,158.79,1012.62,208.17,33.03,15.87,15.87,61.00,9.19,1.53,8.18,0.58,17.30,140.20,1.11,1.95
AGI Infra,539042,AGIIL,Realty,999.60,2439.88,324.87,92.54,28.49,28.49,36.60,8.28,1.06,5.86,0.47,25.66,144.14,12.58,2.00
Allied Blenders,544203,ABDL,Beverages,435.25,12163.14,3519.88,431.08,12.25,12.25,62.51,7.89,0.60,6.29,0.59,19.96,1581.25,20.87,4.30
Aryaman Capital,538716,,Finance,333.00,398.84,74.59,27.89,37.39,37.39,17.39,5.15,0.09,22.15,0.36,38.69,62.22,2.75,0.27
Aryaman Fin.Serv,530245,,Finance,693.00,809.57,112.87,52.67,46.66,46.66,25.65,6.29,0.25,23.47,0.22,31.30,116.80,5.23,0.85
ASK Automotive,544022,ASKAUTOLTD,Auto Components,516.65,10177.24,3600.83,431.90,11.99,11.99,41.10,9.76,2.23,14.18,0.39,26.63,107.40,18.13,1.90
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,146.75,154.24,80.16,11.95,14.91,14.91,40.48,,,5.25,3.54,37.84,28.86,0.10,2.81
Avishkar Infra,508929,,Realty,73.76,165.24,2.40,1.87,77.92,77.92,48.89,11.45,1.14,21.07,0.15,150.22,15.61,2.20,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",180.00,2095.78,407.36,41.24,10.12,10.12,59.45,21.60,0.48,25.16,0.00,25.97,22.08,0.86,0.00
Choice Intl.,531358,CHOICEIN,Finance,715.30,14287.40,910.38,284.59,31.26,31.26,91.27,13.90,1.38,7.36,0.45,18.87,856.03,11.29,1.07
City Union Bank,532210,CUB,Banks,205.13,15205.64,5834.04,4036.90,69.20,69.20,13.53,1.61,0.72,1.51,6.94,12.58,0.00,898.06,1.57
CLN Energy,544347,,Auto Components,515.00,543.49,219.18,23.91,10.91,10.91,42.07,5.75,,8.26,0.17,23.95,81.29,1.21,2.49
CSB Bank,542867,CSBBANK,Banks,393.20,6812.88,3597.14,1948.44,54.17,54.17,11.47,1.52,0.10,1.42,9.43,14.31,0.00,972.06,2.48
DCB Bank,532772,DCBBANK,Banks,143.39,4514.54,6470.59,4442.12,68.65,68.65,7.34,0.79,0.58,0.88,12.16,11.44,0.00,750.51,4.91
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals & Petrochemicals,1594.40,20133.62,10274.42,1924.72,18.73,18.73,21.57,3.23,0.23,7.58,0.67,16.03,1887.85,80.82,2.60
Dodla Dairy,543306,DODLA,Food Products,1446.00,8733.69,3720.07,381.91,10.27,10.27,34.62,6.20,0.89,15.73,0.03,19.83,53.14,52.71,2.63
Espire Hospi,532016,,Leisure Services,578.20,862.82,119.55,22.48,18.80,18.80,104.33,19.84,0.73,6.59,2.54,35.33,49.42,0.61,2.99
Fabtech Techn.,544332,,Industrial Manufacturing,364.35,448.86,150.03,16.04,10.69,10.69,33.75,4.75,1.24,12.51,0.01,18.21,81.83,0.87,0.86
Federal-Mogul Go,505744,FMGOETZE,Auto Components,532.25,2963.36,1800.19,284.32,15.79,15.79,18.29,2.34,0.49,10.14,0.00,13.63,772.02,43.93,4.29
Foce India,,FOCE,Consumer Durables,1840.00,900.30,104.25,18.35,17.60,17.60,62.52,11.42,,11.08,0.38,20.11,36.19,0.39,0.00
Force Motors,500033,FORCEMOT,Automobiles,14113.00,18596.00,8071.73,1092.72,13.54,13.54,34.00,6.13,0.73,11.46,0.01,20.68,871.21,451.65,3.26
Frontier Springs,522195,,Auto Components,4676.35,1842.49,231.34,49.66,21.47,21.47,53.16,14.86,2.68,23.68,0.05,32.50,50.03,0.98,3.54
GHV Infra,505504,,Construction,970.45,1398.91,184.88,24.93,13.48,13.48,81.57,32.85,,15.49,0.73,82.12,15.11,0.00,0.00
GSM Foils,,GSMFOILS,Industrial Products,160.00,204.98,133.80,15.20,11.36,11.36,21.24,6.56,,23.72,0.57,45.66,43.74,0.02,2.44
Harshdeep,544105,,Agricultural Food & other Products,95.60,153.86,56.27,14.81,26.32,26.32,15.86,3.24,,19.46,0.00,22.95,33.55,0.15,4.40
HEC Infra Proj.,,HECPROJECT,,179.39,194.42,112.10,13.95,12.44,12.44,21.04,3.66,0.28,9.98,0.71,21.00,53.22,1.05,2.56
