Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,167.00,1064.17,208.17,33.03,15.87,15.87,64.11,9.67,1.61,8.18,0.58,17.30,140.20,1.11,0.71
ACE Alpha Tech,544431,,,89.30,156.79,14.87,13.79,92.74,92.74,14.72,,,75.42,0.00,82.33,14.59,0.48,0.00
Adcounty Media.,544435,,,136.50,307.14,68.90,18.25,26.49,26.49,22.34,,0.34,35.51,0.02,47.28,33.39,0.69,0.00
AGI Infra,539042,AGIIL,Realty,1008.50,2468.44,324.87,92.54,28.49,28.49,37.03,8.35,1.07,5.86,0.47,25.66,144.14,12.58,2.09
Allied Blenders,544203,ABDL,Beverages,432.35,12094.69,3519.88,431.08,12.25,12.25,62.15,7.84,0.60,6.29,0.59,19.96,1581.25,20.87,4.94
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1105.05,2704.44,780.15,125.28,16.06,16.06,32.40,12.50,0.35,24.19,0.36,48.07,180.11,2.86,4.98
Arih.Found.Hsg.,531381,,Realty,1447.05,1442.07,206.44,64.36,31.18,31.18,33.77,4.64,0.88,8.34,0.42,17.00,250.70,15.35,4.38
Aryaman Capital,538716,,Finance,332.75,398.54,74.59,27.89,37.39,37.39,17.38,5.15,0.09,22.15,0.36,38.69,62.22,2.75,0.34
Aryaman Fin.Serv,530245,,Finance,726.90,849.17,112.87,52.67,46.66,46.66,26.91,6.60,0.26,23.47,0.22,31.30,116.80,5.23,0.27
Asahi India Glas,515030,ASAHIINDIA,Auto Components,843.00,20489.65,4594.48,766.13,16.68,16.68,59.48,7.68,3.22,5.61,1.01,13.72,722.98,66.46,1.40
Asarfi Hospital,543943,,Healthcare Services,141.50,278.43,120.57,23.84,19.77,19.77,25.36,3.42,0.77,6.90,0.60,14.46,32.10,7.57,2.95
ASK Automotive,544022,ASKAUTOLTD,Auto Components,521.60,10298.87,3600.83,431.90,11.99,11.99,41.59,9.86,2.26,14.18,0.39,26.63,107.40,18.13,4.80
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,148.00,155.57,80.16,11.95,14.91,14.91,40.83,,,5.25,3.54,37.84,28.86,0.10,1.99
Avishkar Infra,508929,,Realty,94.11,210.84,2.40,1.87,77.92,77.92,62.38,14.61,1.46,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1435.20,6082.40,1030.72,142.42,13.82,13.82,78.17,9.39,3.69,6.91,0.39,12.61,449.36,16.99,4.17
