Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,166.15,1066.43,208.17,33.03,15.87,15.87,64.25,9.61,1.61,8.18,0.58,17.30,140.20,1.11,0.78
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,903.25,8192.05,2115.07,464.37,21.96,21.96,30.07,4.11,,9.93,0.21,14.54,963.01,10.12,4.87
ACE Alpha Tech,544431,,,85.05,149.34,14.87,13.79,92.74,92.74,14.02,,,75.42,0.00,82.33,14.59,0.48,0.00
AGI Infra,539042,AGIIL,Realty,1015.00,2481.38,324.87,92.54,28.49,28.49,37.22,8.41,1.07,5.86,0.47,25.66,144.14,12.58,1.46
Algoquant Fin,505725,,Finance,1065.40,1663.78,234.70,48.24,20.55,20.55,52.17,16.48,,12.27,0.34,37.55,74.85,0.04,3.06
Aluwind Infra,,ALUWIND,Industrial Products,87.60,217.66,109.22,11.98,10.97,10.97,26.81,3.65,0.39,9.35,0.22,19.27,60.79,1.30,1.35
Arih.Found.Hsg.,531381,,Realty,1476.55,1471.47,206.44,64.36,31.18,31.18,34.46,4.73,0.90,8.34,0.42,17.00,250.70,15.35,2.43
Arkade,544261,ARKADE,Realty,196.00,3638.04,683.10,206.09,30.17,30.17,23.19,4.11,,17.19,0.13,26.00,955.74,11.98,4.35
Aryaman Capital,538716,,Finance,330.50,395.85,74.59,27.89,37.39,37.39,17.26,5.11,0.09,22.15,0.36,38.69,62.22,2.75,1.02
Aryaman Fin.Serv,530245,,Finance,714.70,834.91,112.87,52.67,46.66,46.66,26.45,6.48,0.26,23.47,0.22,31.30,116.80,5.23,1.95
Asahi India Glas,515030,ASAHIINDIA,Auto Components,835.25,20273.19,4594.48,766.13,16.68,16.68,58.85,7.61,3.18,5.61,1.01,13.72,722.98,66.46,1.96
Asarfi Hospital,543943,,Healthcare Services,140.00,275.48,120.57,23.84,19.77,19.77,25.09,3.38,0.76,6.90,0.60,14.46,32.10,7.57,3.98
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,146.15,153.62,80.16,11.95,14.91,14.91,40.32,,,5.25,3.54,37.84,28.86,0.10,3.21
Avishkar Infra,508929,,Realty,89.63,200.80,2.40,1.87,77.92,77.92,59.41,13.92,1.39,21.07,0.15,150.22,15.61,2.20,0.00
Banco Products,500039,BANCOINDIA,Auto Components,671.95,9609.25,3212.52,611.16,19.02,19.02,24.53,7.38,0.62,16.23,0.44,33.28,1429.63,43.02,2.62
Bemco Hydraulics,522650,,Industrial Manufacturing,2759.25,603.37,100.12,20.31,20.29,20.29,48.12,8.60,0.30,9.78,0.27,20.04,33.74,1.00,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",218.75,2546.96,407.36,41.24,10.12,10.12,72.25,26.25,0.59,25.16,0.00,25.97,22.08,0.86,0.00
CARE Ratings,534804,CARERATING,Capital Markets,1868.30,5596.30,402.32,155.35,38.61,38.61,40.78,6.93,3.79,15.56,0.03,18.02,597.59,50.75,4.91
Carysil,524091,CARYSIL,Consumer Durables,903.55,2569.04,815.57,137.32,16.84,16.84,40.30,4.88,1.71,7.03,0.51,14.48,357.30,9.83,4.59
CCL Products,519600,CCL,Agricultural Food & other Products,884.90,11804.85,3105.75,555.09,17.87,17.87,38.04,6.01,2.85,7.98,0.92,17.05,1707.71,8.45,3.31
Choice Intl.,531358,CHOICEIN,Finance,694.05,13828.13,910.38,284.59,31.26,31.26,88.34,13.49,1.34,7.36,0.45,18.87,856.03,11.29,4.00
CLN Energy,544347,,Auto Components,557.00,587.81,219.18,23.91,10.91,10.91,45.50,6.22,,8.26,0.17,23.95,81.29,1.21,4.79
CSB Bank,542867,CSBBANK,Banks,394.50,6858.01,3597.14,1948.44,54.17,54.17,11.55,1.52,0.10,1.42,9.43,14.31,0.00,972.06,3.71
Cupid,530843,CUPID,Personal Products,109.90,2956.25,203.18,61.43,30.23,30.23,72.23,8.62,116.50,11.83,0.06,12.72,274.46,0.00,3.21
DCB Bank,532772,DCBBANK,Banks,144.25,4542.15,6470.59,4442.12,68.65,68.65,7.39,0.80,0.58,0.88,12.16,11.44,0.00,750.51,4.34
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals & Petrochemicals,1729.00,21831.53,10274.42,1924.72,18.73,18.73,23.38,3.50,0.25,7.58,0.67,16.03,1887.85,80.82,2.79
Dodla Dairy,543306,DODLA,Food Products,1445.00,8762.44,3720.07,381.91,10.27,10.27,34.73,6.20,0.90,15.73,0.03,19.83,53.14,52.71,2.69
Ellen.Indl.Gas,544421,ELLEN,Chemicals & Petrochemicals,576.60,8127.13,312.48,109.83,35.15,35.15,101.31,15.30,-49.42,10.57,0.50,17.76,73.22,35.95,0.27
Exhicon Events,543895,,Other Consumer Services,440.00,570.35,143.51,35.12,24.47,24.47,21.94,5.09,,24.62,0.00,26.63,65.77,2.99,0.00
Fabtech Techn.,544332,,Industrial Manufacturing,386.50,476.14,150.03,16.04,10.69,10.69,35.80,5.04,1.32,12.51,0.01,18.21,81.83,0.87,2.15
Fiem Industries,532768,FIEMIND,Auto Components,1958.35,5142.81,2422.61,322.19,13.30,13.30,25.44,4.97,1.16,15.30,0.02,21.00,492.25,19.87,2.08
Fluidomat,522017,,Industrial Manufacturing,1331.95,656.66,72.18,27.28,37.79,37.79,29.55,8.16,0.63,27.08,0.00,31.44,39.08,3.46,3.69
Foce India,,FOCE,Consumer Durables,1963.00,960.48,104.25,18.35,17.60,17.60,66.70,12.19,,11.08,0.38,20.11,36.19,0.39,0.00
