Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,180.07,1150.27,208.17,33.03,15.87,15.87,69.29,10.42,0.32,8.18,0.58,17.30,140.20,1.11,50.23,33.95,81.11,2.49,0.00,0.01,2.19,0.51
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,511.70,22108.48,3107.63,2371.26,76.30,76.30,24.24,3.46,0.90,4.31,2.56,16.86,1607.27,1.01,25.28,125.93,0.00,6.39,-0.15,0.26,6.95,3.70
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,938.90,8509.68,2115.07,464.37,21.96,21.96,31.24,4.28,1.02,9.93,0.21,14.54,963.01,10.12,575.40,277.83,587.58,4.35,0.27,-0.02,1.07,3.36
Aditya AMC,543374,ABSLAMC,Capital Markets,875.55,25270.68,1745.55,1034.68,59.28,64.91,26.00,6.78,2.28,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.22,-0.12,0.20,0.05,3.99
Aditya Birla Cap,540691,ABCAPITAL,Finance,270.95,70741.72,40589.98,14232.65,35.06,35.06,21.40,2.32,0.83,1.32,4.61,11.55,-57973.25,578.57,688.25,1318.24,0.00,7.10,2.27,-1.36,9.63,4.14
AGI Infra,539042,AGIIL,Realty,1052.45,2571.50,324.87,92.54,28.49,28.49,38.57,8.72,1.73,5.86,0.47,25.66,144.14,12.58,2.16,16.53,818.43,3.24,0.01,-0.44,1.58,2.91
Algoquant Fin,505725,,Finance,1226.85,1915.90,234.70,48.24,20.55,20.55,60.08,18.98,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.38,0.00,0.00,0.78,1.96
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1265.95,3098.21,780.15,125.28,16.06,16.06,37.11,14.32,0.03,24.19,0.36,48.07,180.11,2.86,123.75,109.93,102.39,3.82,0.01,0.19,0.66,0.80
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2631.20,21844.39,975.50,429.79,44.06,45.01,68.22,32.41,2.04,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,2.04,1.19,0.05,0.18,2.55
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,758.30,42586.89,1840.65,689.67,37.47,37.47,84.09,,11.01,19.63,0.05,22.99,1020.19,108.98,447.91,110.10,338.60,1.70,,,0.16,1.52
Apis India,506166,,Food Products,340.75,187.76,350.35,35.60,10.16,10.16,7.41,1.08,0.16,9.17,0.38,15.79,181.06,1.86,114.78,33.19,78.65,13.20,0.00,0.00,1.98,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7363.50,105875.83,21794.00,3021.80,13.87,13.87,73.22,12.89,3.74,8.05,0.96,19.09,3483.40,233.30,3016.10,2240.50,480.80,2.22,-0.95,0.75,3.15,3.56
Asahi India Glas,515030,ASAHIINDIA,Auto Components,848.20,20619.74,4594.48,766.13,16.68,16.68,59.85,7.73,85.50,5.61,1.01,13.72,722.98,66.46,441.77,1005.36,1119.40,2.63,0.15,-0.41,4.42,3.22
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,560.80,5357.10,2738.93,369.99,13.51,13.51,18.53,4.31,0.31,7.98,0.94,26.62,697.96,74.89,547.45,616.02,654.33,5.73,-0.12,-0.14,3.17,4.48
ASM Technologies,526433,,IT - Software,3185.25,3749.76,288.81,47.20,16.34,16.34,148.51,22.71,6.70,9.62,0.52,16.47,149.13,8.55,129.15,17.26,18.84,1.21,0.02,0.44,1.87,3.18
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,179.05,188.20,97.52,15.12,15.50,15.50,35.18,,0.20,6.61,3.54,44.66,28.86,0.19,25.43,23.00,24.84,4.66,,,3.95,3.22
Authum Invest,539177,AIIL,Finance,2808.10,47694.20,4361.23,3991.81,91.53,89.63,11.64,3.26,0.14,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,8.40,0.06,0.53,0.13,3.10
Avishkar Infra,508929,,Realty,165.83,371.51,2.40,1.87,77.92,77.92,109.91,25.75,1.20,21.07,0.15,150.22,15.61,2.20,2.47,0.04,5.08,0.83,0.00,0.00,0.69,0.00
Bajaj Finance,500034,BAJFINANCE,Finance,958.95,595919.01,73107.06,50059.96,68.47,68.79,34.20,6.16,1.03,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.21,-0.26,0.26,7.34,2.03
Bajaj Finserv,532978,BAJAJFINSV,Finance,2032.30,324723.58,133822.12,49524.20,37.01,37.01,36.55,4.48,1.46,2.96,4.92,13.39,-121431.86,-18.35,8319.35,7964.85,0.00,7.28,1.10,0.87,7.36,4.81
Bajaj Holdings,500490,BAJAJHLDNG,Finance,14165.00,157642.29,739.24,559.35,75.67,75.67,24.48,2.51,1.47,9.32,0.00,11.01,1112.57,6223.74,0.00,5.05,0.00,4.23,0.15,-0.25,0.00,4.76
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,142.05,337.75,126.52,13.26,10.48,10.48,42.65,4.22,1.21,7.44,0.39,13.77,87.77,2.05,44.69,7.17,39.75,3.91,,,2.18,3.89
