Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,Diversified,Diversified,35970.00,40538.19,4750.64,878.41,18.49,17.31,73.15,25.16,3.39,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.19,0.02,-0.41,0.12,2.78
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals,327.00,784.44,277.91,47.08,16.94,15.84,22.63,3.14,0.29,15.26,0.00,18.44,124.13,6.04,52.77,13.87,52.08,6.59,0.41,-0.01,0.02,3.24
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,1006.25,120879.07,25619.95,7466.81,29.14,29.73,53.60,5.17,2.12,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.92,3.08,-2.79,7.19,4.17
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1484.20,320607.82,34745.59,20643.43,59.41,59.53,26.71,4.78,0.98,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.85,-0.12,0.08,3.19,2.59
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,330.65,86414.11,41693.04,15151.78,36.34,35.13,26.48,2.68,1.08,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.51,0.76,-0.37,10.16,4.27
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3733.40,35213.57,4309.96,1187.95,27.56,26.91,31.25,4.78,1.63,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.09,0.16,-0.34,0.70,1.73
Aimtron,,AIMTRON,Industrial Manufacturing,Industrial Products,970.95,1982.08,224.08,49.39,22.04,20.36,57.05,9.96,,15.88,0.00,24.80,167.99,2.87,47.50,23.66,83.17,2.38,-1.15,-0.54,0.01,2.41
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5724.00,68439.01,13890.16,2810.50,20.23,19.38,29.12,5.13,3.13,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.20,0.13,0.36,0.81,2.45
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,158.95,844.84,120.29,32.55,27.06,27.06,31.00,3.94,0.07,13.27,0.27,40.45,225.62,0.16,107.45,16.56,56.53,3.53,,,1.87,2.78
Apis India,506166,,Food Products,Other Food Products,1097.90,604.95,365.95,37.48,10.24,10.21,26.31,3.91,0.54,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,5.42,0.00,0.00,1.32,0.00
Aprameya Enginee,,APRAMEYA,Healthcare Equipment & Supplies,Medical Equipment & Supplies,345.00,656.88,168.57,36.80,21.83,17.98,26.70,9.25,0.91,14.68,0.53,36.78,71.27,0.50,112.36,15.69,4.46,5.38,0.05,-0.41,1.00,1.43
Asahi India Glas,515030,ASAHIINDIA,Auto Components,Auto Components & Equipments,987.40,25171.51,4684.11,752.02,16.05,16.67,87.76,6.80,365.67,5.50,0.77,13.61,1050.96,76.82,439.32,949.81,1169.23,2.08,3.38,1.13,5.07,2.48
Asarfi Hospital,543943,,Healthcare Services,Hospital,213.10,419.32,147.29,28.18,19.13,20.47,29.84,4.71,1.29,6.71,0.54,14.06,17.78,7.98,46.84,15.27,2.88,5.27,-1.01,-0.05,1.99,3.57
