Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A.K.Capital Serv,530499.0,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1717.0,58.46,1133.22,571.92,399.51,69.85,69.85,10.27,1.08,1.29,2.68,2.95,10.94,832.75,1.09,6.86,3.61,0.0,9.42,0.0,0.0,7.91,2.2,4.56
Adani Green,541450.0,ADANIGREEN,INE364U01010,Power,Power Generation,1480.05,57.19,243790.27,12928.0,10785.0,83.42,83.42,133.18,12.18,7.68,1.74,5.19,11.4,-10316.0,1072.0,2129.0,407.0,136.0,2.56,0.25,-0.32,11.87,0.0,4.19
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1813.3,54.55,417776.96,38735.77,22868.19,59.04,59.04,32.33,4.33,1.19,8.17,0.66,16.38,4959.83,2151.73,6382.54,2736.24,685.0,4.22,-0.03,0.15,3.23,0.42,2.4
Aditya AMC,543374.0,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1101.2,55.15,31844.01,1845.03,1104.69,59.87,59.87,32.56,7.95,1.82,22.91,0.02,25.16,8.16,211.66,54.62,70.37,0.0,4.13,0.76,-0.3,0.05,2.17,1.98
Advait Energy,543230.0,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2311.8,58.43,2529.84,714.52,83.79,11.73,11.73,48.96,9.16,0.59,9.5,0.34,21.53,106.56,12.72,147.86,209.79,59.13,3.85,-0.22,0.19,1.02,0.08,4.43
Aegis Logistics,500003.0,AEGISLOG,INE208C01025,Gas,Trading - Gas,944.55,80.54,33153.71,8333.21,1451.85,17.42,17.42,36.87,5.57,1.45,8.66,0.69,16.81,2450.62,326.58,481.0,706.9,128.56,4.87,-1.74,1.69,2.63,0.77,2.92
Aeroflex,543972.0,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,449.7,55.6,5950.83,441.94,99.74,22.57,22.57,107.23,13.35,5.47,11.2,0.02,14.06,212.0,1.36,129.82,80.71,83.72,1.4,0.25,0.5,0.12,0.07,1.96
Angel One,543235.0,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,338.75,49.59,30939.66,5137.68,1819.89,35.42,35.42,33.71,4.98,27.63,4.49,1.3,15.59,8225.39,14.56,434.45,9170.28,0.0,8.16,0.77,0.36,4.65,1.44,3.49
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,713.5,70.69,446.33,105.92,20.93,19.76,19.76,32.16,6.14,0.7,14.62,0.16,21.11,42.4,0.66,35.89,13.76,10.2,4.74,7.21,-0.09,0.57,0.0,2.45
Apollo Hospitals,508869.0,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8496.45,66.79,122165.85,25228.5,3769.3,14.94,14.94,62.45,12.9,1.83,9.42,0.9,22.11,418.5,217.3,3484.9,2251.8,542.4,2.42,1.26,-0.92,2.71,0.22,1.48
Arvind Ltd,500101.0,ARVIND,INE034A01011,Textiles & Apparels,Garments & Apparels,496.0,61.91,13002.16,9303.19,1004.42,10.8,10.8,30.52,3.25,4.97,5.21,0.41,10.88,548.16,45.8,1443.79,1972.82,2173.53,5.39,0.74,-0.41,2.14,0.75,3.66
Aster DM Health.,540975.0,ASTERDM,INE914M01019,Healthcare Services,Hospital,814.95,73.48,42224.35,4643.22,864.03,18.61,18.61,103.52,9.34,-79.02,6.11,0.49,10.7,968.63,92.89,307.23,481.51,91.16,1.68,1.45,-1.28,3.06,0.61,3.89
Astra Microwave,532493.0,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1443.8,64.96,13708.09,1162.8,333.76,28.7,28.7,71.06,10.45,1.76,10.05,0.22,15.99,1102.22,26.29,687.64,113.51,616.35,2.38,0.67,1.3,0.91,0.16,2.37
Avalon Tech,543896.0,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,1684.45,61.84,11250.12,1603.21,173.34,10.81,10.81,99.65,15.53,3.43,9.81,0.3,16.94,521.51,28.92,381.27,251.27,463.29,1.59,0.77,-1.14,1.26,0.0,0.56
Axis Bank,532215.0,AXISBANK,INE238A01034,Banks,Private Sector Bank,1355.55,60.1,421583.72,132538.24,76694.75,57.87,57.87,16.01,1.93,0.46,1.47,7.56,13.17,94565.22,29673.71,0.0,0.0,0.0,5.47,0.7,-0.54,15.18,0.08,4.42
Axis Solution,511144.0,,INE520G01024,IT - Software,Computers - Software & Consulting,336.65,82.63,1591.02,238.38,45.08,18.91,18.91,54.75,11.02,1.3,12.11,0.56,22.18,98.9,0.49,136.05,32.24,37.53,2.64,0.0,0.0,1.85,0.15,0.0
Bagmane Prime REIT,544758.0,BAGMANE,INE2OVN25015,Realty,Real Estate Investment Trusts (REITs),103.3,44.63,35122.0,2370.75,1886.54,79.58,79.58,39.17,,,12.76,2.37,63.66,-1284.76,20.13,50.99,60.46,0.0,4.49,,,2.17,0.0,1.53
Bajaj Consumer,533229.0,BAJAJCON,INE933K01021,Personal Products,Personal Care,594.8,59.24,7769.23,1164.71,220.92,18.97,18.97,40.81,10.29,3.65,20.6,0.02,25.31,433.51,27.41,75.62,42.45,66.12,3.16,-1.48,6.89,0.07,0.0,0.04
Bank of Maha,532525.0,MAHABANK,INE457A01014,Banks,Public Sector Bank,87.29,61.12,67139.6,29281.74,19438.41,66.38,66.38,9.59,2.01,0.24,1.76,11.61,22.65,25449.18,3538.2,0.0,952.69,0.0,5.34,0.43,0.63,17.05,2.61,0.35
Belrise Industri,544405.0,BELRISE,INE894V01022,Auto Components,Auto Components & Equipments,228.0,53.52,20289.21,7528.33,1052.69,13.98,13.98,42.16,3.93,1.95,6.7,0.24,12.59,2133.99,89.95,1239.49,1188.05,852.88,4.01,0.89,-0.04,1.54,0.24,3.59
Bharat Forge,500493.0,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1946.0,55.4,93036.11,16811.65,2917.21,17.35,17.35,78.81,9.64,2.23,5.64,0.76,12.53,1621.42,44.24,3909.8,2995.66,4052.78,2.16,-1.46,1.75,3.41,0.43,4.79
Bio Medica Lab,,BMLL,INE1BKA01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,134.55,,169.17,38.2,15.37,40.24,40.24,17.28,,,33.39,1.02,99.54,14.1,0.13,4.1,4.28,18.14,8.79,,,1.04,0.0,1.03
Bliss GVS Pharma,506197.0,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,440.15,71.77,4656.31,927.11,164.04,17.69,17.69,35.62,3.91,1.57,9.76,0.02,11.65,710.8,71.04,517.19,104.21,150.73,4.56,-0.74,-4.09,0.11,0.11,4.89
Blue Water,,BLUEWATER,INE0X3M01010,Transport Services,Logistics Solution Provider,313.75,64.49,345.13,386.02,43.98,11.39,11.39,13.68,4.26,0.09,16.17,1.33,49.8,67.46,0.31,141.43,34.73,0.0,9.14,0.29,-0.23,2.79,0.0,0.4
Caplin Point Lab,524742.0,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2422.0,81.0,18410.07,2187.19,760.85,34.79,34.79,28.71,5.2,1.47,17.92,0.0,20.62,2199.72,115.58,825.81,296.03,428.86,4.7,0.09,-0.43,0.01,0.26,0.08
Capri Global,531595.0,CGCL,INE180C01042,Finance,Non Banking Financial Company (NBFC),207.95,57.94,20007.93,4731.14,3085.9,65.23,65.23,21.1,2.75,0.32,3.55,3.35,16.5,1359.73,10.87,32.67,127.11,0.0,7.26,-0.02,1.12,8.07,0.1,2.83
Carysil,524091.0,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,1180.4,64.6,3357.39,923.95,177.17,19.18,19.18,33.88,5.54,1.43,9.85,0.45,17.45,159.64,11.99,160.74,101.59,259.11,4.28,0.39,0.04,1.82,0.21,3.5
Cash UR Drive,,CUDML,INE0WL201014,Media,Advertising & Media Agencies,182.7,73.17,322.39,186.67,33.57,17.98,17.98,10.97,2.36,0.14,19.78,0.01,30.57,90.29,5.71,74.82,58.52,0.0,13.41,0.01,-0.76,0.03,0.0,4.35
Ceigall India,544223.0,CEIGALL,INE0AG901020,Construction,Civil Construction,374.5,62.28,6523.98,4022.4,585.43,14.55,14.55,20.92,3.1,0.88,6.32,0.61,15.71,1064.19,54.26,635.7,1471.3,99.2,7.83,0.29,0.24,2.27,0.0,3.12
Centum Electron,517544.0,CENTUM,INE320B01020,Industrial Manufacturing,Industrial Products,3582.8,58.53,5287.89,952.75,135.44,14.22,14.22,52.51,15.33,0.45,7.92,0.36,26.91,151.95,-136.7,299.67,252.98,456.21,2.63,1.56,-0.02,0.94,0.18,3.53
CG Power & Ind,500093.0,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,915.15,57.03,144132.32,12417.95,1625.29,13.09,13.09,117.17,18.07,11.39,12.17,0.01,20.82,3804.26,210.65,2923.99,2468.44,1583.91,1.19,0.49,0.01,0.07,0.14,3.89
Concord Control,543619.0,,INE0N0J01014,Industrial Manufacturing,Industrial Products,2949.0,50.62,3062.06,210.47,59.27,28.16,28.16,72.16,14.63,0.74,18.15,0.26,25.84,148.15,3.26,121.19,42.04,88.59,2.06,0.4,0.05,0.92,0.0,3.94
Cryogenic OGS,544440.0,,INE0TL001013,Industrial Manufacturing,Industrial Products,274.6,74.4,392.12,40.82,11.33,27.76,27.76,42.34,7.16,1.28,18.41,0.15,22.14,43.0,2.85,4.8,2.52,7.98,3.54,-1.86,-1.51,0.67,0.0,0.0
Cupid,530843.0,CUPID,INE509F01029,Personal Products,Personal Care,159.95,82.59,21507.77,391.4,150.43,38.43,38.43,198.67,47.54,3.88,23.39,0.13,27.3,302.62,0.0,100.79,30.5,70.04,0.7,-0.13,-0.47,0.39,0.0,0.03
Data Pattern,543428.0,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4545.3,54.56,25446.45,924.77,373.99,40.44,40.44,93.01,14.66,3.06,14.52,0.0,16.87,1327.77,24.95,727.77,76.8,273.89,1.62,1.41,0.93,0.01,0.19,3.76
Dharni Capital,543753.0,,INE0M9Q01011,Capital Markets,Financial Products Distributor,65.1,77.13,132.61,9.55,3.22,33.72,33.72,28.4,5.13,0.49,17.13,0.15,19.88,-3.14,2.97,0.48,0.01,0.0,4.34,0.0,0.0,0.64,0.0,1.06
Dhruva Cap.Serv.,531237.0,,INE972E01014,Finance,Non Banking Financial Company (NBFC),435.0,75.08,312.79,3.11,1.93,62.06,62.06,121.7,10.13,0.49,7.72,0.41,12.27,-2.17,1.31,0.0,0.03,0.0,1.2,0.0,0.0,3.27,0.0,2.36
Elgi Equipments,522074.0,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",603.6,58.32,19128.64,3950.7,579.1,14.66,14.66,43.34,8.6,2.78,13.41,0.24,21.54,1294.3,109.5,723.9,459.6,710.7,3.33,1.0,-0.91,0.86,0.45,4.79
Emmvee Photovol.,544608.0,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,343.65,61.88,23792.44,5049.88,1734.37,34.34,34.34,21.98,6.51,0.06,22.33,0.1,51.12,1575.0,53.52,695.02,882.13,1710.55,6.7,-0.22,-1.52,0.24,0.0,0.56
Federal Bank,500469.0,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,315.2,66.38,77757.9,29674.1,19036.67,64.15,64.15,17.9,1.93,1.61,1.18,8.66,11.65,32416.19,4598.32,0.0,0.0,0.0,5.8,-0.71,1.11,14.67,0.38,0.97
Garware Hi Tech,500655.0,GRWRHITECH,INE291A01017,Industrial Products,Plastic Products - Industrial,6151.0,68.21,14290.29,2120.11,434.71,20.5,20.5,42.27,5.4,1.54,11.88,0.01,13.45,1003.67,64.84,53.08,180.83,389.25,3.16,-0.07,0.02,0.03,0.19,2.82
