Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,1015.30,58.76,121966.23,25619.95,7466.81,29.14,29.73,54.08,5.22,2.14,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.90,3.08,-2.79,7.19,3.30
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1487.10,47.54,342621.76,34745.59,20643.43,59.41,59.53,28.55,4.79,1.04,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.58,-1.05,-0.77,3.19,4.00
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3884.30,56.90,36248.43,4309.96,1187.95,27.56,26.91,32.17,4.92,1.68,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.98,0.16,-0.34,0.70,2.88
Apis India,506166,,Food Products,Other Food Products,71.20,100.00,980.79,365.95,37.48,10.24,10.21,42.66,6.34,0.87,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.43,0.00,0.00,1.32,0.00
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,155.00,63.55,262.26,83.08,16.00,19.26,18.14,24.88,7.07,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.32,0.00,0.00,2.25,3.73
Ascom Leasing &,,ASCOM,Finance,Non Banking Financial Company (NBFC),121.00,67.08,141.74,13.29,7.82,58.84,58.51,27.31,2.70,16.26,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,5.45,0.00,0.00,0.49,3.20
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,894.95,80.08,8549.11,3728.75,531.43,14.25,13.78,21.46,5.99,0.36,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.51,0.09,1.60,2.36,2.23
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,174.68,71.16,102604.49,50976.16,9941.54,19.50,18.97,30.69,8.15,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.08,-0.29,0.47,5.90,2.03
AU Small Finance,540611,AUBANK,Banks,Other Bank,974.95,60.28,72822.14,17273.80,8933.99,51.72,53.37,33.50,4.01,1.45,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.63,3.05,-3.18,12.07,3.25
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,86.43,99.51,408.47,211.79,26.18,12.36,18.43,17.52,3.33,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.89,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9064.50,52.37,253350.82,54683.29,10730.21,19.62,18.74,30.41,7.41,2.93,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.46,0.77,-0.64,1.63,4.48
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,179.39,69.25,15963.54,9056.86,1114.49,12.31,12.32,35.06,3.21,3.29,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.10,-3.12,0.89,1.64,2.21
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1443.80,60.32,69026.44,15268.83,2695.80,17.66,17.80,63.86,7.37,80.84,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.66,0.85,-0.75,3.35,1.82
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2105.40,51.65,1266819.83,194613.50,109005.50,56.01,49.17,39.34,10.19,0.47,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.35,0.31,0.70,3.28,3.19
Brahmaputra Inf.,535693,,Construction,Civil Construction,132.20,74.63,383.62,318.45,80.78,25.37,19.94,7.35,1.22,0.11,4.19,0.53,10.95,52.11,0.00,20.29,51.32,94.51,14.99,0.00,0.00,2.09,0.60
Britannia Inds.,500825,BRITANNIA,Food Products,Packaged Foods,6032.50,55.76,145303.80,18487.65,3346.82,18.10,17.70,62.72,38.92,4.85,24.52,0.59,52.94,-293.48,234.60,497.27,1882.31,2199.63,2.21,0.74,-0.56,0.68,4.80
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,925.35,56.94,12321.42,4054.47,3728.00,91.95,92.25,13.37,2.26,0.61,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.72,-0.65,0.42,9.72,4.75
Canara Bank,532483,CANBK,Banks,Public Sector Bank,150.07,58.34,136123.26,125841.25,76573.02,60.85,62.10,7.11,1.18,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.64,0.82,0.51,14.47,2.68
Choice Intl.,531358,CHOICEIN,Finance,Holding Company,822.50,63.07,18323.37,971.39,328.59,33.83,32.07,101.05,13.82,2.26,7.36,0.40,19.61,854.99,17.18,280.83,13.67,26.40,1.81,0.03,-1.83,1.46,2.20
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,Non Banking Financial Company (NBFC),1698.00,50.90,143286.32,28536.73,19741.86,69.18,70.32,30.85,5.51,1.21,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.20,1.22,-1.11,9.44,4.71
City Union Bank,532210,CUB,Banks,Private Sector Bank,292.35,66.41,21695.24,6269.92,4325.87,68.99,70.59,17.95,2.18,1.29,1.51,7.22,12.58,7007.20,982.62,0.00,0.00,0.00,6.00,1.52,-1.42,13.50,2.50
Coal India,533278,COALINDIA,Consumable Fuels,Coal,402.15,72.39,247834.12,140712.05,43344.96,30.80,32.83,7.94,2.35,0.30,14.25,0.13,38.89,48598.10,10429.96,14420.39,9839.56,11532.25,19.00,0.14,-0.20,0.32,3.62
Connplex Cinemas,,CONNPLEX,Entertainment,"Film Production, Distribution & Exhibition",266.80,60.52,509.59,118.98,31.30,26.31,27.49,22.72,4.20,0.13,37.97,0.01,123.94,39.65,0.89,22.56,8.90,13.73,6.00,,,0.06,2.09
Cupid,530843,CUPID,Personal Products,Personal Care,479.50,90.29,12873.00,266.82,89.44,33.52,23.22,208.54,33.77,5.79,11.99,0.07,12.89,301.97,0.00,89.65,15.97,42.64,0.66,0.24,1.63,0.32,0.09
E Factor Experie,,EFACTOR,Other Consumer Services,Other Consumer Services,340.00,57.26,445.00,206.01,33.90,16.46,15.70,17.81,5.84,0.18,15.61,0.28,31.98,65.55,2.13,93.53,25.77,0.00,7.67,-0.31,0.08,0.61,2.30
Eicher Motors,505200,EICHERMOT,Automobiles,2/3 Wheelers,7324.00,62.17,200896.76,21427.66,5173.56,24.14,25.03,39.34,9.10,0.95,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.27,-1.05,1.16,0.07,0.52
Encompass Design,,ENCOMPAS,Commercial Services & Supplies,Trading & Distributors,220.05,,312.11,54.65,16.87,30.87,30.87,28.93,,,28.15,0.42,50.24,19.73,0.36,9.89,3.34,15.93,4.70,,,1.06,3.49
Federal Bank,500469,FEDERALBNK,Banks,Private Sector Bank,262.00,59.35,64503.57,28739.84,19099.94,66.46,69.68,16.35,1.78,0.58,1.25,8.71,12.86,26370.05,4248.26,0.00,0.00,0.00,6.40,1.54,-1.32,13.53,3.36
