Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals,350.25,840.22,277.91,47.08,16.94,15.84,24.23,3.37,0.31,15.26,0.00,18.44,124.13,6.04,52.77,13.87,52.08,6.13,0.41,-0.01,0.02,2.98
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1498.10,323610.42,34745.59,20643.43,59.41,59.53,26.96,4.82,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.81,-0.12,0.08,3.19,3.29
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,358.95,93893.04,41693.04,15151.78,36.34,35.13,28.78,2.91,1.18,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.31,0.76,-0.37,10.16,2.71
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5598.50,66938.47,13890.16,2810.50,20.23,19.38,28.48,5.02,3.06,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.30,0.13,0.36,0.81,4.59
Apis India,506166,,Food Products,Other Food Products,50.80,699.78,365.95,37.48,10.24,10.21,30.44,4.53,0.62,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,4.73,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,167.50,114.91,24.56,4.85,19.75,19.75,32.46,5.30,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.28,,,1.74,0.50
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,158.01,92812.78,50976.16,9941.54,19.50,18.97,27.76,7.38,0.10,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.50,-0.29,0.47,5.90,3.95
AU Small Finance,540611,AUBANK,Banks,Other Bank,993.70,74195.61,17273.80,8933.99,51.72,53.37,34.13,4.09,1.48,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.60,3.05,-3.18,12.07,1.38
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects",686.00,1536.87,2.40,1.85,77.08,77.08,477.29,114.44,,9.77,1.48,148.05,30.24,2.20,2.11,3.61,38.98,0.20,0.00,0.00,6.50,3.91
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1278.60,396908.46,129272.60,77132.26,59.67,63.58,15.27,2.00,0.59,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.02,1.65,-1.92,13.49,1.95
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,78.40,370.52,211.79,26.18,12.36,18.43,15.89,3.02,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,6.43,0.00,0.00,1.83,0.00
BharatRohan Air.,544535,,Agricultural Food & other Products,Other Agricultural Products,159.75,318.27,46.97,11.16,23.76,28.40,29.44,3.89,0.19,30.04,0.05,36.10,79.03,0.05,23.47,1.88,13.71,3.70,,,0.36,2.59
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2067.00,1239357.18,194613.50,109005.50,56.01,49.17,38.49,10.01,0.46,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.44,0.31,0.70,3.28,4.95
