Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,Diversified,Diversified,36130.00,40718.51,4750.64,878.41,18.49,17.31,73.48,25.27,3.41,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.18,0.02,-0.41,0.12,2.35
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals,316.55,759.37,277.91,47.08,16.94,15.84,21.90,3.04,0.28,15.26,0.00,18.44,124.13,6.04,52.77,13.87,52.08,6.82,0.41,-0.01,0.02,2.30
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,1021.55,122717.03,25619.95,7466.81,29.14,29.73,54.41,5.56,2.15,3.37,1.83,13.64,1374.14,769.47,4217.86,2955.62,625.24,3.98,3.08,-2.79,6.35,2.71
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1507.60,325662.55,34745.59,20643.43,59.41,59.53,27.14,4.86,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.79,-0.12,0.08,3.19,1.05
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,334.80,87473.96,41693.04,15151.78,36.34,35.13,26.81,2.87,1.10,1.32,4.61,11.49,-95387.25,530.84,688.25,1318.24,0.00,6.95,0.76,-0.37,9.09,3.07
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3760.40,35468.23,4309.96,1187.95,27.56,26.91,31.47,4.81,1.64,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.07,0.16,-0.34,0.70,0.50
Aimtron,,AIMTRON,Industrial Manufacturing,Industrial Products,938.85,1916.55,224.08,49.39,22.04,20.36,55.17,9.63,,15.88,0.00,24.80,167.99,2.87,47.50,23.66,83.17,2.47,-1.15,-0.54,0.01,3.96
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5723.00,68427.05,13890.16,2810.50,20.23,19.38,29.11,5.13,3.13,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.20,0.13,0.36,0.81,2.47
Anand Rathi Shar,544530,ARSSBL,Capital Markets,Stockbroking & Allied,768.50,4820.44,843.57,311.42,36.92,36.92,48.52,3.69,1.82,3.50,0.93,23.04,1282.52,1.22,356.18,2551.26,0.00,11.02,,,4.23,0.84
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,150.11,797.86,120.29,32.55,27.06,27.06,29.28,3.72,0.06,13.27,0.27,40.45,225.62,0.16,107.45,16.56,56.53,3.73,,,1.87,0.88
