Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,36385.00,65.06,41005.90,4750.64,878.41,18.49,17.31,74.00,25.45,3.43,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.17,0.02,-0.41,0.12,2.67
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1044.90,61.95,125522.02,25619.95,7466.81,29.14,29.73,55.65,5.37,2.20,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.81,3.08,-2.79,7.19,2.14
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1493.00,51.97,343981.09,34745.59,20643.43,59.41,59.53,28.66,4.81,1.05,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.56,-1.05,-0.77,3.19,3.62
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,363.30,64.70,95085.24,41693.04,15151.78,36.34,35.13,29.14,2.95,1.19,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.28,1.85,-0.95,10.16,1.53
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,226.60,,153.47,53.36,10.31,19.32,19.32,25.16,,0.12,13.31,0.41,43.95,20.68,0.16,25.23,15.72,25.24,6.07,,,1.03,2.31
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4078.00,64.48,38056.05,4309.96,1187.95,27.56,26.91,33.77,5.17,1.76,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.79,0.16,-0.34,0.70,2.10
Apis India,506166,,INE070K01014,Food Products,Other Food Products,86.60,92.70,1192.93,365.95,37.48,10.24,10.21,51.89,7.72,1.06,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,2.85,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,188.60,78.81,129.38,24.56,4.85,19.75,19.75,36.55,5.96,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,3.78,,,1.74,0.00
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),130.00,79.57,152.28,13.29,7.82,58.84,58.51,29.34,2.91,17.46,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,5.07,0.00,0.00,0.49,0.00
Ashapura Minech.,527001,ASHAPURMIN,INE348A01023,Minerals & Mining,Industrial Minerals,900.50,73.58,8602.13,3728.75,531.43,14.25,13.78,21.59,6.03,0.36,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.47,0.09,1.60,2.36,2.54
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,187.76,79.59,110287.49,50976.16,9941.54,19.50,18.97,32.99,8.76,0.12,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.79,-0.29,0.47,5.90,2.11
Ashwini Contain.,,ASHWINI,INE1A6Q01010,Transport Services,Road Transport,147.45,,221.18,93.78,24.88,26.53,26.53,14.42,,0.11,12.12,2.46,72.05,17.02,1.94,34.52,6.19,0.00,6.18,,,4.11,2.99
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1014.95,72.98,75835.11,17273.80,8933.99,51.72,53.37,34.88,4.17,1.51,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.55,3.05,-3.18,12.07,1.15
Automotive Axles,505010,AUTOAXLES,INE449A01011,Auto Components,Auto Components & Equipments,1998.40,72.10,3019.58,2041.52,216.27,10.59,10.59,19.21,3.00,0.70,11.91,0.01,16.58,765.23,32.76,391.30,245.08,230.12,7.09,0.36,0.06,0.07,1.34
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1285.80,62.57,399251.37,129272.60,77132.26,59.67,63.58,15.36,2.01,0.60,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.02,1.65,-1.92,13.49,1.40
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,95.28,99.61,450.30,211.79,26.18,12.36,18.43,19.31,3.67,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.40,0.00,0.00,1.83,0.00
Bai-Kakaji Poly.,544670,,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer,182.55,,390.74,325.47,33.79,10.38,10.38,21.27,,0.33,12.18,2.03,41.23,-41.47,6.19,30.52,12.96,40.75,6.31,,,3.47,4.92
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9497.50,65.96,265453.07,54683.29,10730.21,19.62,18.74,31.87,7.76,3.07,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.27,0.77,-0.64,1.63,1.93
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,306.85,69.88,158683.25,131574.32,83732.48,63.64,64.41,8.25,1.00,0.22,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,5.99,0.14,0.63,15.69,1.62
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,149.89,66.30,68239.94,73784.35,53001.26,71.83,71.03,6.81,0.82,0.16,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.23,-0.34,0.71,15.56,1.71
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,64.03,74.42,49249.03,27237.84,17719.17,65.05,62.68,8.09,1.57,0.12,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.77,2.34,2.79,15.82,2.94
Belrise Industri,544405,BELRISE,INE894V01022,Auto Components,Auto Components & Equipments,184.66,70.02,16432.51,9056.86,1114.49,12.31,12.32,36.09,3.31,3.38,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,4.96,-3.12,0.89,1.64,2.86
Bharat Forge,500493,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1482.30,67.97,70867.08,15268.83,2695.80,17.66,17.80,65.56,7.57,82.99,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.60,0.85,-0.75,3.35,0.79
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,2105.00,51.49,1266619.21,194613.50,109005.50,56.01,49.17,39.34,10.19,0.47,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.36,0.31,0.70,3.28,3.21
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,313.35,66.25,834.93,333.78,74.02,22.18,21.77,16.32,3.40,0.09,27.85,0.18,60.33,77.69,5.72,23.19,10.09,25.91,7.60,-3.31,-0.97,0.65,3.05
Britannia Inds.,500825,BRITANNIA,INE216A01030,Food Products,Packaged Foods,6026.50,54.34,145159.28,18487.65,3346.82,18.10,17.70,62.65,38.88,4.85,24.52,0.59,52.94,-293.48,234.60,497.27,1882.31,2199.63,2.21,0.74,-0.56,0.68,4.90
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance,Housing Finance Company,942.60,60.52,12551.11,4054.47,3728.00,91.95,92.25,13.62,2.30,0.62,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.68,-0.65,0.42,9.72,2.97
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,154.23,63.98,139896.65,125841.25,76573.02,60.85,62.10,7.31,1.21,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.62,-1.76,2.72,14.47,2.39
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,842.65,65.23,18772.26,971.39,328.59,33.83,32.07,103.53,14.16,2.31,7.36,0.40,19.61,854.99,17.18,280.83,13.67,26.40,1.77,0.03,-1.83,1.46,2.07
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance,Non Banking Financial Company (NBFC),1772.40,61.27,149564.59,28536.73,19741.86,69.18,70.32,32.20,5.75,1.26,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.09,1.22,-1.11,9.44,0.93
City Union Bank,532210,CUB,INE491A01021,Banks,Private Sector Bank,290.65,60.41,21569.09,6269.92,4325.87,68.99,70.59,17.85,2.17,1.28,1.51,7.22,12.58,7007.20,982.62,0.00,0.00,0.00,6.01,1.52,-1.42,13.50,3.90
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,427.45,81.54,263425.82,140712.05,43344.96,30.80,32.83,8.44,2.50,0.32,14.25,0.13,38.89,48598.10,10429.96,14420.39,9839.56,11532.25,17.79,0.14,-0.20,0.32,2.12
Concord Control,543619,,INE0N0J01014,Industrial Manufacturing,Industrial Products,2760.00,70.00,2793.19,156.26,35.59,22.78,23.44,91.88,20.10,0.88,23.08,0.13,27.39,107.26,3.78,55.45,21.94,44.95,1.34,-0.20,0.00,0.49,2.82
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1467.10,68.72,8972.80,1196.42,240.68,20.12,20.12,56.52,,0.11,17.00,0.10,27.55,103.48,5.23,160.08,140.75,107.30,2.33,,,0.30,3.73
CSB Bank,542867,CSBBANK,INE679A01013,Banks,Private Sector Bank,557.45,88.50,9670.97,4050.37,2141.76,52.88,56.29,15.57,2.06,1.72,1.42,9.36,14.31,2946.14,1194.75,0.00,0.00,0.00,6.51,1.47,-1.14,13.18,3.00
E Factor Experie,,EFACTOR,INE0KFF01017,Other Consumer Services,Other Consumer Services,339.70,56.62,444.60,206.01,33.90,16.46,15.70,17.80,5.84,0.18,15.61,0.28,31.98,65.55,2.13,93.53,25.77,0.00,7.68,-0.31,0.08,0.61,2.39
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),4775.00,55.96,22753.05,3691.52,917.66,24.86,24.04,37.05,8.67,4.70,17.14,0.15,22.80,1852.07,93.85,550.93,78.57,0.25,3.83,-0.32,0.79,0.46,3.71
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7482.50,66.39,205244.41,21427.66,5173.56,24.14,25.03,40.19,9.29,0.97,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.20,-1.05,1.16,0.07,0.43
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1489.50,64.03,28236.83,8449.24,1656.41,19.60,18.60,35.21,5.95,32.01,8.98,0.35,18.51,1919.49,-5.85,2299.86,1725.44,2304.58,4.31,1.52,0.43,1.31,2.32
Encompass Design,,ENCOMPAS,INE433T01015,Commercial Services & Supplies,Trading & Distributors,247.05,74.50,350.40,54.65,16.87,30.87,30.87,32.47,,,28.15,0.42,50.24,19.73,0.36,9.89,3.34,15.93,4.20,,,1.06,4.98
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,263.75,57.04,64940.25,28739.84,19099.94,66.46,69.68,16.46,1.79,0.58,1.25,8.71,12.86,26370.05,4248.26,0.00,0.00,0.00,6.39,1.54,-1.32,13.53,2.71
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2349.10,56.81,6182.75,2606.80,351.42,13.48,13.30,27.58,5.72,0.95,15.29,0.06,20.99,546.09,24.32,330.82,284.54,248.38,5.06,1.54,2.51,0.20,3.92
Foce India,,FOCE,INE0I7D01019,Consumer Durables,"Gems, Jewellery And Watches",1998.00,63.44,977.61,128.75,17.62,13.69,17.71,73.23,11.55,4.49,11.08,0.50,20.11,8.74,0.59,67.52,20.62,38.52,1.75,0.00,0.00,2.38,0.30
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,21030.00,77.58,27709.68,8624.15,1246.78,14.46,13.61,33.78,7.90,0.34,11.53,0.00,20.82,1259.83,488.44,258.25,715.42,1237.56,3.89,-0.18,0.50,0.00,4.41
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,225.00,71.15,6894.25,1540.66,248.82,16.15,16.15,36.79,,0.48,19.26,1.38,49.14,94.20,9.42,109.77,165.80,621.71,3.16,,,3.04,2.60
GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services,Shipping,1125.90,57.07,16074.15,4903.16,2483.47,50.65,50.30,9.01,1.06,0.19,10.90,0.08,14.09,8111.23,689.51,429.16,297.08,267.73,17.45,0.73,0.24,0.60,4.64
Godrej Consumer,532424,GODREJCP,INE102D01028,Personal Products,Personal Care,1244.30,74.72,127322.32,14853.33,2943.05,19.81,20.99,67.63,10.47,42.27,9.93,0.34,15.21,-54.44,217.83,1805.22,2129.79,1770.02,2.29,1.18,-1.12,1.38,4.94
Granules India,532482,GRANULES,INE101D01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,605.25,58.92,14687.52,4842.21,1007.59,20.81,21.15,28.75,3.69,5.82,8.21,0.45,13.86,669.59,27.64,760.54,755.08,1488.29,4.85,-5.61,0.85,2.35,3.45
Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,1170.50,72.17,11041.08,1437.48,420.69,29.27,28.88,40.68,5.63,1.73,13.05,0.10,15.46,647.93,33.36,379.72,42.32,225.08,3.35,0.04,-0.14,0.52,1.94
