Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,178.25,1138.63,208.17,33.03,15.87,15.87,68.59,10.34,0.31,8.18,0.58,17.30,140.20,1.11,50.23,33.95,81.11,2.49,0.00,0.01,2.19,1.52
Aaron Industries,,AARON,,459.80,481.55,77.93,14.81,19.00,19.00,58.45,11.21,1.92,10.46,0.74,20.90,19.27,0.22,5.22,3.04,15.99,2.75,-0.09,0.00,2.41,0.58
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,940.05,8520.13,2115.07,464.37,21.96,21.96,31.33,4.28,1.02,9.93,0.21,14.54,963.01,10.12,575.40,277.83,587.58,4.35,0.27,-0.02,1.07,3.24
AGI Infra,539042,AGIIL,Realty,1063.50,2598.44,324.87,92.54,28.49,28.49,38.95,8.85,1.74,5.86,0.47,25.66,144.14,12.58,2.16,16.53,818.43,3.24,0.01,-0.44,1.58,1.89
Algoquant Fin,505725,,Finance,1215.00,1897.44,234.70,48.24,20.55,20.55,59.50,18.78,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.38,0.00,0.00,0.78,2.91
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1252.00,3064.09,780.15,125.28,16.06,16.06,36.72,14.14,0.03,24.19,0.36,48.07,180.11,2.86,123.75,109.93,102.39,3.82,0.01,0.19,0.66,3.17
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2602.50,21606.06,975.50,429.79,44.06,45.01,67.46,32.00,2.02,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,2.04,1.19,0.05,0.18,3.61
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,750.30,42137.55,1840.65,689.67,37.47,37.47,83.17,,10.89,19.63,0.05,22.99,1020.19,108.98,447.91,110.10,338.60,1.70,,,0.16,2.56
Apis India,506166,,Food Products,340.75,187.76,350.35,35.60,10.16,10.16,7.41,1.08,0.16,9.17,0.38,15.79,181.06,1.86,114.78,33.19,78.65,13.20,0.00,0.00,1.98,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7484.00,107608.49,21794.00,3021.80,13.87,13.87,74.39,13.12,3.80,8.05,0.96,19.09,3483.40,233.30,3016.10,2240.50,480.80,2.22,-0.95,0.75,3.15,1.98
Asahi India Glas,515030,ASAHIINDIA,Auto Components,838.00,20371.76,4594.48,766.13,16.68,16.68,59.16,7.60,84.51,5.61,1.01,13.72,722.98,66.46,441.77,1005.36,1119.40,2.63,0.15,-0.41,4.42,4.38
Asston Pharmaceu,544445,,Pharmaceuticals & Biotechnology,121.25,103.21,25.04,6.17,24.64,24.64,23.84,,0.10,21.37,1.07,67.76,11.46,0.57,16.15,5.81,1.44,6.33,,,1.03,3.77
Avishkar Infra,508929,,Realty,169.14,378.93,2.40,1.87,77.92,77.92,112.10,26.26,1.22,21.07,0.15,150.22,15.61,2.20,2.47,0.04,5.08,0.83,0.00,0.00,0.69,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,141.80,337.15,126.52,13.26,10.48,10.48,42.57,4.21,1.21,7.44,0.39,13.77,87.77,2.05,44.69,7.17,39.75,3.91,,,2.18,4.06
Belrise Industri,544405,BELRISE,Auto Components,130.50,11612.92,8290.82,1021.14,12.32,12.32,32.69,,3.10,5.36,1.10,14.11,2208.13,61.63,1591.13,1065.71,769.73,5.16,,,3.94,2.25
Bosch,500530,BOSCHLTD,Auto Components,37740.00,111308.98,18087.40,2309.70,12.77,12.77,55.31,8.09,3.02,10.70,0.01,15.55,4405.40,815.60,2365.00,2958.20,1942.30,2.47,-0.02,0.09,0.04,3.45
Cryogenic OGS,544440,,Industrial Manufacturing,139.00,198.51,32.89,7.96,24.20,24.20,32.52,,1.35,19.61,0.00,23.53,19.62,0.89,6.62,2.96,5.78,4.95,,,0.00,1.42
CSB Bank,542867,CSBBANK,Banks,426.00,7390.50,3597.14,1948.44,54.17,54.17,12.45,1.62,1.38,1.42,9.43,14.31,0.00,972.06,0.00,0.00,0.00,6.27,-2.26,2.30,14.52,1.85
Cupid,530843,CUPID,Personal Products,148.00,3973.38,203.18,61.43,30.23,30.23,97.12,11.59,2.74,11.83,0.06,12.72,274.46,0.00,67.03,1.25,41.67,1.46,0.00,-0.68,0.33,3.74
Dharni Capital,543753,,Capital Markets,54.85,111.73,6.52,2.60,39.88,39.88,29.02,5.28,,17.92,0.10,20.02,3.50,2.61,0.26,0.00,0.00,4.45,0.00,0.00,0.41,4.77
Exhicon Events,543895,,Other Consumer Services,540.95,701.21,143.51,35.12,24.47,24.47,26.97,6.25,0.33,24.62,0.00,26.63,65.77,2.99,34.57,9.57,2.58,5.09,-0.59,0.02,0.00,4.98
Federal-Mogul Go,505744,FMGOETZE,Auto Components,593.55,3301.89,1800.19,284.32,15.79,15.79,20.37,2.66,0.48,10.14,0.00,13.63,772.02,43.93,333.61,306.60,186.39,8.89,0.12,0.14,0.01,4.57
Fiem Industries,532768,FIEMIND,Auto Components,1986.05,5227.20,2422.61,322.19,13.30,13.30,25.81,4.98,0.89,15.29,0.02,20.99,492.25,19.87,242.35,230.53,233.48,5.46,1.46,1.69,0.08,3.36
Foce India,,FOCE,Consumer Durables,1980.00,968.80,104.25,18.35,17.60,17.60,67.28,12.29,4.12,11.08,0.38,20.11,36.19,0.39,57.66,17.89,3.14,1.85,0.00,0.00,1.63,0.00
Fortis Health.,532843,FORTIS,Healthcare Services,832.50,62850.23,7782.75,1587.95,20.40,20.40,74.80,7.00,2.43,6.67,0.28,10.13,27.83,-10.88,784.49,807.61,115.29,1.94,0.33,-0.22,1.94,2.06
Gallantt Ispat L,532726,GALLANTT,Industrial Products,635.65,15336.99,4292.73,694.43,16.18,16.18,38.30,5.41,1.21,11.99,0.13,15.14,1241.44,15.62,90.18,91.15,436.26,3.76,0.00,0.01,0.64,4.99
GE Vernova T&D,522275,GVT&D,Electrical Equipment,2457.80,62931.95,4292.30,818.70,19.07,19.07,103.44,35.54,1.28,14.76,0.02,40.34,896.21,62.59,1468.92,1025.89,703.52,1.30,-1.43,1.45,0.04,4.37
GHV Infra,505504,,Construction,1403.30,2022.86,184.88,24.93,13.48,13.48,117.95,47.51,0.34,15.49,0.73,82.12,15.11,0.00,133.56,128.97,13.24,1.24,0.00,0.00,1.24,0.00
Global Health,543654,MEDANTA,Healthcare Services,1320.50,35476.55,3692.32,877.07,23.75,23.75,68.41,10.47,1.79,11.46,0.21,16.48,1008.53,29.20,291.86,194.81,67.14,2.16,0.27,-0.22,0.94,2.18
GSM Foils,,GSMFOILS,Industrial Products,201.50,258.15,164.81,18.87,11.45,11.36,21.35,8.27,,23.72,0.57,45.66,43.74,0.08,33.77,7.36,18.86,6.63,0.00,0.00,0.96,3.03
GTV Engineering,539479,,Industrial Manufacturing,1386.20,433.03,102.77,16.17,15.73,15.73,39.19,9.16,0.24,15.02,0.24,26.42,35.66,0.18,14.05,5.37,7.74,3.50,0.00,0.16,0.74,3.96
Hawkins Cookers,508486,,Consumer Durables,9429.95,4988.42,1115.76,154.53,13.85,13.85,43.54,13.01,3.96,20.66,0.06,32.00,287.97,13.53,61.00,79.10,150.17,3.27,0.27,0.01,0.15,4.75
HDFC AMC,541729,HDFCAMC,Capital Markets,5534.50,118388.23,3690.55,2972.78,80.55,82.62,45.37,14.56,2.17,30.18,0.00,32.35,-141.31,619.81,133.18,39.56,0.00,2.97,-1.35,1.46,0.00,2.14
HDFC Bank,500180,HDFCBANK,Banks,2004.00,1536649.92,342193.10,136606.41,39.92,44.41,21.76,2.92,0.95,1.74,6.41,14.45,270754.86,144781.31,0.00,13653.91,0.00,5.91,0.09,0.54,11.89,1.65
Home First Finan,543259,HOMEFIRST,Finance,1443.00,14898.03,1539.08,1235.66,80.29,80.29,38.99,5.16,1.44,3.51,3.79,16.46,1019.31,0.13,5.55,16.09,0.00,5.25,2.07,1.19,7.83,4.69
ICICI Bank,532174,ICICIBANK,Banks,1478.00,1054822.33,190829.78,55519.60,29.09,28.78,20.01,3.41,0.75,2.18,5.97,17.97,0.00,111063.13,0.00,0.00,0.00,5.95,-0.86,0.94,11.17,4.65
Iconik Sports,511260,,Finance,58.03,196.38,12.71,3.48,27.38,27.38,75.53,3.08,0.42,9.49,0.00,15.03,6.37,0.00,11.40,4.75,0.00,1.81,-0.05,5.35,0.00,0.00
Indian Bank,532814,INDIANB,Banks,637.45,85862.19,63283.90,43060.82,68.04,68.06,7.49,1.24,0.19,1.35,10.89,17.09,36744.95,9788.23,0.00,1995.02,0.00,6.37,0.27,-0.20,14.52,3.21
Indo Borax & Ch.,524342,INDOBORAX,Chemicals & Petrochemicals,288.35,925.35,175.26,45.89,26.18,26.18,21.90,2.76,3.96,12.73,0.00,13.52,138.00,15.59,15.79,5.43,47.07,6.57,0.01,0.00,0.00,3.22
Indosolar,533257,WAAREEINDO,Electrical Equipment,268.83,1118.43,518.03,159.03,30.70,29.34,6.33,27.68,0.08,28.03,1.24,420.74,-14.88,2.60,4.66,82.93,74.43,10.94,0.05,0.01,0.40,0.00
InfoBeans Tech.,543644,INFOBEAN,IT - Software,566.30,1384.87,409.67,75.96,18.54,17.32,25.50,4.10,-2.37,9.84,0.06,12.37,125.31,22.74,86.43,3.42,0.00,5.19,0.00,-0.11,0.27,4.82
Interglobe Aviat,539448,INDIGO,Transport Services,5790.50,223815.46,80803.00,18006.20,22.28,22.28,30.81,24.11,0.67,7.33,7.21,129.08,28500.10,3306.80,739.80,4190.90,820.30,4.62,3.36,2.19,5.29,3.80
J K Cements,532644,JKCEMENT,Cement & Cement Products,6451.00,49845.81,12424.11,2228.54,17.94,17.12,54.40,8.18,12.51,5.11,0.99,13.87,1944.59,287.66,786.55,1098.07,1175.13,3.25,-1.45,1.42,3.32,3.57
Karnika Industri,,KARNIKA,Textiles & Apparels,706.95,876.59,172.55,26.03,15.09,15.09,48.63,12.33,0.83,13.14,0.85,29.05,114.80,3.73,74.57,20.96,50.01,3.06,0.00,0.01,2.10,2.22
Kilburn Engg.,522101,,Industrial Manufacturing,528.00,2557.56,424.46,101.00,23.79,23.79,41.06,5.28,,10.26,0.19,17.17,252.79,3.16,105.48,63.50,47.98,3.71,1.69,0.06,0.91,3.39
Krishana Phosch.,,KRISHANA,Fertilizers & Agrochemicals,523.90,3172.36,1473.01,206.25,14.00,13.54,31.53,8.28,0.73,9.20,0.98,25.29,425.26,13.27,378.44,166.68,148.90,5.38,0.00,1.33,1.99,3.71
Krishna Institu.,543308,KIMS,Healthcare Services,768.00,30730.60,3035.10,782.90,25.79,25.79,81.40,14.35,20.00,8.52,1.20,19.02,130.60,42.70,395.40,269.10,64.00,1.87,-0.30,0.10,4.01,3.91
Kwality Pharma,539997,,Pharmaceuticals & Biotechnology,1174.70,1218.88,370.20,80.39,21.72,21.72,30.59,4.63,-0.99,9.46,0.43,16.31,211.60,1.92,154.31,55.79,83.47,4.79,0.01,0.00,1.76,4.88
L&T Finance Ltd,533519,LTF,Finance,205.25,51265.53,16399.41,9927.89,60.54,60.41,19.24,2.03,0.42,2.37,3.61,10.79,9911.02,16.56,116.95,1371.70,0.00,7.31,0.82,0.71,9.43,4.45
M & M,500520,M&M,Automobiles,3243.20,403301.28,159210.82,30518.19,19.17,19.17,31.17,5.17,1.15,5.51,1.67,18.05,56375.77,3718.47,8279.70,30855.30,20330.93,5.48,-0.20,0.23,4.58,1.81
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,224.25,347.37,149.73,18.00,12.02,12.02,37.23,3.86,,3.37,1.18,10.95,102.19,6.07,1.90,29.24,74.90,5.28,0.00,0.19,5.07,0.00
Manorama Indust.,541974,MANORAMA,Food Products,1569.90,9358.80,770.84,191.05,24.78,24.78,83.55,20.23,1.25,13.02,1.04,28.05,756.72,18.56,101.73,14.31,549.04,1.90,-0.53,0.59,2.57,3.89
Max Healthcare,543220,MAXHEALTH,Healthcare Services,1280.90,124522.28,7028.46,1848.80,26.30,26.30,110.03,13.27,4.88,8.32,0.32,12.72,21.48,82.01,687.31,807.92,106.21,1.31,-0.18,0.02,1.83,2.54
Meghna Infracon,538668,,Realty,578.95,1257.69,39.88,11.34,28.44,28.44,136.16,57.26,,34.74,0.15,52.56,11.51,0.35,7.12,7.17,21.91,0.92,0.00,5.33,0.29,3.83
Monika Alcobev,544451,,Beverages,282.30,605.55,236.14,46.46,19.67,19.67,27.35,,0.21,8.19,1.81,28.63,250.14,3.53,101.88,24.18,149.42,6.40,,,3.67,2.64
Moving Media,,MMEL,Commercial Services & Supplies,82.00,154.20,37.06,28.63,77.25,77.25,14.83,,,16.34,1.05,40.74,23.38,0.00,14.78,6.40,0.00,8.13,,,2.64,2.26
MRF,500290,MRF,Auto Components,148800.00,63108.22,28152.50,4094.65,14.54,14.54,33.77,3.42,0.67,6.62,0.20,10.62,3664.83,405.67,3370.25,2822.00,5624.78,4.22,-0.56,1.13,1.33,2.75
