Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1509.40,326051.37,34745.59,20643.43,59.41,59.53,27.17,4.86,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.78,-0.12,0.08,3.19,2.56
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,358.75,93825.14,41693.04,15151.78,36.34,35.13,28.75,2.91,1.18,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.31,0.76,-0.37,10.16,0.55
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3765.80,35142.58,4309.96,1187.95,27.56,26.91,31.19,4.77,1.63,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.10,0.16,-0.34,0.70,3.93
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5675.50,67859.12,13890.16,2810.50,20.23,19.38,28.87,5.08,3.10,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.24,0.13,0.36,0.81,3.28
Apis India,506166,,Food Products,Other Food Products,46.11,635.17,365.95,37.48,10.24,10.21,27.63,4.11,0.56,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,5.18,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,162.50,111.48,24.56,4.85,19.75,19.75,31.49,5.14,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.42,,,1.74,3.47
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,155.00,262.26,83.08,16.00,19.26,18.14,24.88,7.07,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.32,0.00,0.00,2.25,3.73
Asahi India Glas,515030,ASAHIINDIA,Auto Components,Auto Components & Equipments,1027.10,26183.57,4684.11,752.02,16.05,16.67,91.29,7.08,380.38,5.50,0.77,13.61,1050.96,76.82,439.32,949.81,1169.23,2.00,3.38,1.13,5.07,4.37
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,160.86,94486.82,50976.16,9941.54,19.50,18.97,28.26,7.51,0.10,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.42,-0.29,0.47,5.90,2.21
Asian Paints,500820,ASIANPAINT,Consumer Durables,Paints,2968.50,284737.86,34378.17,6201.28,18.04,17.71,70.85,14.54,8.43,13.18,0.18,20.59,9711.65,598.81,4423.82,3375.26,6010.83,2.03,0.52,-0.21,0.61,0.58
AU Small Finance,540611,AUBANK,Banks,Other Bank,960.70,71731.63,17273.80,8933.99,51.72,53.37,33.00,3.95,1.43,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.66,3.05,-3.18,12.07,0.65
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects",692.90,1552.32,2.40,1.85,77.08,77.08,482.09,115.59,,9.77,1.48,148.05,30.24,2.20,2.11,3.61,38.98,0.20,0.00,0.00,6.50,2.95
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1282.50,398067.69,129272.60,77132.26,59.67,63.58,15.32,2.01,0.60,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.02,1.65,-1.92,13.49,1.65
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,74.67,352.89,211.79,26.18,12.36,18.43,15.13,2.88,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,6.72,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9109.00,254375.76,54683.29,10730.21,19.62,18.74,30.54,7.44,2.94,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.45,0.77,-0.64,1.63,4.01
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1048.00,652116.10,76194.74,52179.07,68.48,68.79,35.63,6.32,1.07,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,4.94,-0.13,0.26,7.75,4.94
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2096.50,334981.54,141479.18,53466.32,37.79,37.01,34.60,4.38,1.39,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.31,0.40,-0.29,7.51,4.49
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,292.60,151314.06,131574.32,83732.48,63.64,64.41,7.87,0.95,0.21,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.01,0.14,0.63,15.69,3.73
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1406.00,67219.26,15268.83,2695.80,17.66,17.80,62.19,7.18,78.72,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.73,0.85,-0.75,3.35,3.74
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2108.80,1264614.03,194613.50,109005.50,56.01,49.17,39.27,10.21,0.47,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.36,0.31,0.70,3.28,3.03
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,900.80,11994.52,4054.47,3728.00,91.95,92.25,13.02,2.20,0.59,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.77,-0.65,0.42,9.72,3.40
Canara Bank,532483,CANBK,Banks,Public Sector Bank,148.64,134826.16,125841.25,76573.02,60.85,62.10,7.04,1.17,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.64,0.82,0.51,14.47,3.61
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,Non Banking Financial Company (NBFC),1730.40,146005.08,28536.73,19741.86,69.18,70.32,31.43,5.61,1.23,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.15,1.22,-1.11,9.44,2.90
Cigniti Tech.,534758,CIGNITITEC,IT - Services,IT Enabled Services,1910.00,5261.47,2148.20,359.59,16.74,14.35,18.44,4.65,0.54,19.67,0.02,25.96,1011.10,54.93,489.60,150.90,0.00,7.56,-0.55,0.55,0.05,3.57
City Union Bank,532210,CUB,Banks,Private Sector Bank,271.85,20173.94,6269.92,4325.87,68.99,70.59,16.69,2.03,1.20,1.51,7.22,12.58,7007.20,982.62,0.00,0.00,0.00,6.10,1.52,-1.42,13.50,4.33
Coforge,532541,COFORGE,IT - Software,Computers - Software & Consulting,1977.90,66239.20,14342.30,2271.60,15.84,14.05,58.16,9.60,8.91,10.05,0.14,15.98,1638.20,191.80,3152.10,1226.50,0.00,2.76,2.55,-3.33,0.53,1.37
Cummins India,500480,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines",4468.90,123877.91,11643.62,2441.09,20.97,20.02,53.75,15.69,1.54,20.85,0.00,28.15,5023.17,777.90,2565.36,1524.44,1162.01,2.47,-0.80,0.85,0.01,2.30
Cupid,530843,CUPID,Personal Products,Personal Care,365.10,9801.74,266.82,89.44,33.52,23.22,158.78,25.71,4.41,11.99,0.07,12.89,301.97,0.00,89.65,15.97,42.64,0.88,0.24,1.63,0.32,2.63
E Factor Experie,,EFACTOR,Other Consumer Services,Other Consumer Services,344.90,451.41,206.01,33.90,16.46,15.70,18.07,5.93,0.19,15.61,0.28,31.98,65.55,2.13,93.53,25.77,0.00,7.56,-0.31,0.08,0.61,0.89
eClerx Services,532927,ECLERX,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),4832.20,23025.61,3691.52,917.66,24.86,24.04,37.49,8.77,4.75,17.14,0.15,22.80,1852.07,93.85,550.93,78.57,0.25,3.78,-0.32,0.79,0.46,2.56
Eicher Motors,505200,EICHERMOT,Automobiles,2/3 Wheelers,7208.00,197714.89,21427.66,5173.56,24.14,25.03,38.71,8.95,0.94,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.32,-1.05,1.16,0.07,1.09
Exato Technologies,544626,,,,279.30,281.13,124.23,14.21,11.44,11.44,28.80,,,13.04,0.75,28.16,30.41,1.93,33.70,13.51,3.75,5.54,,,2.04,0.00
Exhicon Events,543895,,Other Consumer Services,Other Consumer Services,549.35,766.87,183.49,49.71,27.09,24.55,20.66,4.81,0.25,24.62,0.05,26.63,78.91,0.58,38.49,10.66,2.64,6.27,-0.71,-0.15,0.19,3.88
Federal Bank,500469,FEDERALBNK,Banks,Private Sector Bank,259.20,63784.56,28739.84,19099.94,66.46,69.68,16.17,1.76,0.57,1.25,8.71,12.86,26370.05,4248.26,0.00,0.00,0.00,6.41,1.54,-1.32,13.53,1.07
Greenleaf Envi.,,GREENLEAF,Other Utilities,Waste Management,176.75,104.80,49.55,8.92,18.00,17.03,16.58,,0.15,22.43,0.48,44.61,13.52,0.11,25.56,11.29,5.18,8.08,,,0.84,1.61
HDFC Bank,500180,HDFCBANK,Banks,Private Sector Bank,1003.30,1543327.29,346185.22,147511.76,42.61,44.41,21.33,2.86,0.93,1.74,6.30,14.45,185784.94,137893.08,0.00,0.00,0.00,5.94,0.30,-0.46,11.90,1.69
Hero Motocorp,500182,HEROMOTOCO,Automobiles,2/3 Wheelers,6350.50,127061.83,42175.84,6035.64,14.31,14.15,24.05,6.05,1.01,15.62,0.03,23.06,8723.11,1831.42,4252.77,7620.41,2629.42,5.52,-1.45,1.71,0.10,0.62
