Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,Diversified,Diversified,35290.00,56.46,39771.83,4750.64,878.41,18.49,17.31,71.77,24.69,3.33,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.24,0.02,-0.41,0.12,4.62
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,1024.15,59.59,123029.36,25619.95,7466.81,29.14,29.73,54.55,5.26,2.16,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.87,3.08,-2.79,7.19,2.46
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3949.70,59.40,36858.75,4309.96,1187.95,27.56,26.91,32.71,5.00,1.71,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.91,0.16,-0.34,0.70,3.22
Apis India,506166,,Food Products,Other Food Products,78.45,100.00,1080.66,365.95,37.48,10.24,10.21,47.01,6.99,0.96,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.13,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,169.85,66.49,116.52,24.56,4.85,19.75,19.75,32.92,5.37,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.22,,,1.74,0.00
Asahi India Glas,515030,ASAHIINDIA,Auto Components,Auto Components & Equipments,1037.60,57.71,26451.25,4684.11,752.02,16.05,16.67,92.22,7.15,384.25,5.50,0.77,13.61,1050.96,76.82,439.32,949.81,1169.23,1.98,3.38,1.13,5.07,3.39
Ascom Leasing &,,ASCOM,Finance,Non Banking Financial Company (NBFC),124.10,72.00,145.37,13.29,7.82,58.84,58.51,28.01,2.77,16.67,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,5.31,0.00,0.00,0.49,0.72
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,887.35,77.43,8476.51,3728.75,531.43,14.25,13.78,21.28,5.94,0.35,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.55,0.09,1.60,2.36,3.34
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,178.63,74.98,104924.66,50976.16,9941.54,19.50,18.97,31.38,8.34,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.99,-0.29,0.47,5.90,0.74
AU Small Finance,540611,AUBANK,Banks,Other Bank,996.45,67.81,74428.05,17273.80,8933.99,51.72,53.37,34.24,4.10,1.48,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.59,3.05,-3.18,12.07,1.11
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1246.00,49.98,386881.87,129272.60,77132.26,59.67,63.58,14.89,1.95,0.58,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.06,1.65,-1.92,13.49,4.45
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,90.75,99.56,428.89,211.79,26.18,12.36,18.43,18.39,3.50,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.64,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9282.00,61.11,259429.89,54683.29,10730.21,19.62,18.74,31.14,7.59,3.00,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.37,0.77,-0.64,1.63,2.19
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,293.00,57.23,151520.91,131574.32,83732.48,63.64,64.41,7.88,0.95,0.21,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.01,0.14,0.63,15.69,3.60
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,60.51,64.51,46541.60,27237.84,17719.17,65.05,62.68,7.65,1.48,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.81,2.34,2.79,15.82,1.71
