Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,367.35,61.69,881.24,277.91,47.08,16.94,15.84,25.42,3.53,0.33,15.26,0.00,18.44,124.13,6.04,52.77,13.87,52.08,5.83,0.41,-0.01,0.02,2.82
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1033.50,57.72,124152.56,25619.95,7466.81,29.14,29.73,55.05,5.31,2.18,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.85,3.08,-2.79,7.19,3.20
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,361.10,61.53,94509.44,41693.04,15151.78,36.34,35.13,28.96,2.93,1.19,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.30,1.85,-0.95,10.16,2.22
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",296.25,67.16,3619.20,351.60,108.33,30.81,28.72,47.08,10.74,2.11,5.86,0.42,25.66,141.76,11.93,2.77,17.75,878.39,2.68,0.00,1.66,1.42,2.08
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,3989.20,57.37,37227.36,4309.96,1187.95,27.56,26.91,33.04,5.05,1.72,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.88,0.16,-0.34,0.70,4.23
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5806.50,63.97,69425.42,13890.16,2810.50,20.23,19.38,29.54,5.20,3.18,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.14,0.13,0.36,0.81,1.05
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3166.10,70.38,26285.16,1030.39,463.14,44.95,45.01,76.53,32.51,2.29,32.68,0.10,45.33,475.56,46.65,41.11,0.25,0.00,1.83,0.33,0.66,0.17,4.75
Apis India,506166,,INE070K01014,Food Products,Other Food Products,95.40,94.24,1314.15,365.95,37.48,10.24,10.21,57.16,8.50,1.17,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,2.59,0.00,0.00,1.32,0.07
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,200.00,83.16,137.20,24.56,4.85,19.75,19.75,38.76,6.32,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,3.56,,,1.74,3.38
Arham Tech,,ARHAM,INE0L2Y01011,Consumer Durables,Consumer Electronics,158.55,67.11,268.27,83.08,16.00,19.26,18.14,25.45,7.23,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.22,0.00,0.00,2.25,1.52
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),134.00,81.68,156.97,13.29,7.82,58.84,58.51,30.24,2.99,18.00,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,4.92,0.00,0.00,0.49,0.59
