Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1494.30,50.02,322789.56,34745.59,20643.43,59.41,59.53,26.90,4.81,0.98,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.83,-1.05,-0.77,3.19,3.53
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3941.90,60.81,36785.96,4309.96,1187.95,27.56,26.91,32.64,4.99,1.70,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.92,0.16,-0.34,0.70,1.43
ANB Metal,,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products",370.00,67.77,437.89,151.68,22.56,14.87,10.78,34.16,5.13,0.18,12.68,0.30,45.92,77.21,0.14,73.48,33.72,46.54,4.83,,,1.18,0.27
Apis India,506166,,Food Products,Other Food Products,67.85,100.00,934.65,365.95,37.48,10.24,10.21,40.65,6.04,0.83,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.60,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,161.00,57.95,110.45,24.56,4.85,19.75,19.75,31.20,5.09,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.47,,,1.74,4.73
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,154.45,63.01,261.33,83.08,16.00,19.26,18.14,24.79,7.05,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.34,0.00,0.00,2.25,4.07
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,877.55,78.59,8382.89,3728.75,531.43,14.25,13.78,21.04,5.88,0.35,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.60,0.09,1.60,2.36,2.66
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,175.31,72.69,102974.54,50976.16,9941.54,19.50,18.97,30.80,8.18,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.07,-0.29,0.47,5.90,1.68
AU Small Finance,540611,AUBANK,Banks,Other Bank,974.05,59.93,72754.92,17273.80,8933.99,51.72,53.37,33.47,4.01,1.45,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.64,3.05,-3.18,12.07,3.33
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,86.43,99.51,408.47,211.79,26.18,12.36,18.43,17.52,3.33,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.89,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9170.00,57.85,256299.52,54683.29,10730.21,19.62,18.74,30.77,7.49,2.96,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.42,0.77,-0.64,1.63,3.37
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,290.55,54.59,150253.93,131574.32,83732.48,63.64,64.41,7.81,0.95,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.02,0.14,0.63,15.69,4.41
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,172.83,64.36,15379.78,9056.86,1114.49,12.31,12.32,33.78,3.09,3.17,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.28,-3.12,0.89,1.64,3.96
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1450.50,62.74,69346.76,15268.83,2695.80,17.66,17.80,64.15,7.41,81.20,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.65,0.85,-0.75,3.35,1.37
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2123.70,55.67,1277782.31,194613.50,109005.50,56.01,49.17,39.68,10.28,0.48,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.32,0.31,0.70,3.28,2.35
Brahmaputra Inf.,535693,,Construction,Civil Construction,125.00,68.78,362.73,318.45,80.78,25.37,19.94,6.95,1.15,0.10,4.19,0.53,10.95,52.11,0.00,20.29,51.32,94.51,15.61,0.00,0.00,2.09,4.58
