Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A.K.Capital Serv,530499.0,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1729.9,63.63,1141.73,571.92,399.51,69.85,69.85,10.35,1.08,1.3,2.68,2.95,10.94,832.75,1.09,6.86,3.61,0.0,9.4,0.0,0.0,7.91,2.19,3.84
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,475.7,64.2,1141.15,349.03,56.69,16.24,16.24,26.05,4.14,0.49,15.95,0.0,18.65,111.4,6.77,91.3,19.71,32.41,5.22,0.02,0.29,0.01,0.2,1.41
ACME Solar Hold.,544283.0,ACMESOLAR,INE622W01025,Power,Power Generation,351.6,77.93,21305.89,2023.38,1781.34,88.04,88.04,42.8,4.29,0.29,2.12,3.93,10.38,3765.58,486.38,332.95,15.27,17.37,5.08,0.18,-0.43,11.07,0.06,3.49
Acutaas Chemical,543349.0,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3311.65,74.19,27112.82,1339.37,480.39,35.87,35.87,76.07,16.34,1.23,20.17,0.02,24.05,650.46,41.59,362.56,153.91,231.32,1.8,-2.1,2.81,0.07,0.05,3.54
Adani Green,541450.0,ADANIGREEN,INE364U01010,Power,Power Generation,1491.65,71.57,245701.09,12928.0,10785.0,83.42,83.42,134.19,12.17,7.74,1.74,5.19,11.4,-10316.0,1072.0,2129.0,407.0,136.0,2.48,0.25,-0.32,11.87,0.0,2.67
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1800.0,63.82,414712.63,38735.77,22868.19,59.04,59.04,31.96,4.34,1.17,8.17,0.66,16.38,4959.83,2151.73,6382.54,2736.24,685.0,4.14,-0.03,0.15,3.23,0.41,2.34
AIA Engineering,532683.0,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4545.5,78.16,42418.75,4419.86,1256.29,28.42,28.42,33.3,5.24,4.96,15.53,0.0,17.02,6724.42,484.69,1168.61,219.52,1256.27,3.79,-0.23,0.22,0.01,0.35,4.9
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,696.85,75.54,435.91,105.92,20.93,19.76,19.76,31.42,6.0,0.68,14.62,0.16,21.11,42.4,0.66,35.89,13.76,10.2,4.83,-1.01,0.0,0.57,0.0,0.11
Antelopus Selan,530075.0,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,890.0,72.56,3129.36,278.88,158.6,56.87,56.87,34.9,4.77,0.82,12.8,0.01,15.93,116.98,8.89,67.21,8.33,40.83,3.86,0.02,0.03,0.03,0.0,4.75
Apollo Hospitals,508869.0,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8354.0,61.64,120117.71,25228.5,3769.3,14.94,14.94,61.44,12.7,1.8,9.42,0.9,22.11,418.5,217.3,3484.9,2251.8,542.4,2.47,1.26,-0.92,2.71,0.23,1.61
