Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,165.79,1063.85,208.17,33.03,15.87,15.87,64.09,9.59,1.61,8.18,0.58,17.30,140.20,1.11,0.13
AGI Infra,539042,AGIIL,Realty,991.10,2417.02,324.87,92.54,28.49,28.49,36.25,8.21,1.05,5.86,0.47,25.66,144.14,12.58,3.02
Aluwind Infra,,ALUWIND,Industrial Products,85.00,211.20,109.22,11.98,10.97,10.97,26.01,3.54,0.38,9.35,0.22,19.27,60.79,1.30,4.28
Arih.Found.Hsg.,531381,,Realty,1447.65,1442.67,206.44,64.36,31.18,31.18,33.79,4.64,0.89,8.34,0.42,17.00,250.70,15.35,4.34
Aryaman Capital,538716,,Finance,319.95,383.21,74.59,27.89,37.39,37.39,16.71,4.95,0.08,22.15,0.36,38.69,62.22,2.75,4.18
Aryaman Fin.Serv,530245,,Finance,728.80,851.38,112.87,52.67,46.66,46.66,26.98,6.61,0.26,23.47,0.22,31.30,116.80,5.23,0.01
Asahi India Glas,515030,ASAHIINDIA,Auto Components,830.55,20180.66,4594.48,766.13,16.68,16.68,58.58,7.56,3.17,5.61,1.01,13.72,722.98,66.46,1.36
Asarfi Hospital,543943,,Healthcare Services,141.00,277.45,120.57,23.84,19.77,19.77,25.27,3.41,0.76,6.90,0.60,14.46,32.10,7.57,3.29
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,145.85,153.30,80.16,11.95,14.91,14.91,40.24,,,5.25,3.54,37.84,28.86,0.10,3.41
Avishkar Infra,508929,,Realty,85.37,191.26,2.40,1.87,77.92,77.92,56.58,13.25,1.32,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1424.70,6046.89,1030.72,142.42,13.82,13.82,77.72,9.33,3.67,6.91,0.39,12.61,449.36,16.99,4.87
