Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,171.24,1093.86,208.17,33.03,15.87,15.87,65.90,9.91,0.30,8.18,0.58,17.30,140.20,1.11,2.15
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,516.35,22309.38,3107.63,2371.26,76.30,76.30,24.46,3.50,0.90,4.31,2.56,16.86,1607.27,1.01,1.77
Aakaar Medical,,AAKAAR,Personal Products,101.35,143.64,61.58,9.74,15.82,15.82,23.78,,0.43,13.71,0.98,33.80,44.63,0.18,3.48
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,950.70,8616.63,2115.07,464.37,21.96,21.96,31.63,4.33,1.03,9.93,0.21,14.54,963.01,10.12,2.14
Aditya AMC,543374,ABSLAMC,Capital Markets,885.80,25566.53,1982.28,1286.65,64.91,64.91,27.47,6.86,2.41,24.44,0.02,26.99,75.86,3.54,2.87
Aditya Birla Cap,540691,ABCAPITAL,Finance,271.05,70758.51,40589.98,14232.65,35.06,35.06,21.41,2.33,0.83,1.32,4.61,11.55,-57973.25,578.57,4.10
AGI Infra,539042,AGIIL,Realty,1037.70,2535.46,324.87,92.54,28.49,28.49,38.03,8.60,1.70,5.86,0.47,25.66,144.14,12.58,4.27
Algoquant Fin,505725,,Finance,1231.50,1923.17,234.70,48.24,20.55,20.55,60.31,19.05,,12.27,0.34,37.55,74.85,0.04,1.59
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2624.00,21784.61,975.50,429.79,44.06,45.01,68.03,32.32,2.03,32.68,0.12,45.33,342.77,43.99,2.53
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,730.35,41017.19,1840.65,689.01,37.43,37.43,81.03,,10.63,21.78,0.09,26.19,786.71,109.44,2.23
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.15,9.17,0.38,15.79,181.06,1.86,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7254.50,104308.58,21794.00,3021.80,13.87,13.87,72.14,12.70,3.69,8.05,0.96,19.09,3483.40,233.30,4.98
Arkade,544261,ARKADE,Realty,206.76,3838.78,683.10,206.09,30.17,30.17,24.46,4.34,0.51,17.19,0.13,26.00,955.74,11.98,3.24
Aryaman Fin.Serv,530245,,Finance,714.70,834.91,112.87,52.67,46.66,46.66,26.45,6.48,0.30,23.47,0.22,31.30,116.80,5.23,1.96
Asahi India Glas,515030,ASAHIINDIA,Auto Components,833.55,20263.60,4594.48,766.13,16.68,16.68,58.82,7.59,84.03,5.61,1.01,13.72,722.98,66.46,4.89
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,560.85,5357.58,2738.93,369.99,13.51,13.51,18.53,4.31,0.31,7.98,0.94,26.62,697.96,74.89,4.47
ASM Technologies,526433,,IT - Software,3120.05,3673.01,288.81,47.20,16.34,16.34,145.47,22.24,6.56,9.62,0.52,16.47,149.13,8.55,2.50
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,178.05,187.15,97.52,15.12,15.50,15.50,34.98,,0.20,6.61,3.54,44.66,28.86,0.19,3.18
