Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,999.35,53.29,120050.18,25619.95,7466.81,29.14,29.73,53.23,5.13,2.11,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.94,3.08,-2.79,7.19,4.82
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3834.80,53.71,35786.50,4309.96,1187.95,27.56,26.91,31.76,4.86,1.66,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.03,0.16,-0.34,0.70,4.12
Apis India,506166,,Food Products,Other Food Products,74.75,100.00,1029.70,365.95,37.48,10.24,10.21,44.79,6.66,0.91,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.28,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,168.00,64.86,115.25,24.56,4.85,19.75,19.75,32.56,5.31,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.27,,,1.74,0.59
Ascom Leasing &,,ASCOM,Finance,Non Banking Financial Company (NBFC),124.00,71.86,145.26,13.29,7.82,58.84,58.51,27.99,2.77,16.66,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,5.32,0.00,0.00,0.49,0.80
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,891.95,79.06,8520.45,3728.75,531.43,14.25,13.78,21.39,5.97,0.36,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.52,0.09,1.60,2.36,2.84
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,174.92,71.41,102745.46,50976.16,9941.54,19.50,18.97,30.73,8.16,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.07,-0.29,0.47,5.90,1.90
AU Small Finance,540611,AUBANK,Banks,Other Bank,986.65,64.63,73696.05,17273.80,8933.99,51.72,53.37,33.90,4.06,1.47,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.61,3.05,-3.18,12.07,2.08
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,90.75,99.56,428.89,211.79,26.18,12.36,18.43,18.39,3.50,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.64,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9087.00,53.39,253979.69,54683.29,10730.21,19.62,18.74,30.49,7.43,2.94,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.45,0.77,-0.64,1.63,4.25
