Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,358.60,56.42,93860.05,41693.04,15151.78,36.34,35.13,28.77,2.91,1.18,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.31,1.85,-0.95,10.16,2.90
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5830.50,62.94,69712.37,13890.16,2810.50,20.23,19.38,29.66,5.22,3.19,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.13,-0.39,0.50,0.81,1.74
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,218.00,79.32,149.55,24.56,4.85,19.75,19.75,42.25,6.89,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,3.25,-2.80,-10.03,1.74,4.76
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),143.50,87.84,168.10,13.29,7.82,58.84,58.51,32.39,3.21,19.28,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,4.59,0.00,0.00,0.49,0.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,186.89,70.35,109776.47,50976.16,9941.54,19.50,18.97,32.84,8.72,0.12,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.81,-0.29,0.47,5.90,2.56
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,976.35,48.47,72950.99,17273.80,8933.99,51.72,53.37,33.56,4.01,1.45,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.63,3.05,-3.18,12.07,4.91
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),666.50,69.77,56600.88,3865.32,3616.75,93.57,89.63,14.09,3.49,0.17,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,6.19,0.09,6.17,0.77,2.49
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1298.80,61.49,403317.43,129272.60,77132.26,59.67,63.58,15.52,2.03,0.60,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.00,-0.22,0.69,13.49,0.73
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,100.04,99.66,472.79,211.79,26.18,12.36,18.43,20.27,3.86,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.16,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9579.50,60.61,267744.95,54683.29,10730.21,19.62,18.74,32.14,7.83,3.10,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.24,0.77,-0.64,1.63,3.12
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,307.70,64.16,159122.81,131574.32,83732.48,63.64,64.41,8.27,1.00,0.22,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,5.99,0.14,0.63,15.69,1.35
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,152.87,65.78,69596.63,73784.35,53001.26,71.83,71.03,6.95,0.83,0.16,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.22,-0.45,1.58,15.56,0.57
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,65.90,71.66,50687.35,28257.38,18659.70,66.03,62.68,7.83,1.52,0.11,1.64,10.54,22.81,9929.94,3584.64,0.00,0.00,0.00,5.67,3.44,2.57,15.82,2.76
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,417.60,62.00,305256.36,25152.11,7425.99,29.52,28.76,53.59,14.15,1.77,13.21,0.00,29.22,16495.15,698.26,10590.70,2907.66,10211.08,2.57,-0.41,0.37,0.01,4.22
Bharat Forge,500493,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1447.20,51.69,69188.99,15268.83,2695.80,17.66,17.80,64.01,7.39,81.03,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.65,1.97,-1.22,3.35,3.94
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,318.45,63.08,848.52,333.78,74.02,22.18,21.77,16.59,3.45,0.09,27.85,0.18,60.33,77.69,5.72,23.19,10.09,25.91,7.48,-3.31,-0.97,0.65,3.50
