Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2435.30,63.53,19938.07,1215.10,381.83,31.42,23.05,69.48,14.10,2.30,12.13,0.01,16.00,570.72,36.26,291.48,149.20,190.98,1.95,-0.89,-0.17,0.02,2.51
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1673.40,55.90,19712.33,3776.23,407.41,10.79,7.96,77.67,12.40,4.18,6.24,0.08,20.87,787.30,11.68,1053.91,1424.28,948.22,1.91,0.13,-0.07,0.34,4.87
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,252.09,62.40,3335.93,407.78,88.59,21.72,21.22,67.91,9.06,2.76,13.14,0.03,16.57,164.45,0.86,123.31,75.00,72.25,2.03,0.07,0.29,0.14,3.97
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",309.10,58.55,3863.67,347.69,117.58,33.82,28.72,46.05,11.21,2.06,5.86,0.42,25.66,141.76,11.34,2.77,17.75,878.39,2.74,0.00,3.00,1.30,4.13
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),231.30,75.05,270.95,13.29,7.82,58.84,58.51,52.21,5.17,31.08,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,2.84,0.00,0.00,0.49,4.80
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1209.80,68.96,9302.95,1515.38,267.07,17.62,15.56,59.57,11.84,0.66,16.64,0.46,40.80,531.17,12.16,210.70,337.95,384.95,2.90,0.31,0.21,1.35,0.00
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1281.60,58.32,74435.54,33181.86,6814.20,20.54,20.65,21.08,2.12,2.67,7.35,0.22,11.08,13147.96,486.96,5891.11,4750.60,11191.88,7.67,0.06,-0.26,1.39,2.89
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,197.60,99.94,933.86,220.50,31.00,14.06,18.43,34.01,7.62,0.06,21.00,0.40,39.84,80.42,1.53,72.82,29.40,60.94,3.17,0.00,0.00,1.58,0.00
Belrise Industri,544405,BELRISE,INE894V01022,Auto Components,Auto Components & Equipments,193.66,57.25,17233.40,9230.62,1139.62,12.35,12.32,35.81,3.47,3.36,5.35,0.29,14.09,2326.48,93.54,1709.59,1307.61,960.03,4.86,5.27,1.23,1.60,3.63
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1080.80,60.51,14431.70,4068.78,704.41,17.31,17.87,38.44,6.92,2.57,7.98,0.78,17.05,637.11,10.29,846.67,169.18,801.76,3.67,-0.30,0.49,2.82,2.19
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1539.70,56.56,29191.10,8850.09,1787.41,20.20,18.60,32.28,6.15,29.35,8.98,0.35,18.51,1919.49,-38.91,2299.86,1725.44,2304.58,4.59,1.74,0.30,1.19,2.89
Granules India,532482,GRANULES,INE101D01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,606.35,59.04,14714.22,5092.45,1085.39,21.31,21.15,27.08,3.69,5.48,8.21,0.45,13.86,669.59,18.32,760.54,755.08,1488.29,5.16,0.60,-0.30,2.20,3.36
GSP Crop Science,544733,GSPCROP,INE713R01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,356.25,,1657.23,1287.38,150.36,11.68,11.68,20.42,,8.51,7.35,0.61,19.79,251.21,14.39,645.33,481.49,345.10,7.17,,,2.31,2.13
