Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,262.95,57.93,645.57,235.84,87.89,37.27,27.9,12.82,2.48,0.04,8.81,1.34,15.56,64.95,6.04,93.33,19.29,0.0,8.2,-6.48,0.02,4.7,0.0,2.25
Acutaas Chemical,543349.0,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2999.1,67.99,24553.99,1339.37,480.39,35.87,35.87,68.93,14.82,1.11,20.17,0.02,24.05,650.46,41.59,362.56,153.91,231.32,2.08,-2.1,2.81,0.07,0.05,0.79
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1793.2,64.88,413145.96,38735.77,22851.41,58.99,58.99,31.82,4.4,1.17,8.13,0.66,16.39,6214.48,2168.51,6382.54,2736.24,685.0,4.25,-0.03,0.15,3.22,0.42,1.68
Admach Systems,544669.0,,INE0XLO01010,Industrial Manufacturing,Industrial Products,270.0,76.27,182.87,60.31,12.89,21.37,19.32,21.01,,0.1,13.31,0.26,43.95,21.93,0.36,12.97,8.01,27.9,6.74,-6.95,-1.77,0.55,0.0,4.37
Ajanta Pharma,532331.0,AJANTPHARM,INE031B01049,Pharmaceuticals & Biotechnology,Pharmaceuticals,3149.2,63.62,39344.76,5452.86,1394.83,25.58,25.58,37.3,8.67,1.76,19.1,0.06,25.39,2319.68,172.07,1853.88,544.3,938.54,3.48,-0.22,0.29,0.19,0.88,5.0
Amic Forging,544037.0,,INE0P9J01013,Industrial Products,Castings & Forgings,1746.95,65.17,2017.48,124.23,34.36,27.66,23.26,79.99,12.56,0.46,16.83,0.05,21.8,50.28,3.63,38.37,21.42,24.84,1.69,0.08,0.0,0.21,0.0,4.01
Anand Rathi Wea.,543415.0,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3595.6,51.41,29850.93,1207.77,572.13,47.37,47.37,76.24,29.1,2.34,34.03,0.08,45.3,627.41,0.05,41.39,0.13,0.0,1.86,-0.35,-0.88,0.15,0.37,3.73
Angel One,543235.0,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,339.7,61.98,30980.6,5136.61,1817.88,35.39,35.39,33.85,5.03,27.75,4.49,1.3,15.59,8087.75,15.63,434.45,9170.28,0.0,8.12,0.77,0.36,4.65,1.45,0.92
Apollo Hospitals,508869.0,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8313.0,63.02,119528.19,25228.5,3769.3,14.94,14.94,61.14,12.62,1.79,9.42,0.9,22.11,418.5,217.3,3484.9,2251.8,542.4,2.53,1.26,-0.92,2.71,0.24,0.79
Aptus Pharma,544529.0,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,182.0,74.38,312.14,46.57,7.45,16.0,16.0,67.57,13.41,0.36,14.12,0.31,30.47,15.93,0.13,18.76,8.15,13.57,2.22,0.0,0.0,1.0,0.0,2.54
Arvind Ltd,500101.0,ARVIND,INE034A01011,Textiles & Apparels,Garments & Apparels,490.15,79.92,12847.59,9303.19,1004.42,10.8,10.8,30.15,3.11,4.91,5.21,0.41,10.88,548.16,45.8,1443.79,1972.82,2173.53,5.45,0.74,-0.41,2.14,0.76,1.72
Aspira Pathlab,540788.0,,INE500C01017,Healthcare Services,Healthcare Service Provider,112.06,85.32,115.36,24.24,2.84,11.72,16.18,78.44,8.0,-3.53,13.03,0.22,33.63,3.94,0.51,3.71,1.02,0.66,1.65,0.0,0.0,1.71,0.0,0.0
Aster DM Health.,540975.0,ASTERDM,INE914M01019,Healthcare Services,Hospital,759.25,67.84,39338.36,4643.22,864.03,18.61,18.61,96.43,8.59,-73.61,6.11,0.49,10.7,968.63,92.89,307.23,481.51,91.16,1.79,1.45,-1.28,3.06,0.65,1.61
Astonea Labs,544409.0,,INE0TG901011,Pharmaceuticals & Biotechnology,Pharmaceuticals,198.0,74.43,208.1,97.38,15.29,15.7,15.7,44.86,3.9,0.25,5.81,0.73,35.35,42.48,0.19,56.43,24.79,26.34,4.68,-0.28,-2.51,3.58,0.0,0.0
Astra Microwave,532493.0,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1184.5,61.94,11246.16,1082.42,289.74,26.77,25.63,70.09,9.6,1.2,8.96,0.24,14.43,1005.39,31.23,609.9,74.7,617.61,2.53,0.67,1.3,1.0,0.19,0.95
Aurobindo Pharma,524804.0,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1546.45,72.25,89818.13,33181.86,6814.2,20.54,20.65,25.31,2.6,3.2,7.35,0.22,11.08,13147.96,486.96,5891.11,4750.6,11191.88,6.46,-1.84,1.29,1.39,0.26,0.23
Avalon Tech,543896.0,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,1461.8,74.3,9759.92,1603.21,173.34,10.81,10.81,86.4,13.5,2.98,9.81,0.3,16.94,521.51,28.92,381.27,251.27,463.29,1.7,0.77,-1.14,1.26,0.0,3.02
Avana Electrosystems,,AVANA,INE1KU201016,Electrical Equipment,Heavy Electrical Equipment,151.8,69.82,343.77,61.49,11.76,19.13,19.13,41.35,,0.24,18.99,0.26,47.11,19.4,1.45,21.19,9.27,14.71,3.69,,,0.46,0.0,2.69
Bajaj Auto,532977.0,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10669.3,60.76,298204.68,62905.0,13061.07,20.76,20.76,27.63,7.75,1.31,16.15,0.58,29.11,14713.65,2703.75,3473.44,8804.01,6294.49,4.86,0.28,-0.02,1.5,1.42,1.07
Bajaj Consumer,533229.0,BAJAJCON,INE933K01021,Personal Products,Personal Care,546.65,67.34,7140.22,1164.71,220.92,18.97,18.97,37.59,9.48,3.36,20.6,0.02,25.31,433.51,27.41,75.62,42.45,66.12,3.25,-1.48,6.89,0.07,0.0,3.44
Bliss GVS Pharma,506197.0,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,295.2,64.24,3122.86,927.11,164.04,17.69,17.69,24.0,2.64,1.06,9.76,0.02,11.65,710.8,71.04,517.19,104.21,150.73,6.98,-0.74,-4.09,0.11,0.17,1.99
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,4186.9,79.21,170532.06,4833.95,3078.53,63.69,63.69,68.6,25.58,0.55,20.81,0.0,44.79,2846.65,391.52,553.16,130.87,0.0,1.98,1.35,1.97,0.0,0.24,2.61
Carysil,524091.0,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,1048.0,70.06,2980.77,923.95,177.17,19.18,19.18,30.09,4.91,1.27,9.85,0.45,17.45,159.64,11.99,160.74,101.59,259.11,4.83,0.39,0.04,1.82,0.23,2.24
Cash UR Drive,,CUDML,INE0WL201014,Media,Advertising & Media Agencies,159.5,53.6,281.44,153.58,24.32,15.84,14.91,13.8,2.34,0.2,17.73,0.0,41.82,65.57,3.13,56.31,28.91,0.0,11.98,0.01,-0.76,0.0,0.0,4.2
Centum Electron,517544.0,CENTUM,INE320B01020,Industrial Manufacturing,Industrial Products,3233.2,55.31,4771.94,952.75,135.44,14.22,14.22,47.38,13.94,0.4,7.92,0.36,26.91,151.95,-136.7,299.67,252.98,456.21,2.98,1.56,-0.02,0.94,0.2,1.86
CG Power & Ind,500093.0,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,865.05,60.56,136239.98,12417.95,1625.29,13.09,13.09,110.81,17.09,10.77,12.17,0.01,20.82,3804.26,210.65,2923.99,2468.44,1583.91,1.25,0.49,0.01,0.07,0.15,2.53
Concord Control,543619.0,,INE0N0J01014,Industrial Manufacturing,Industrial Products,2750.0,53.91,2855.45,210.47,59.27,28.16,28.16,67.33,13.65,0.69,18.15,0.26,25.84,148.15,3.26,121.19,42.04,88.59,2.15,0.4,0.05,0.92,0.0,3.34
