Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1493.60,49.79,322638.35,34745.59,20643.43,59.41,59.53,26.88,4.81,0.98,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.83,-0.12,0.08,3.19,3.58
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3900.60,58.93,36400.54,4309.96,1187.95,27.56,26.91,32.30,4.94,1.68,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.96,0.16,-0.34,0.70,1.50
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5597.00,47.48,66920.53,13890.16,2810.50,20.23,19.38,28.47,5.01,3.06,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.30,0.13,0.36,0.81,4.62
ANB Metal,,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products",367.00,66.67,434.34,151.68,22.56,14.87,10.78,33.88,5.09,0.18,12.68,0.30,45.92,77.21,0.14,73.48,33.72,46.54,4.86,,,1.18,1.00
Apis India,506166,,Food Products,Other Food Products,64.65,100.00,890.57,365.95,37.48,10.24,10.21,38.74,5.76,0.79,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.76,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,162.00,59.56,111.13,24.56,4.85,19.75,19.75,31.39,5.12,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.44,,,1.74,4.14
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,153.35,61.97,259.47,83.08,16.00,19.26,18.14,24.62,7.00,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.37,0.00,0.00,2.25,4.75
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,862.95,77.26,8243.42,3728.75,531.43,14.25,13.78,20.69,5.78,0.34,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.69,0.09,1.60,2.36,0.88
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,177.96,79.36,104531.12,50976.16,9941.54,19.50,18.97,31.27,8.31,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.00,-0.29,0.47,5.90,0.16
AU Small Finance,540611,AUBANK,Banks,Other Bank,980.35,63.59,73225.49,17273.80,8933.99,51.72,53.37,33.68,4.03,1.46,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.62,3.05,-3.18,12.07,2.71
