Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,195.51,1248.90,254.58,39.43,15.49,15.87,58.80,11.31,0.27,8.18,0.58,17.30,75.96,1.71,50.23,33.95,81.11,2.86,0.00,0.01,1.76,3.21
Aaradhya Dis.,,AARADHYA,"Paper, Forest & Jute Products",116.60,164.85,113.69,18.02,15.85,15.85,16.07,,0.14,13.30,1.35,44.46,15.66,2.26,22.84,7.88,22.87,8.71,,,2.23,4.70
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1406.00,11510.77,1037.44,253.46,24.43,23.05,60.89,8.79,2.02,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.28,4.07,0.46,0.05,2.70
Aditya Birla Cap,540691,ABCAPITAL,Finance,277.85,72578.01,41420.09,14867.97,35.90,35.13,21.33,2.38,0.87,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.34,2.27,-1.36,9.23,4.98
Ajax Engineering,544356,AJAXENGG,"Agricultural, Commercial & Construction Vehicles",719.30,8229.28,2071.43,299.36,14.45,15.34,33.45,7.11,0.58,19.14,0.00,25.07,295.79,42.63,164.72,222.60,257.59,4.05,1.02,0.52,0.01,4.95
ANB Metal,,AMCL,Industrial Products,189.45,224.21,162.57,17.52,10.78,10.78,21.87,,0.12,12.68,1.01,45.92,27.16,0.07,35.97,23.81,32.63,6.82,,,2.05,0.00
Apis India,506166,,Food Products,456.45,251.51,350.13,35.23,10.06,10.16,11.13,1.45,0.24,9.17,0.38,15.79,121.58,2.47,114.78,33.19,78.65,10.49,0.00,0.00,1.99,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7610.00,109420.12,22550.50,3198.60,14.18,13.92,69.54,13.32,3.83,7.77,0.96,18.42,1017.70,238.40,3016.10,2240.50,480.80,2.28,-0.95,0.75,2.98,4.65
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,262.79,8764.90,604.45,147.83,24.46,23.10,128.78,13.23,2.23,5.20,0.49,10.23,419.96,4.56,238.33,279.88,600.59,1.51,1.24,6.23,2.17,3.24
Aprameya Enginee,,APRAMEYA,Healthcare Equipment & Supplies,193.40,368.23,135.71,24.40,17.98,17.98,22.84,5.73,0.78,14.68,0.47,36.78,63.03,0.59,119.12,40.27,7.18,6.27,-4.66,-2.06,1.22,0.00
Aryaman Capital,538716,,Finance,723.25,866.25,77.33,30.69,39.69,39.69,37.78,11.19,0.12,22.15,0.36,38.69,62.23,0.00,0.22,1.27,15.74,3.62,0.00,0.00,0.92,0.00
Authum Invest,539177,AIIL,Finance,3232.90,54909.22,4361.23,3991.81,91.53,89.63,13.40,3.76,0.16,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,7.30,0.06,0.53,0.13,0.53
Axis Solution,511144,,IT - Software,24.38,115.22,205.91,27.39,13.30,17.61,4.58,0.99,,20.20,0.33,38.25,76.17,1.90,94.52,23.06,37.76,18.91,1.74,0.00,1.36,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,177.25,421.45,126.52,13.26,10.48,10.48,53.21,5.27,1.51,7.44,0.39,13.77,61.94,2.05,44.69,7.17,39.75,3.18,,,2.18,3.59
Bosch,500530,BOSCHLTD,Auto Components,39960.00,117856.59,18559.20,2429.30,13.09,12.77,53.15,8.53,2.90,10.70,0.01,15.55,4385.10,1480.40,2365.00,2958.20,1942.30,2.53,-0.02,0.09,0.04,3.24
Choice Intl.,531358,CHOICEIN,Finance,796.00,16370.18,943.61,314.39,33.32,31.26,95.13,15.47,2.21,7.36,0.45,18.87,686.96,10.06,274.63,26.92,19.49,1.93,0.03,0.34,1.47,3.49
Connplex Cinemas,,CONNPLEX,Entertainment,192.00,366.72,95.61,26.28,27.49,27.49,19.81,,0.11,37.97,0.03,123.94,15.98,1.17,13.14,6.20,7.38,6.90,,,0.03,3.23
Creative Graphic,,CGRAPHICS,Industrial Products,229.75,557.97,251.08,32.30,12.86,12.86,26.86,5.23,0.42,12.84,0.61,29.12,73.99,5.41,75.12,36.88,46.44,5.42,0.41,0.00,1.99,4.63
Crizac,544439,CRIZAC,Retailing,349.75,6120.01,849.49,212.82,25.05,25.05,40.15,,1.26,20.76,0.00,36.18,230.89,35.29,256.40,260.60,0.00,3.47,,,0.00,4.62
Cummins India,500480,CUMMINSIND,Industrial Products,3826.20,106062.26,10981.95,2230.24,20.31,20.02,49.76,14.03,1.43,20.85,0.00,28.15,3817.92,754.37,2277.75,1567.10,1004.07,2.69,-0.31,0.29,0.01,2.73
Cupid,530843,CUPID,Personal Products,172.29,4625.42,223.89,71.27,31.83,30.23,97.07,13.52,2.74,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.45,0.00,-0.68,0.29,1.05
Dharni Capital,543753,,Capital Markets,55.70,113.46,6.52,2.60,39.88,39.88,29.47,5.36,,17.92,0.10,20.02,3.12,2.61,0.26,0.00,0.00,4.38,0.00,0.00,0.41,3.30
Eicher Motors,505200,EICHERMOT,Automobiles,6103.00,167391.86,19519.14,4749.38,24.33,25.03,34.60,7.86,0.84,18.85,0.02,24.10,1840.83,2151.37,549.64,2529.75,1563.75,3.66,-0.88,0.80,0.07,2.66
Escorp Asset Mgt,540455,,Finance,125.18,139.16,19.60,19.12,97.55,97.55,8.55,2.09,0.21,26.65,0.00,28.07,19.42,0.00,0.03,0.01,0.00,15.94,0.00,0.00,0.00,0.00
Exhicon Events,543895,,Other Consumer Services,551.00,716.44,143.51,35.12,24.47,24.47,27.56,6.37,0.34,24.62,0.00,26.63,65.77,2.99,34.57,9.57,2.58,5.08,-0.59,0.02,0.00,3.59
Fiem Industries,532768,FIEMIND,Auto Components,2100.70,5528.97,2503.81,333.15,13.31,13.30,26.24,5.33,0.91,15.29,0.02,20.99,491.11,22.37,242.35,230.53,233.48,5.43,1.46,1.69,0.08,4.53
